id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,disconnects,num_requests,cell_traffic,cell_dropped_traffic,num_rejects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[14492. 14493.     0.     0.],20161.0,403.19999999737746,[150.145 253.055   0.      0.   ],35253.82288686051,18184.0,98095.0,11690.0,9544500000.0,45983503.07331478,7612.0,87.43073976206439,1.1543475026041357,16.811269282277664,13.88343379282603,1.1057150263058628,0.2946778433609444,0.004315262139774813,0.7366698080452359,[0.372 0.628 0.    0.   ],0.6511548331907613,0.004817801149700328,23671875.00015397,[35.942 35.945  0.     0.   ],45.09920634949969
1,[1.18e+04 1.18e+04 1.00e+00 0.00e+00],20161.0,403.19999999737746,[2.200e+02 1.832e+02 3.000e-02 0.000e+00],44875.6443041035,28172.0,10977.0,17715.0,55335000000.0,163060591.24873093,3225.0,111.29320049625696,6.4356728336896065,58.79628986657408,52.97431482695142,5.722175172277004,1.3242398690541144,0.005059272853529091,3.1807946034422896,[5.457e-01 4.543e-01 7.440e-05 0.000e+00],0.18204911092294665,0.0029467893963807884,137239583.33422598,[2.927e+01 2.927e+01 2.480e-03 0.000e+00],69.87103174648621
2,[14668. 14669.     0.     0.],20161.0,403.19999999737746,[167.425 235.775   0.      0.   ],39176.4369782534,11272.0,24128.0,12179.0,40722000000.0,88310426.48450683,1611.0,97.15896279513017,4.961777689599368,63.55716482317345,38.08440165437651,3.498164547306903,0.7997123158573484,0.008283319279797629,2.1139824413471553,[0.415 0.585 0.    0.   ],0.1322768700221693,0.0021686171230417667,100997023.81018072,[36.379 36.381  0.     0.   ],27.956349206531044
3,[13078. 13082.    19.     0.],20161.0,403.19999999737746,[213.112 189.532   0.556   0.   ],44616.92655284482,32304.0,12232.0,16017.0,54418500000.0,155491580.9351926,1921.0,110.651571233673,6.3602003868863575,56.30256435692674,51.841182012308906,5.844499421482493,1.2917514012201776,0.007985714994295918,3.079113139229205,[0.529 0.47  0.001 0.   ],0.11993506898919898,0.002857329418032335,134966517.85802072,[32.436 32.445  0.047  0.   ],80.11904761956873
4,[8428. 8429.    0.    0.],20161.0,403.19999999737746,[255.154 148.046   0.      0.   ],35953.708189045654,23416.0,91048.0,11167.0,9366000000.0,125125808.91603209,7205.0,89.16648030614833,2.1014037002131936,17.00014880214275,13.476746789908361,1.0569216010799378,0.2828728733693765,0.002628837855265116,0.7535836516045831,[0.633 0.367 0.    0.   ],0.6452046207575893,0.013359578146063644,23229166.66681776,[20.903 20.905  0.     0.   ],58.07539682577457
5,[1.494e+04 1.494e+04 1.000e+00 0.000e+00],20161.0,403.19999999737746,[1.418e+02 2.613e+02 3.000e-02 0.000e+00],36848.72390750795,4224.0,89593.0,35764.0,41028000000.0,176230700.26901612,26645.0,91.38615125119651,3.98321511829817,63.85774515153018,32.21684533670964,3.0304096752185896,0.7026933187837905,0.004513664996775953,2.388224790436982,[3.518e-01 6.482e-01 7.440e-05 0.000e+00],0.745022928084107,0.00429537633491801,101755952.38161424,[3.706e+01 3.706e+01 2.480e-03 0.000e+00],10.476190476258617
6,[12495. 12495.    23.     0.],20161.0,403.19999999737746,[199.107 203.403   0.69    0.   ],38821.60030599529,1024.0,42860.0,23010.0,60003000000.0,269131241.6644602,12357.0,96.27895517582054,6.018630028273335,63.959327414314764,39.00231179656694,4.043095213748042,0.8708397400922573,0.00476166856802738,3.247259560537672,[0.494 0.504 0.002 0.   ],0.5370273794002608,0.00448529642958619,148816964.28668225,[30.99  30.99   0.057  0.   ],2.5396825396990588
7,[7146. 7059.  206.    0.],20161.0,403.19999999737746,[295.377 101.339   6.484   0.   ],41157.63226517047,1680.0,41490.0,16067.0,59623500000.0,231431925.9247441,5746.0,102.07239786014291,9.336005158472767,63.94444720003968,37.768088429313316,3.473609127213038,0.8020435494271118,0.005257675710530232,3.088983681365012,[0.733 0.251 0.016 0.   ],0.35762743511545403,0.0038815555263401864,147875744.04858088,[17.723 17.507  0.511  0.   ],4.166666666693768
8,[13162. 13159.    18.     0.],20161.0,403.19999999737746,[186.748 215.893   0.559   0.   ],38081.41452885669,3136.0,54271.0,23313.0,59064000000.0,193833832.74742118,13404.0,94.44326801461922,5.5856753137253365,63.85218987153415,35.301529180757505,3.0589575804790745,0.720698378056644,0.006894499280789643,3.099995039928575,[0.463 0.535 0.001 0.   ],0.5749581778406897,0.0032817593245872472,146488095.23904803,[32.644 32.636  0.045  0.   ],7.7777777778283665
9,[1.664e+04 1.664e+04 3.000e+00 0.000e+00],20161.0,403.19999999737746,[1.497e+02 2.534e+02 8.000e-02 0.000e+00],38259.61208475285,3688.0,58579.0,24974.0,40125000000.0,153938863.55798113,15059.0,94.88520431712668,4.574773076732906,63.89087842864937,36.56599771086884,4.181365922205035,0.8381032686870691,0.005257675710530232,2.213084668419225,[3.713e-01 6.285e-01 1.984e-04 0.000e+00],0.6029871065908545,0.003836482580884265,99516369.04826634,[4.126e+01 4.126e+01 7.440e-03 0.000e+00],9.146825396884891
10,[1.482e+04 1.482e+04 1.000e+00 0.000e+00],20161.0,403.19999999737746,[1.593e+02 2.439e+02 2.900e-02 0.000e+00],40182.86748865688,24184.0,66172.0,25197.0,40137000000.0,166839066.54137093,16317.0,99.6549464030916,4.59862110014439,62.65046376667824,31.75081568032953,3.360833434266928,0.6683200238083429,0.005108873567779376,2.1766281434452655,[3.950e-01 6.050e-01 7.192e-05 0.000e+00],0.6475770925110133,0.004156739829617832,99546130.95302843,[3.676e+01 3.676e+01 2.480e-03 0.000e+00],59.98015873054886
11,[11816. 11807.    32.     0.],20161.0,403.19999999737746,[218.24 183.98   0.98   0.  ],40703.451585909344,4088.0,36377.0,23520.0,59842500000.0,258815898.7450556,12515.0,100.94601355564629,6.6379247061166495,63.8079460344229,40.12387730475472,4.054694803022321,0.8876047815088537,0.005208074996279947,3.219830365557264,[0.541 0.456 0.002 0.   ],0.5321003401360545,0.004324951309605307,148418898.81048918,[29.306 29.283  0.079  0.   ],10.138888888954835
12,[7275. 7170.  185.    0.],20161.0,403.19999999737746,[296.59  101.031   5.579   0.   ],42464.33161589385,6536.0,40212.0,22457.0,59067000000.0,288685346.6718487,11724.0,105.31305891545557,9.322513764196803,63.60835276027975,39.06452942268499,4.213234455194566,0.8709885422350082,0.004464064282525668,3.1584742820296614,[0.736 0.251 0.014 0.   ],0.522064389722581,0.0048874218543662066,146495535.71523857,[18.043 17.783  0.459  0.   ],16.210317460422896
13,[10642. 10633.    30.     0.],20161.0,403.19999999737746,[236.503 165.829   0.868   0.   ],40868.80192496721,7072.0,46392.0,25102.0,59380500000.0,223988225.56599078,14728.0,101.35608830158806,7.1720251971632205,63.66569118595308,37.269579300672866,3.613645603804596,0.7924210108625565,0.005059272853529091,3.174792917018005,[0.587 0.411 0.002 0.   ],0.5867261572783046,0.003772083858606626,147273065.47714838,[26.394 26.372  0.074  0.   ],17.539682539796623
14,[15161. 15162.     0.     0.],20161.0,403.19999999737746,[159.376 243.824   0.      0.   ],39804.45583949003,18984.0,59576.0,21920.0,39916500000.0,106489938.34941594,13156.0,98.71647199912557,4.682426466941696,62.9738604235901,31.845940137799914,3.1128705914952453,0.6599871038142949,0.006696096423788503,2.0402757799712314,[0.395 0.605 0.    0.   ],0.6001824817518249,0.0026678175278247326,98999255.95302488,[37.602 37.604  0.     0.   ],47.08333333363958
