id,sleep_switches,steps,time,sleep_time,energy_consumption,disconnects,cell_traffic,cell_dropped_traffic,num_requests,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,ant_switches,avg_ant_switch_fps
0,[4850. 4850.    0.    0.],20161.0,403.19999999737746,[180.161 223.039   0.      0.   ],39265.72609580823,188039.0,50053500000.0,409677.4959961239,19114.0,97.38040299540542,5.7609840781716,64.0,54.03249069573507,3.1581744181631453,0.9047666286394525,0.013491394276077576,2.166658399880958,[0.447 0.553 0.    0.   ],0.0,0.0,8.184792192276741e-06,124140625.00080745,[12.029 12.029  0.     0.   ],0.0,0.0
1,[4753. 4753.    0.    0.],20161.0,403.19999999737746,[230.853 172.347   0.      0.   ],43460.73612914944,110349.0,103062000000.0,1043581.8434525346,24608.0,107.78417769244966,7.350746490749737,64.0,75.6343822438029,5.048064705923583,1.4539457368186102,0.012747383562323298,4.76866226873667,[0.573 0.427 0.    0.   ],0.0,0.0,1.012576743564587e-05,255610119.04928163,[11.788 11.788  0.     0.   ],0.0,0.0
2,[4632. 4633.    0.    0.],20161.0,403.19999999737746,[213.742 189.458   0.      0.   ],42031.07563991459,130011.0,74442000000.0,954127.4091865367,22423.0,104.23856862237713,6.817439611131155,64.0,66.8864005536463,4.480386348369015,1.2720103169485641,0.012300977134070731,3.5736322603045485,[0.53 0.47 0.   0.  ],0.0,0.0,1.2817057698430143e-05,184627976.19167706,[11.488 11.491  0.     0.   ],0.0,0.0
3,[4856. 4856.    0.    0.],20161.0,403.19999999737746,[232.639 170.561   0.      0.   ],43516.33783580273,107040.0,102670500000.0,550466.0135215984,24678.0,107.92207191062664,7.422488963841284,64.0,75.65425435689521,5.056636231391993,1.4536481325331085,0.012300977134070731,4.724567233768166,[0.577 0.423 0.    0.   ],0.0,0.0,5.361481764689939e-06,254639136.90641814,[12.044 12.044  0.     0.   ],0.0,0.0
4,[4840. 4841.    0.    0.],20161.0,403.19999999737746,[179.072 224.128   0.      0.   ],39174.70854067133,188619.0,49878000000.0,152085.77326721197,19065.0,97.15467620820078,5.724795397054584,64.0,53.752375987793336,3.104576923278841,0.8974257229304102,0.012102574277069589,2.142254848469818,[0.444 0.556 0.    0.   ],0.0,0.0,3.049155404531296e-06,123705357.14366177,[12.004 12.006  0.     0.   ],0.0,0.0
5,[5063. 5064.    0.    0.],20161.0,403.19999999737746,[193.574 209.626   0.      0.   ],40351.92965051464,164135.0,75366000000.0,683642.138740878,20734.0,100.07422660213848,6.200327364715027,64.0,60.0095587829865,3.4939697392878393,1.0149298149893358,0.01458260998958385,3.1694856405932246,[0.48 0.52 0.   0.  ],0.0,0.0,9.070962220907014e-06,186919642.85835865,[12.557 12.56   0.     0.   ],0.0,0.0
6,[4818. 4818.    0.    0.],20161.0,403.19999999737746,[218.384 184.816   0.      0.   ],42384.94838086478,123478.0,109777500000.0,1350307.839587882,22902.0,105.11618565761879,6.950131441893397,64.0,68.95652787293763,4.491464991688726,1.2974554833589604,0.012648182133822726,4.96185705074153,[0.542 0.458 0.    0.   ],0.0,0.0,1.2300406181484202e-05,272265625.0017709,[11.949 11.949  0.     0.   ],0.0,0.0
7,[4771. 4772.    0.    0.],20161.0,403.19999999737746,[218.052 185.148   0.      0.   ],42326.79227320993,124692.0,109027500000.0,1352126.5579735725,22851.0,104.97195643373372,6.904419423640376,64.0,68.2160173237233,4.62611909218892,1.3185853876295819,0.014632210703834135,5.006249689995536,[0.541 0.459 0.    0.   ],0.0,0.0,1.2401701937342161e-05,270405505.95413977,[11.833 11.835  0.     0.   ],0.0,0.0
8,[4900. 4900.    0.    0.],20161.0,403.19999999737746,[217.754 185.446   0.      0.   ],42331.15540907164,124913.0,108580500000.0,956406.4698495824,22865.0,104.98277716648924,6.949496552750994,64.0,69.17028358449157,4.543616102430025,1.3037547740687465,0.012697782848073012,4.91478597291801,[0.54 0.46 0.   0.  ],0.0,0.0,8.808271004918768e-06,269296875.0017516,[12.153 12.153  0.     0.   ],0.0,0.0
9,[5020. 5021.    0.    0.],20161.0,403.19999999737746,[192.574 210.626   0.      0.   ],40265.2580061685,166727.0,74092500000.0,0.0,20659.0,99.85927782889692,6.137473339617051,64.0,59.5613448147665,3.4762937676695973,1.0049600714250284,0.012648182133822726,3.1260354149099747,[0.478 0.522 0.    0.   ],0.0,0.0,0.0,183761160.71548095,[12.45  12.453  0.     0.   ],0.0,0.0
10,[5058. 5059.    0.    0.],20161.0,403.19999999737746,[193.582 209.618   0.      0.   ],40312.63934933714,163972.0,74587500000.0,565035.2648274567,20640.0,99.9767852520634,6.172392242449259,64.0,59.39777750353133,3.474945199974273,1.002430434998264,0.014334606418332424,3.132037101334259,[0.48 0.52 0.   0.  ],0.0,0.0,7.575468608378839e-06,184988839.2869175,[12.545 12.547  0.     0.   ],0.0,0.0
