id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,num_requests,num_rejects,cell_traffic,cell_dropped_traffic,disconnects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
10,[1780. 1781.    0.    0.],10081.0,201.60000000059856,[ 27.197 174.403   0.      0.   ],13616.463097391192,18944.0,12805.0,11497.0,6157500000.0,0.0,1335.0,67.5352797211967,0.5128062692193178,18.07161987898026,8.896485747623217,0.679739573235188,0.197202658466422,0.0038686638230334292,0.7505207816684852,[0.135 0.865 0.    0.   ],0.8978524014057009,0.0,30543154.76181408,[8.829 8.834 0.    0.   ],93.96825396797497
11,[1638. 1639.    0.    0.],10081.0,201.60000000059856,[ 24.118 177.482   0.      0.   ],13479.085824898764,16416.0,10394.0,9224.0,6129000000.0,0.0,1130.0,66.85391243376296,0.4504315048110268,17.808153952980856,8.066917792916273,0.5840005522187435,0.16387263168336474,0.0038686638230334292,0.7023112786429918,[0.12 0.88 0.   0.  ],0.8874350586877044,0.0,30401785.71419545,[8.125 8.13  0.    0.   ],81.42857142832966
12,[1935. 1936.    0.    0.],10081.0,201.60000000059856,[ 28.565 173.035   0.      0.   ],13686.125575815979,22328.0,8264.0,6879.0,6187500000.0,15090.152674624595,1302.0,67.88079345210015,0.5651820255926938,18.590219224283306,9.643263194192212,0.697695220229553,0.1952187283007638,0.004364646364447972,0.6773137585556989,[0.142 0.858 0.    0.   ],0.832405614714424,2.438812553474682e-06,30691964.28562316,[9.598 9.603 0.    0.   ],110.75396825363943
13,[1199. 1200.    0.    0.],10081.0,201.60000000059856,[ 18.506 183.094   0.      0.   ],13217.387244898444,11768.0,3222.0,2276.0,4264500000.0,15090.152674624595,598.0,65.55593316583125,0.35496478523955716,18.412459081440332,6.738288255863755,0.38373244420003827,0.11199285785140363,0.00317428826505307,0.39172701120920544,[0.092 0.908 0.    0.   ],0.7063935443823712,3.5385514537752595e-06,21153273.809461005,[5.947 5.952 0.    0.   ],58.373015872842565
14,[2041. 2041.    0.    0.],10081.0,201.60000000059856,[ 32.146 169.454   0.      0.   ],13893.161755703599,22808.0,5465.0,3899.0,5029500000.0,207483.46014741858,1297.0,68.90765675875507,0.7227060807459613,21.66372383692094,11.271767384197924,0.7622301068550333,0.22259696458684655,0.004364646364447972,0.5073901398670767,[0.159 0.841 0.    0.   ],0.7134492223238792,4.1253297573798305e-05,24947916.666592594,[10.124 10.124  0.     0.   ],113.13492063458473
15,[1584. 1585.    0.    0.],10081.0,201.60000000059856,[ 24.06 177.54   0.     0.  ],13459.73986057482,15048.0,11035.0,9889.0,5953500000.0,427033.80705322605,1086.0,66.75795982824715,0.44781271699235725,17.664914195020334,8.103832562681681,0.5782540189433333,0.16843567106437854,0.0027775022319214363,0.7069735145322885,[0.119 0.881 0.    0.   ],0.8961486180335296,7.172819468434132e-05,29531249.99991232,[7.857 7.862 0.    0.   ],74.64285714263552
16,[2087. 2088.    0.    0.],10081.0,201.60000000059856,[ 33.943 167.657   0.      0.   ],13902.51077333588,20672.0,14245.0,12659.0,6226500000.0,0.0,1531.0,68.9540262540048,0.6238270012895465,18.204543200079357,10.725858881411659,0.8295275151754896,0.24293224878484276,0.0037694673147505207,0.7585556988394009,[0.168 0.832 0.    0.   ],0.8886626886626887,0.0,30885416.666574966,[10.352 10.357  0.     0.   ],102.53968253937809
17,[1935. 1936.    0.    0.],10081.0,201.60000000059856,[ 31.757 169.843   0.      0.   ],13807.989044441447,18768.0,13602.0,12087.0,6199500000.0,0.0,1434.0,68.48521498084504,0.5959726217637059,18.049003075091758,10.288967033483729,0.8088856738800089,0.23807161987898026,0.0038686638230334292,0.7782958039876996,[0.158 0.842 0.    0.   ],0.8886193206881341,0.0,30751488.095146794,[9.598 9.603 0.    0.   ],93.09523809496169
18,[2072. 2073.    0.    0.],10081.0,201.60000000059856,[ 33.7 167.9   0.    0. ],13902.057500389994,19520.0,12700.0,11122.0,6078000000.0,469051.4243259337,1569.0,68.95177809932785,0.6455708759051589,18.12994742585061,11.14362999290096,0.9004427127219894,0.2609860132923321,0.004761432397579605,0.7437754191052475,[0.167 0.833 0.    0.   ],0.875748031496063,7.71720013698476e-05,30148809.52372001,[10.278 10.283  0.     0.   ],96.82539682510935
19,[1680. 1681.    0.    0.],10081.0,201.60000000059856,[ 25.572 176.028   0.      0.   ],13536.070103110447,16544.0,9384.0,8149.0,5878500000.0,667279.2313956625,1104.0,67.13654450504369,0.4873326058922671,17.880369011010814,8.665450708991433,0.6205950863522195,0.18014085904176172,0.0029758952484872534,0.6695764309096319,[0.127 0.873 0.    0.   ],0.8683930093776641,0.00011351181957908693,29159226.190389615,[8.333 8.338 0.    0.   ],82.06349206324842
20,[1816. 1817.    0.    0.],10081.0,201.60000000059856,[ 27.949 173.651   0.      0.   ],13701.790038416906,21772.0,5769.0,4395.0,4762500000.0,0.0,1107.0,67.95848645180757,0.6193829977184835,21.760142842971927,9.637126486498113,0.6350616767289371,0.18202559269913698,0.004265449856165063,0.46027179843269517,[0.139 0.861 0.    0.   ],0.7618304732189287,0.0,23623511.904691767,[9.008 9.013 0.    0.   ],107.99603174571111
