id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,num_requests,num_rejects,disconnects,cell_traffic,cell_dropped_traffic,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
13,[ 689. 1095. 1029.    0.],10081.0,201.60000000059856,[ 18.244  22.016 161.34    0.   ],10121.496776357557,5368.0,9638.0,8717.0,2575.0,3063000000.0,0.0,50.200856940566,0.37797837516118915,17.06656085705783,5.334844241927566,0.4074920646510939,0.10921535561948219,0.021922428330522766,0.4335879377045928,[0.09  0.109 0.8   0.   ],0.9044407553434323,0.0,15193452.380907271,[3.418 5.432 5.104 0.   ],26.62698412690507
14,[1005. 1285. 1022.    0.],10081.0,201.60000000059856,[ 26.508  19.915 155.177   0.   ],10677.105201532137,9864.0,12440.0,11087.0,2765.0,3001500000.0,0.0,52.9565777280609,0.5417716496379239,17.747842475944847,8.044564070247075,0.6026827179362627,0.16873326058922725,0.027576629302648547,0.4289257018152961,[0.131 0.099 0.77  0.   ],0.8912379421221865,0.0,14888392.857098654,[4.985 6.374 5.069 0.   ],48.92857142842616
15,[ 813. 1548. 1117.    0.],10081.0,201.60000000059856,[ 18.92  43.56 139.12   0.  ],10263.51173909382,5264.0,27990.0,27020.0,1421.0,4002000000.0,110298.39021487185,50.905226361933934,0.34940978077571194,16.382898521972027,5.790851219402081,0.49338342058425133,0.13956948715405218,0.014879476242436266,0.6855470687431803,[0.094 0.216 0.69  0.   ],0.9653447659878528,2.756081714514539e-05,19851190.476131536,[4.033 7.679 5.541 0.   ],26.111111111033587
16,[1049. 1712. 1158.    0.],10081.0,201.60000000059856,[ 25.407  39.88  136.313   0.   ],10670.300695715025,7160.0,31106.0,29818.0,1662.0,4080000000.0,764593.6093072492,52.9228285671792,0.47447673841879906,16.533280428528915,8.109474813375876,0.7345354318196535,0.21208213470885826,0.018748140065469696,0.7254240650729095,[0.126 0.198 0.676 0.   ],0.9585931974538674,0.00018740039443805126,20238095.23803515,[5.203 8.492 5.744 0.   ],35.51587301576757
17,[1005. 1740. 1207.    0.],10081.0,201.60000000059856,[ 23.704  45.776 132.12    0.   ],10601.956711000945,6664.0,34219.0,33020.0,1682.0,4176000000.0,630865.7314939356,52.583854334889715,0.4413847832556224,16.54875508382105,7.126757450309914,0.6858332088354145,0.18123202063287372,0.01577224481698244,0.7425850610058526,[0.118 0.227 0.655 0.   ],0.9649609865863994,0.00015106938014701523,20714285.714224212,[4.985 8.631 5.987 0.   ],33.05555555545741
18,[1035. 1743. 1217.    0.],10081.0,201.60000000059856,[ 23.427  45.472 132.701   0.   ],10521.184614198422,7072.0,31460.0,30298.0,1346.0,4089000000.0,184047.9045480557,52.18323883641473,0.4517805773236705,16.57097510167642,7.274262697889026,0.6606324771494237,0.17785933935125484,0.014383493701021724,0.7120325364547168,[0.116 0.226 0.658 0.   ],0.963064208518754,4.501049267499528e-05,20282738.095177874,[5.134 8.646 6.037 0.   ],35.07936507926093
19,[ 881. 1633. 1194.    0.],10081.0,201.60000000059856,[ 20.529  40.391 140.68    0.   ],10340.236742583378,6064.0,25403.0,24356.0,1560.0,4000500000.0,529195.4688444397,51.285768984142436,0.3865489534768323,16.501934331911517,6.3656100978663535,0.5677590829189316,0.1550441424461859,0.015673048308699533,0.6611447277055847,[0.102 0.2   0.698 0.   ],0.9587843955438334,0.00013228233191961997,19843749.999941085,[4.37  8.1   5.923 0.   ],30.079365079275775
20,[ 911. 1298. 1045.    0.],10081.0,201.60000000059856,[ 22.721  23.356 155.523   0.   ],10452.29758061765,8348.0,14448.0,13288.0,2706.0,2971500000.0,118217.18023887472,51.84157117655512,0.4597956551929298,17.518896934827893,6.878682550650657,0.5189096080535348,0.14294216843567106,0.022815196905068943,0.4392421386767186,[0.113 0.116 0.771 0.   ],0.9197120708748616,3.9783671626745655e-05,14739583.333289571,[4.519 6.438 5.184 0.   ],41.40873015860721
21,[ 833. 1251. 1021.    0.],10081.0,201.60000000059856,[ 21.077  22.597 157.926   0.   ],10368.90333813406,7972.0,12759.0,11640.0,2886.0,2998500000.0,154080.48242362431,51.42795029329157,0.4295605594683012,17.44509473266541,6.2946826322192235,0.513563209906279,0.13332010713222894,0.02618787818668783,0.445293125681976,[0.105 0.112 0.783 0.   ],0.9122972019750765,5.1385853734742145e-05,14873511.904717745,[4.132 6.205 5.064 0.   ],39.54365079353339
22,[ 814. 1569. 1133.    0.],10081.0,201.60000000059856,[ 19.974  42.937 138.689   0.   ],10309.802928613984,5432.0,29479.0,28408.0,1349.0,4128000000.0,2395815.903267198,51.13482258016776,0.36678900902687744,16.435671064378536,6.407514337973154,0.5913634748271034,0.15534173197103462,0.015573851800416625,0.702013689118143,[0.099 0.213 0.688 0.   ],0.9636690525458801,0.0005803817595124026,20476190.47612968,[4.038 7.783 5.62  0.   ],26.944444444364446
23,[ 957. 1607. 1150.    0.],10081.0,201.60000000059856,[ 23.024  45.161 133.415   0.   ],10495.170433967687,6568.0,34294.0,33136.0,1614.0,4051500000.0,944977.2497886053,52.054213044177956,0.43440134907250577,16.528915782164468,7.120733772424054,0.6237338140083096,0.17954567999206428,0.015573851800416625,0.7350461263763516,[0.114 0.224 0.662 0.   ],0.9662331603195894,0.00023324133031929045,20096726.190416522,[4.747 7.971 5.704 0.   ],32.57936507926835
24,[ 984. 1723. 1202.    0.],10081.0,201.60000000059856,[ 23.967  46.193 131.44    0.   ],10583.133294413516,6516.0,33966.0,32729.0,1514.0,4125000000.0,317541.23689516203,52.49049347491857,0.43622656482491134,16.501537545878385,7.3470473630913,0.6846439619238982,0.18698541811328243,0.016863406408094434,0.7376252355917071,[0.119 0.229 0.652 0.   ],0.9635812282871107,7.697969379276655e-05,20461309.523748774,[4.881 8.547 5.962 0.   ],32.32142857133261
25,[ 988. 1741. 1210.    0.],10081.0,201.60000000059856,[ 24.045  46.027 131.528   0.   ],10582.61687339288,6432.0,34694.0,33476.0,1558.0,4210500000.0,940048.0634926291,52.487932116816054,0.4427338557682699,16.50074397381212,7.4890400570267355,0.674925882225109,0.19323479813510563,0.015375458783850809,0.7546870350163675,[0.119 0.228 0.652 0.   ],0.9648930650832998,0.00022326281047206487,20885416.666604657,[4.901 8.636 6.002 0.   ],31.90476190466718
26,[ 896. 1649. 1193.    0.],10081.0,201.60000000059856,[ 21.425  41.424 138.751   0.   ],10391.150768448297,6044.0,26382.0,25291.0,1442.0,4077000000.0,1301279.3873318916,51.53829366356384,0.41226068842376123,16.50471183414344,7.000134385852413,0.6226294375793825,0.17002281519690507,0.014978672750719174,0.6893165360579308,[0.106 0.205 0.688 0.   ],0.958646046546888,0.00031917571433208035,20223214.285654243,[4.444 8.18  5.918 0.   ],29.980158730069718
27,[ 895. 1318. 1047.    0.],10081.0,201.60000000059856,[ 21.308  22.944 157.348   0.   ],10373.008039729504,7752.0,13374.0,12268.0,2752.0,2896500000.0,548095.0948440828,51.448308896582255,0.4367820652712969,17.477234401349072,6.425720880018243,0.489054558873945,0.13222894554111694,0.023311179446483483,0.42376748338458486,[0.106 0.114 0.78  0.   ],0.9173022282039779,0.00018922668560127147,14367559.523766866,[4.439 6.538 5.193 0.   ],38.452380952266786
28,[ 941. 1286. 1043.    0.],10081.0,201.60000000059856,[ 22.897  21.344 157.359   0.   ],10463.699210596149,8208.0,11550.0,10411.0,2798.0,2962500000.0,812617.3389104207,51.89812127068555,0.4794762424362594,17.524055153258605,6.901609282556634,0.5295526272800785,0.14066064874516418,0.023707965479615116,0.42376748338458486,[0.114 0.106 0.781 0.   ],0.9013852813852814,0.0002743012114465555,14694940.476146847,[4.668 6.379 5.174 0.   ],40.71428571416483
29,[ 879. 1668. 1180.    0.],10081.0,201.60000000059856,[ 19.783  45.238 136.579   0.   ],10313.661654322499,5448.0,30637.0,29552.0,1671.0,4275000000.0,2712272.3770320015,51.153961186002405,0.35647257216545475,16.415831762721954,6.316064513418662,0.5484786450522408,0.14849717289951395,0.017458585457791886,0.7264160301557385,[0.098 0.224 0.677 0.   ],0.9645853053497405,0.0006344496788378951,21205357.142794184,[4.36  8.274 5.853 0.   ],27.02380952372929
30,[ 977. 1668. 1140.    0.],10081.0,201.60000000059856,[ 24.062  44.334 133.204   0.   ],10587.013596463381,6512.0,34690.0,33472.0,1415.0,4207500000.0,2258538.571096762,52.50973909564011,0.4496379327447598,16.5130443408392,7.5766307343506805,0.7128960859717383,0.19254042257712528,0.013490725126475547,0.7510167642098998,[0.119 0.22  0.661 0.   ],0.9648890170077832,0.0005367887275333956,20870535.71422375,[4.846 8.274 5.655 0.   ],32.301587301491395
31,[1011. 1733. 1203.    0.],10081.0,201.60000000059856,[ 23.607  45.865 132.128   0.   ],10552.82008240958,6584.0,32403.0,31260.0,1778.0,4129500000.0,1029059.5601895235,52.34014523563713,0.4494792183315075,16.5055054062097,7.208581125094105,0.6802878097717785,0.1892669378037893,0.015970637833548258,0.7387163971828191,[0.117 0.228 0.655 0.   ],0.9647254883807055,0.0002491971328706922,20483630.952320136,[5.015 8.596 5.967 0.   ],32.6587301586332
32,[ 973. 1703. 1167.    0.],10081.0,201.60000000059856,[ 22.866  47.063 131.671   0.   ],10506.107169246097,6360.0,34868.0,33702.0,1439.0,4195500000.0,1262727.9433757546,52.10845734175976,0.41702212082134005,16.484475746453725,7.142509319060876,0.6601019791071299,0.1774625533181232,0.015375458783850809,0.7504215851602024,[0.113 0.233 0.653 0.   ],0.9665595961913502,0.0003009719803064604,20811011.904700115,[4.826 8.447 5.789 0.   ],31.547619047525384
