id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,disconnects,cell_traffic,cell_dropped_traffic,num_requests,num_rejects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
10,[13788. 13789.     0.     0.],20161.0,403.19999999737746,[187.054 216.146   0.      0.   ],42030.61688941417,22916.0,84231.0,55725000000.0,133833349.92529798,26639.0,14486.0,104.23743090474437,5.540955309757204,62.77446555230395,43.528914800736146,3.882536468369489,0.9347750607608749,0.007440107137542781,3.047467883537523,[0.464 0.536 0.    0.   ],0.5437891812755734,0.0024016751893279134,138206845.23899418,[34.196 34.199  0.     0.   ],56.835317460687136
11,[11494. 11493.    23.     0.],20161.0,403.19999999737746,[239.851 162.667   0.682   0.   ],43392.22547064707,3496.0,41357.0,82887000000.0,185483338.25905174,24609.0,9390.0,107.61426881267371,7.42308417241228,63.842864937255094,55.72443729257253,5.336918494390472,1.2869401319379,0.007440107137542781,4.590099697435643,[0.595 0.403 0.002 0.   ],0.3815677191271486,0.002237785638991057,205572916.66800377,[28.507 28.504  0.057  0.   ],8.670634920691317
12,[8599. 8542.  143.    0.],20161.0,403.19999999737746,[286.539 112.202   4.459   0.   ],43976.845946771275,5200.0,50124.0,83169000000.0,203716596.15865874,25935.0,11084.0,109.0641484717244,9.04562273696619,63.721045583056394,54.38297940019351,4.957067721326091,1.2540052576757106,0.007192103566291355,4.616834482416547,[0.711 0.278 0.011 0.   ],0.42737613263929053,0.002449429428737375,206272321.42991307,[21.327 21.186  0.355  0.   ],12.896825396909282
13,[11168. 11160.    33.     0.],20161.0,403.19999999737746,[239.044 163.189   0.967   0.   ],42838.583294121425,7112.0,54779.0,83103000000.0,190453972.0996543,30087.0,15202.0,106.2412164429335,7.328406329051423,63.66787361738009,53.5926856729474,4.491980911365992,1.1703784534497297,0.008233718565547344,4.627349833837608,[0.593 0.405 0.002 0.   ],0.5052680559710174,0.002291782151061385,206108630.95372155,[27.698 27.679  0.082  0.   ],17.638888889003617
14,[14420. 14420.     0.     0.],20161.0,403.19999999737746,[184.395 218.805   0.      0.   ],41790.589619882936,20664.0,71289.0,56514000000.0,83270936.41150133,24879.0,12478.0,103.6421547043312,5.6592034125299,62.96532910073905,45.588236829592844,3.7730652195371226,0.958434601458261,0.007836912851545062,2.982292545012648,[0.457 0.543 0.    0.   ],0.5015474898508783,0.0014734567790547712,140163690.47710213,[35.764 35.764  0.     0.   ],51.250000000333344
15,[1.467e+04 1.467e+04 1.000e+00 0.000e+00],20161.0,403.19999999737746,[1.662e+02 2.370e+02 3.000e-02 0.000e+00],40960.18758610068,21832.0,96054.0,55797000000.0,119651241.30100214,20886.0,9518.0,101.58272800480351,4.958841327315739,62.92445811219682,41.5459673364613,3.2333109099570176,0.8454937751103616,0.006547294281037647,3.0023312335697634,[4.122e-01 5.877e-01 7.440e-05 0.000e+00],0.4557119601647036,0.002144402768984034,138385416.66756678,[3.639e+01 3.639e+01 2.480e-03 0.000e+00],54.14682539717759
16,[12792. 12791.    18.     0.],20161.0,403.19999999737746,[210.563 192.097   0.54    0.   ],42227.758480334865,7176.0,53971.0,83688000000.0,148114659.30864722,20266.0,5882.0,104.72634909065339,6.399325430287173,63.569267397450524,52.89019967264807,4.426184076768331,1.1515301820346213,0.008481722136798769,4.4840533703685335,[0.522 0.476 0.001 0.   ],0.2902398105200829,0.0017698434579467453,207559523.81087384,[31.726 31.724  0.045  0.   ],17.79761904773481
17,[9168. 9132.  114.    0.],20161.0,403.19999999737746,[273.658 126.034   3.508   0.   ],43352.95318449171,6856.0,57723.0,83250000000.0,186429470.47493553,25417.0,10736.0,107.5168721404919,8.598422697286077,63.55379197460444,53.995509534802345,4.780863328755567,1.231833738405833,0.006547294281037647,4.622191359555577,[0.679 0.313 0.009 0.   ],0.4223944604005193,0.0022393930387379643,206473214.28705725,[22.738 22.649  0.283  0.   ],17.003968254078853
18,[1.316e+04 1.316e+04 1.000e+01 0.000e+00],20161.0,403.19999999737746,[198.03 204.87   0.3    0.  ],41093.02702941978,7736.0,70410.0,83103000000.0,157409731.0380642,23130.0,9478.0,101.91217456827049,5.947204999752873,63.679380983086155,49.34113872236355,3.9937598565197585,1.0670105649521353,0.008432121422548485,4.517732255344477,[0.491 0.508 0.001 0.   ],0.40977086035451793,0.0018941522091628967,206108630.95372155,[3.265e+01 3.265e+01 2.480e-02 0.000e+00],19.186507936632733
19,[14874. 14875.     0.     0.],20161.0,403.19999999737746,[174.072 229.128   0.      0.   ],41736.73611389744,22384.0,78698.0,56064000000.0,89300215.55172208,21610.0,9689.0,103.50859608623915,5.324735876197303,62.90243539506969,44.374783672517395,3.7539055121775893,0.9311542086206042,0.007737711423044492,2.963692277168791,[0.432 0.568 0.    0.   ],0.4483572420175845,0.001592826333328376,139047619.04852346,[36.89  36.892  0.     0.   ],55.51587301623411
20,[12242. 12243.     0.     0.],20161.0,403.19999999737746,[224.02 179.18   0.     0.  ],44355.87950445396,28280.0,32606.0,51106500000.0,98169458.16585134,18531.0,3850.0,110.0041652310197,6.652487475820337,62.386984772580725,54.00559749284884,4.7098359678507755,1.1710232627349835,0.009275333564803333,2.723327215911909,[0.556 0.444 0.    0.   ],0.20775996978036804,0.0019208800869918961,126752232.14368159,[30.362 30.365  0.     0.   ],70.1388888893451
21,[13158. 13158.     0.     0.],20161.0,403.19999999737746,[217.154 186.046   0.      0.   ],44263.48822452145,29696.0,17524.0,55819500000.0,66327296.95119502,16256.0,1715.0,109.77503155726161,6.601537622142528,62.31516293834631,53.57749564976034,4.481711752889728,1.1505381677496156,0.011358563563315311,2.9606170328852737,[0.539 0.461 0.    0.   ],0.10549950787401575,0.001188245988430477,138441220.2389957,[32.634 32.634  0.     0.   ],73.65079365127269
22,[1.236e+04 1.236e+04 1.000e+00 0.000e+00],20161.0,403.19999999737746,[2.262e+02 1.770e+02 3.000e-02 0.000e+00],45357.01410661048,32292.0,24241.0,75249000000.0,69719383.24924499,18258.0,1975.0,112.48701479739833,6.54959575417952,55.10500471206785,60.502101356773174,5.165679816676284,1.391498437577501,0.007539308566043351,4.100441446356828,[5.609e-01 4.390e-01 7.440e-05 0.000e+00],0.10817176032424143,0.0009265157443852409,186629464.28692818,[3.065e+01 3.065e+01 2.480e-03 0.000e+00],80.08928571480664
23,[13345. 13346.     0.     0.],20161.0,403.19999999737746,[206.249 196.951   0.      0.   ],43471.53703289652,35868.0,29157.0,54040500000.0,62128282.88842025,17133.0,3017.0,107.81096431946193,5.997837408859249,61.52909081890779,51.39908612647648,4.0755948957450485,1.083130797083478,0.01001934427855761,2.9182084222012796,[0.512 0.488 0.    0.   ],0.1760929200957217,0.0011496615110596728,134029017.85801463,[33.098 33.1    0.     0.   ],88.95833333391195
24,[12146. 12147.     0.     0.],20161.0,403.19999999737746,[230.275 172.925   0.      0.   ],45099.29398457681,28752.0,21008.0,51252000000.0,76877797.61496553,18814.0,3517.0,111.84785969092465,6.912315857348875,62.56594414959575,56.56788809406376,5.0251186047571625,1.2482019741084271,0.009672139278805615,2.6978324487872625,[0.571 0.429 0.    0.   ],0.18693526097586904,0.001499996051177818,127113095.23892201,[30.124 30.126  0.     0.   ],71.30952380998762
