id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,disconnects,num_requests,cell_traffic,cell_dropped_traffic,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[ 602. 1071.  356.  690.],10081.0,201.60000000059856,[ 12.822   8.909  11.984 167.885],6434.5102970720845,18316.0,33045.0,3300.0,2016000000.0,8834065.487759147,31.914047699002424,0.1802202162483892,17.368118242237873,3.4588100492703484,0.2738744300289562,0.05733558178752108,0.2197202658466422,0.46483483781370893,[0.064 0.044 0.059 0.833],0.0,0.0,0.004381976928451958,9999999.99997031,[2.986 5.312 1.766 3.423],90.85317460290486
1,[1200. 1852.  664.  741.],10081.0,201.60000000059856,[22.587 26.359 65.684 86.97 ],7561.224332593611,8368.0,32633.0,3999.0,4245000000.0,12459028.12968666,37.50235260686056,0.3713917270112035,16.837218529907748,7.3381718973954,0.5698551430630274,0.12945144330919553,0.2373772443209999,0.9121118936613432,[0.112 0.131 0.326 0.431],0.0,0.0,0.0029349889587012156,21056547.6189851,[5.952 9.187 3.294 3.676],41.50793650781327
2,[ 914. 1511.  717.  755.],10081.0,201.60000000059856,[19.889 18.385 74.314 89.012],7273.4403099852025,7580.0,37266.0,3534.0,3016500000.0,7726541.867756104,36.07499409774114,0.3217141156631255,17.39946433885527,5.995102987093585,0.46348130221179695,0.10385874417220514,0.20067453625632378,0.6321793472869754,[0.099 0.091 0.369 0.442],0.0,0.0,0.0025614261123010455,14962797.619003193,[4.534 7.495 3.557 3.745],37.599206349094715
3,[1147. 1851.  719.  712.],10081.0,201.60000000059856,[21.615 25.836 70.151 83.998],7456.176407297592,7168.0,30392.0,3747.0,4089000000.0,13293295.662399147,36.98133323727394,0.35361571272690623,16.651919452435273,7.423089060415157,0.5801497232510815,0.13391528618192639,0.2232913401448269,0.8490229143934134,[0.107 0.128 0.348 0.417],0.0,0.0,0.003250989401418231,20282738.095177874,[5.689 9.182 3.566 3.532],35.55555555544999
4,[ 915. 1515.  743.  738.],10081.0,201.60000000059856,[19.374 19.383 76.405 86.438],7228.913088613759,7200.0,32272.0,3218.0,3015000000.0,12520304.846748037,35.85414685356223,0.32568197599444193,17.288761035611547,5.806615106990645,0.41205253623691457,0.09770856065866482,0.18024005555004463,0.6037099494097807,[0.096 0.096 0.379 0.429],0.0,0.0,0.004152671590961206,14955357.14281274,[4.539 7.515 3.686 3.661],35.71428571417968
5,[1174. 1881.  669.  684.],10081.0,201.60000000059856,[23.099 28.654 69.388 80.459],7626.022068108126,8048.0,29676.0,3780.0,4252500000.0,13485849.070627965,37.823738062244885,0.3805178057732305,16.758258109314554,7.634641450886809,0.6348669951604926,0.1374863604801111,0.21664517408987205,0.901398670766789,[0.115 0.142 0.344 0.399],0.0,0.0,0.0031712755016173933,21093749.99993737,[5.823 9.33  3.318 3.393],39.92063492051639
6,[ 617. 1070.  361.  683.],10081.0,201.60000000059856,[ 13.394   8.697  12.674 166.835],6481.423593793457,18344.0,35778.0,3663.0,2104500000.0,5794166.088621187,32.14672946034258,0.19386965578811746,17.378037893066164,3.576409862575339,0.279497173835984,0.06001388751115961,0.248090467215554,0.49796647158020035,[0.066 0.043 0.063 0.828],0.0,0.0,0.0027532269368596755,10438988.0952071,[3.061 5.308 1.791 3.388],90.99206349179333
7,[ 859. 1553.  726.  680.],10081.0,201.60000000059856,[16.625 25.579 79.728 79.668],6924.807324336691,6280.0,34395.0,2947.0,2977500000.0,6476542.79353547,34.34583535531152,0.2601329233210982,16.64080944350759,5.325936955878578,0.3508563163296011,0.08401944251562345,0.16307905961710148,0.6144231723043349,[0.082 0.127 0.395 0.395],0.0,0.0,0.0021751613076525507,14769345.238051388,[4.261 7.703 3.601 3.373],31.150793650701164
8,[1149. 1963.  808.  717.],10081.0,201.60000000059856,[19.949 30.105 66.61  84.936],7433.871846195774,6448.0,35751.0,3530.0,4341000000.0,9766279.50888731,36.87070650826994,0.31679396885229244,16.555103660351154,6.935551943255009,0.4963404678606282,0.11536553913302251,0.20553516516218628,0.8756075786132328,[0.099 0.149 0.33  0.421],0.0,0.0,0.002249776436048678,21532738.095174164,[5.699 9.737 4.008 3.557],31.984126984032024
9,[1153. 1997.  812.  724.],10081.0,201.60000000059856,[21.112 28.608 65.818 86.062],7537.479985286682,6600.0,34538.0,3787.0,4279500000.0,5848964.239840484,37.38458478964515,0.32369804582878237,16.560261878781866,7.0329343536874065,0.5232596818556682,0.12478920741989882,0.2209106239460371,0.8906854478722349,[0.105 0.142 0.326 0.427],0.0,0.0,0.0013667400957683104,21227678.571365546,[5.719 9.906 4.028 3.591],32.73809523799804
10,[1175. 1994.  812.  735.],10081.0,201.60000000059856,[20.042 29.714 64.327 87.517],7472.0020008358415,6760.0,34632.0,3494.0,4170000000.0,8925262.1829569,37.05982541829912,0.3199682571173455,16.584862612836027,6.679285730225271,0.4847900388944948,0.11298482293423272,0.20771748834441028,0.8647951592103958,[0.099 0.147 0.319 0.434],0.0,0.0,0.0021403506433949403,20684523.8094624,[5.828 9.891 4.028 3.646],33.53174603164648
11,[1098. 1914.  798.  714.],10081.0,201.60000000059856,[19.755 28.808 68.047 84.99 ],7415.194425400687,6168.0,33614.0,3560.0,4251000000.0,12597068.538875978,36.77806976193997,0.3097311774625497,16.49995040174586,6.89474777633533,0.5046426573465989,0.11973018549747048,0.21247892074198987,0.871143735740502,[0.098 0.143 0.338 0.422],0.0,0.0,0.002963318875294279,21086309.52374692,[5.446 9.494 3.958 3.542],30.595238095147256
12,[1105. 1911.  828.  720.],10081.0,201.60000000059856,[19.473 28.977 67.606 85.544],7378.320523570318,6456.0,33660.0,3507.0,4296000000.0,6088527.668675752,36.59518164652241,0.3091756770161655,16.603908342426347,6.620361296144064,0.5121264692638161,0.11377839500049598,0.20305525245511358,0.8770955262374764,[0.097 0.144 0.335 0.424],0.0,0.0,0.0014172550439189367,21309523.80946054,[5.481 9.479 4.107 3.571],32.02380952371445
13,[ 890. 1569.  752.  623.],10081.0,201.60000000059856,[16.837 26.132 85.846 72.785],7001.016157027526,6144.0,32233.0,2748.0,3010500000.0,10308694.334538313,34.72381786047393,0.27640115067949406,16.670965182025594,5.5506140564142985,0.36920112254627063,0.0880864993552227,0.15325860529709354,0.615415137387164,[0.084 0.13  0.426 0.361],0.0,0.0,0.00342424658180977,14933035.714241378,[4.415 7.783 3.73  3.09 ],30.47619047609999
14,[ 817. 1500.  758.  690.],10081.0,201.60000000059856,[15.682 21.595 82.875 81.448],6838.570696880705,5704.0,34591.0,2986.0,2890500000.0,1122837.5416915072,33.91811673882444,0.2436266243428228,16.587243329034816,5.1040829575425555,0.32756700877081574,0.07975399265945839,0.16962602916377342,0.5682967959527825,[0.078 0.107 0.411 0.404],0.0,0.0,0.00038845789368327526,14337797.61900505,[4.053 7.44  3.76  3.423],28.29365079356679
15,[1059. 1827.  792.  731.],10081.0,201.60000000059856,[20.141 28.828 65.499 87.132],7379.332616659401,6168.0,36013.0,3689.0,4198500000.0,12649240.06066353,36.60020145154693,0.32052375756372925,16.4828886023212,6.757430160377835,0.5052259178974693,0.11685348675726615,0.21803392520583276,0.8659855173097907,[0.1   0.143 0.325 0.432],0.0,0.0,0.003012799823904616,20825892.857081026,[5.253 9.062 3.929 3.626],30.595238095147256
16,[1134. 1963.  811.  748.],10081.0,201.60000000059856,[20.048 29.434 62.665 89.453],7439.0837417441935,6496.0,34782.0,3635.0,4258500000.0,12910812.177157028,36.89655660026665,0.310604106735439,16.561452236881262,6.676591373265427,0.468603857223617,0.11308401944251563,0.21803392520583276,0.8846344608669775,[0.099 0.146 0.311 0.444],0.0,0.0,0.0030317746101108435,21123511.904699188,[5.625 9.737 4.023 3.71 ],32.222222222126554
17,[1188. 2018.  839.  743.],10081.0,201.60000000059856,[20.514 31.025 61.785 88.276],7462.956972489817,6760.0,34211.0,3484.0,4180500000.0,16341364.35052405,37.01496365683687,0.32512647554805635,16.603114770360083,6.634453956961562,0.46314503509758137,0.11348080547564726,0.20880864993552226,0.8648943557186787,[0.102 0.154 0.306 0.438],0.0,0.0,0.003908949731018789,20736607.142795574,[ 5.893 10.01   4.162  3.686],33.53174603164648
18,[1153. 1977.  814.  748.],10081.0,201.60000000059856,[20.282 27.567 64.012 89.739],7442.635381190166,6480.0,34555.0,3609.0,4018500000.0,11435100.547864676,36.914172111852785,0.31671461164566606,16.54637436762226,6.503845136631405,0.4786109157217003,0.1128856264259498,0.21456204741593096,0.8236286082729888,[0.101 0.137 0.318 0.445],0.0,0.0,0.002845614171423336,19933035.714226533,[5.719 9.807 4.038 3.71 ],32.14285714276171
19,[1101. 1859.  801.  714.],10081.0,201.60000000059856,[19.158 28.485 68.404 85.553],7363.827754348039,6648.0,33388.0,3417.0,4119000000.0,13129147.485099303,36.52330004141269,0.3121118936613399,16.608272988790794,6.682809305306703,0.471369144263504,0.11308401944251563,0.2020632873722845,0.8562642594980656,[0.095 0.141 0.339 0.424],0.0,0.0,0.003187459938115878,20431547.618986957,[5.461 9.221 3.973 3.542],32.97619047609257
20,[ 813. 1523.  768.  685.],10081.0,201.60000000059856,[15.958 21.635 82.962 81.045],6849.190754802658,5656.0,33901.0,2931.0,2856000000.0,9301987.239867905,33.9707903720056,0.25021327249280756,16.543596865390338,5.1601251226046,0.3756554001635019,0.08401944251562345,0.16843567106437854,0.5681975994444995,[0.079 0.107 0.412 0.402],0.0,0.0,0.0032569983332870816,14166666.666624606,[4.033 7.555 3.81  3.398],28.055555555472257
