id,sleep_switches,steps,time,sleep_time,energy_consumption,disconnects,num_requests,num_rejects,cell_traffic,cell_dropped_traffic,ant_switches,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[1055. 1056.    0.    0.],10081.0,201.60000000059856,[ 17.835 183.765   0.      0.   ],13405.635640088178,98338.0,13156.0,12215.0,2715000000.0,0.0,56.0,66.48961234046445,0.19283801210197585,17.578414839797638,3.6405199835660973,0.21548032626942693,0.07191746850510862,0.0004959825414145422,0.30383890487054854,[0.088 0.912 0.    0.   ],0.9284737002128306,0.0,13467261.90472192,[5.233 5.238 0.    0.   ],0.27777777777695306
1,[1754. 1754.    0.    0.],10081.0,201.60000000059856,[ 38.804 162.796   0.      0.   ],14203.295655063057,78004.0,21285.0,19488.0,5470500000.0,292008.59164383006,72.0,70.44586675458424,0.5072512647554654,16.805078861224086,9.76005870233166,0.7173360520683639,0.22339053665310982,0.0019839301656581687,0.6697748239261978,[0.192 0.808 0.    0.   ],0.9155743481324876,5.337877554955307e-05,27135416.6665861,[8.7 8.7 0.  0. ],0.3571428571417968
2,[1324. 1325.    0.    0.],10081.0,201.60000000059856,[ 25.658 175.942   0.      0.   ],13755.897331733786,91813.0,17176.0,15924.0,3886500000.0,141485.90456453856,56.0,68.22684918028997,0.29512945144330605,16.605892272592005,5.639570403301844,0.3495773717419962,0.11695268326554906,0.0009919650828290843,0.46860430512845946,[0.127 0.873 0.    0.   ],0.9271075919888216,3.640445248026208e-05,19278273.80946657,[6.567 6.572 0.    0.   ],0.27777777777695306
3,[1673. 1674.    0.    0.],10081.0,201.60000000059856,[ 39.633 161.967   0.      0.   ],14212.850663571353,77853.0,20370.0,18583.0,5421000000.0,517401.9074013495,56.0,70.49325792861639,0.5231227060807299,16.649935522269615,10.031288832874534,0.7918114317712374,0.2386667989286777,0.0018847336573752603,0.6930860033726813,[0.197 0.803 0.    0.   ],0.9122729504172803,9.544399693808329e-05,26889880.952301115,[8.299 8.304 0.    0.   ],0.27777777777695306
4,[1327. 1328.    0.    0.],10081.0,201.60000000059856,[ 24.927 176.673   0.      0.   ],13569.22327672259,91158.0,16409.0,15207.0,3877500000.0,0.0,48.0,67.30097845808427,0.29885924015474313,16.782462057335582,5.665545193439461,0.37551722995068354,0.11963098898918759,0.0014879476242436267,0.46949707370300564,[0.124 0.876 0.    0.   ],0.9267475166067402,0.0,19233630.952323847,[6.582 6.587 0.    0.   ],0.23809523809453118
5,[1760. 1761.    0.    0.],10081.0,201.60000000059856,[ 38.827 162.773   0.      0.   ],14173.76475549139,77661.0,21697.0,19902.0,5436000000.0,401461.9008650642,48.0,70.29939864838697,0.5039182620771598,16.678900902688227,9.928133892420078,0.7247856202306951,0.22596964586846544,0.0020831266739410772,0.6798928677710545,[0.193 0.807 0.    0.   ],0.9172696686177813,7.385244681108612e-05,26964285.714205656,[8.73  8.735 0.    0.   ],0.23809523809453118
6,[1074. 1075.    0.    0.],10081.0,201.60000000059856,[ 18.875 182.725   0.      0.   ],13388.885202592475,98583.0,12989.0,12024.0,2682000000.0,0.0,48.0,66.40653309487494,0.19839301656581884,17.264557087590518,3.6736363183361203,0.20631988916845265,0.07191746850510862,0.00039678603313163377,0.2981847038984228,[0.094 0.906 0.    0.   ],0.9257063669258604,0.0,13303571.42853193,[5.327 5.332 0.    0.   ],0.23809523809453118
7,[1344. 1345.    0.    0.],10081.0,201.60000000059856,[ 24.606 176.994   0.      0.   ],13703.182390438598,91164.0,16231.0,15066.0,3882000000.0,150522.68707929153,56.0,67.9653922747491,0.30219224283304863,16.780478127169925,5.690106633842353,0.36766216664298523,0.11794464834837813,0.001091161591111993,0.4567999206427934,[0.122 0.878 0.    0.   ],0.9282237693302939,3.8774520113161136e-05,19255952.38089521,[6.667 6.672 0.    0.   ],0.27777777777695306
8,[1704. 1705.    0.    0.],10081.0,201.60000000059856,[ 34.48 167.12   0.     0.  ],13949.430193193231,81526.0,20444.0,18842.0,5580000000.0,150522.68707929153,64.0,69.18673838502927,0.4482095030254816,16.559865092748737,8.739093021302349,0.6444012339350897,0.1975994444995536,0.0019839301656581687,0.6900109116159111,[0.171 0.829 0.    0.   ],0.9216396008608883,2.6975391949693823e-05,27678571.42848925,[8.452 8.457 0.    0.   ],0.3174603174593749
9,[1631. 1632.    0.    0.],10081.0,201.60000000059856,[ 33.358 168.242   0.      0.   ],13949.12453648265,82313.0,20259.0,18778.0,5527500000.0,30831.25609916511,80.0,69.18522238110806,0.4263069139966167,16.594782263664317,7.903242449416598,0.6086208418500688,0.18589425652217043,0.0023807161987898025,0.6962602916377344,[0.165 0.835 0.    0.   ],0.9268966878918011,5.577793957334258e-06,27418154.761823356,[8.09  8.095 0.    0.   ],0.39682539682421863
