id,sleep_switches,steps,time,sleep_time,energy_consumption,num_requests,cell_traffic,cell_dropped_traffic,disconnects,num_rejects,ant_switches,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[15679. 15829.  1172.     0.],20161.0,403.19999999737746,[186.686 169.351  47.163   0.   ],40857.83208964876,75036.0,48792000000.0,539847383.9453367,181307.0,50868.0,56.0,101.32888271823987,6.701969148356595,63.99365110857596,62.467167612801966,10.834070789692213,1.9957839392887258,0.016120232131342692,3.876891027230792,[0.463 0.42  0.117 0.   ],0.6779146009915241,0.01106426020547091,121011904.76269186,[38.886 39.258  2.907  0.   ],0.13888888888979226
1,[15134. 15134.     0.     0.],20161.0,403.19999999737746,[198.84 204.36   0.     0.  ],43930.30320306098,159374.0,97021500000.0,1871011296.0047657,438171.0,112689.0,456.0,108.94872080517126,7.1177421754876855,62.58657804672387,74.24054220339563,21.351227778773804,2.651802985962998,0.015872228560091264,9.007638509994544,[0.493 0.507 0.    0.   ],0.7070726718285292,0.01928450184757776,240628720.23966035,[37.535 37.535  0.     0.   ],1.130952380959737
2,[16530. 16531.     0.     0.],20161.0,403.19999999737746,[196.091 207.109   0.      0.   ],43789.78747135344,197243.0,72292500000.0,1987933477.4758017,375684.0,153384.0,144.0,108.6002367723657,6.883904568226366,63.75219483160558,71.61927927182761,20.626995026381,2.6158920688457914,0.011804969991567878,7.215812707702991,[0.486 0.514 0.    0.   ],0.7776397641487911,0.027498474633963436,179296875.0011662,[40.997 41.     0.     0.   ],0.3571428571451801
3,[14645. 14645.     0.     0.],20161.0,403.19999999737746,[198.144 205.056   0.      0.   ],43836.488656567795,155459.0,97410000000.0,1902323786.212437,442243.0,109705.0,176.0,108.7160573795157,7.066792321809752,62.3651604583106,73.47284512220416,20.985922748731802,2.6326075095481376,0.010812955706562174,9.121224145627696,[0.491 0.509 0.    0.   ],0.705684456995092,0.0195290399980745,241592261.9063333,[36.322 36.322  0.     0.   ],0.4365079365107757
4,[15987. 16140.  1162.     0.],20161.0,403.19999999737746,[192.543 165.058  45.599   0.   ],41368.85917752363,65894.0,48699000000.0,464599798.5134477,169027.0,42190.0,72.0,102.59624814623146,6.939735132186527,63.951788105748726,62.83438885429939,11.180546599980929,2.0343236942611975,0.015475422846088984,3.8691037150934973,[0.478 0.409 0.113 0.   ],0.6402707378517012,0.00954023282846563,120781250.0007856,[39.65  40.03   2.882  0.   ],0.17857142857259006
5,[16691. 16692.     0.     0.],20161.0,403.19999999737746,[180.853 222.347   0.      0.   ],41490.37536369838,125029.0,73078500000.0,1109981069.1780174,374478.0,90190.0,184.0,102.89761262759409,6.368572987452014,63.82084222012797,63.527808571024046,14.291528444271142,2.087694062794504,0.010217747135558753,6.226526461981052,[0.449 0.551 0.    0.   ],0.7213526461860849,0.015188886870666713,181246279.76308364,[41.396 41.399  0.     0.   ],0.4563492063521746
6,[9.710e+03 1.117e+04 1.878e+03 6.000e+00],20161.0,403.19999999737746,[139.069 153.705 109.757   0.669],35544.24069046971,72441.0,64806000000.0,978282613.1421453,313664.0,43684.0,2800.0,88.15098628656138,3.63771638311603,32.43946232825753,49.20151854712361,14.79678181708334,2.149248549179108,0.01096175784931303,6.648479738108229,[0.345 0.381 0.272 0.002],0.6030286716086194,0.015095556169832196,160729166.6677121,[2.408e+01 2.771e+01 4.658e+00 1.488e-02],6.944444444489613
7,[11195. 12497.  1740.     0.],20161.0,403.19999999737746,[161.932 166.944  74.324   0.   ],40918.153976930145,216525.0,91578000000.0,3258606509.087613,454424.0,163044.0,7860.0,101.4784831529362,5.357154903031216,45.92411090719706,62.70207537132044,30.961725329003077,3.215515103417489,0.011755369277317594,10.444174396111304,[0.402 0.414 0.184 0.   ],0.7530031174229304,0.03558285296782648,227127976.1919535,[27.765 30.995  4.315  0.   ],19.494047619174413
8,[ 9858. 11387.  1687.     0.],20161.0,403.19999999737746,[144.778 171.338  87.084   0.   ],36644.24084917466,87406.0,74862000000.0,1180863522.8290348,369110.0,54060.0,3272.0,90.87902596392156,4.258717325529778,36.108923168493625,53.15278134266188,14.852022458495728,2.2044045434254254,0.010465750706810177,7.643122860969198,[0.359 0.425 0.216 0.   ],0.618493009633206,0.015773870893497834,185669642.85835052,[24.449 28.242  4.184  0.   ],8.115079365132148
9,[16202. 16203.     0.     0.],20161.0,403.19999999737746,[187.305 215.895   0.      0.   ],42152.04647029294,88535.0,72790500000.0,858857637.3282533,323041.0,55517.0,40.0,104.53858060188817,6.598164773573674,63.889489608650365,65.20979326464311,14.117767011511718,2.2061405684241855,0.010068944992807896,6.080154754228461,[0.465 0.535 0.    0.   ],0.6270627435477495,0.011799034727447307,180531994.0487933,[40.184 40.186  0.     0.   ],0.09920634920699448
