id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,num_requests,disconnects,cell_traffic,cell_dropped_traffic,num_rejects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[898. 899.   0.   0.],10081.0,201.60000000059856,[ 11.362 190.238   0.      0.   ],13086.782177868721,40300.0,1897.0,549.0,2640000000.0,0.0,1243.0,64.90815483516045,0.43487749231227035,39.703997619283804,4.350934379059401,0.2385509393235991,0.06666005356611447,0.0032734847733359787,0.21495883344906258,[0.056 0.944 0.    0.   ],0.6552451238798103,0.0,13095238.095199214,[4.454 4.459 0.    0.   ],199.90079365020014
1,[ 999. 1000.    0.    0.],10081.0,201.60000000059856,[ 15.096 186.504   0.      0.   ],13077.366919555829,10580.0,2075.0,635.0,2964000000.0,0.0,1318.0,64.86145679769992,0.2994940978077562,18.852891578216447,5.484485660773596,0.35937338936398977,0.09919650828290844,0.0026783057236385278,0.27120325364547165,[0.075 0.925 0.    0.   ],0.6351807228915662,0.0,14702380.9523373,[4.955 4.96  0.    0.   ],52.48015873000291
2,[667. 668.   0.   0.],10081.0,201.60000000059856,[ 12.784 188.816   0.      0.   ],13006.895754416384,13456.0,2165.0,178.0,2505000000.0,0.0,1525.0,64.51193212187643,0.2967165955758354,24.222596964586845,4.420872499624224,0.2641093285754007,0.07459577422874715,0.0016863406408094434,0.22706080745957744,[0.063 0.937 0.    0.   ],0.7043879907621247,0.0,12425595.238058345,[3.309 3.313 0.    0.   ],66.74603174583358
3,[1203. 1204.    0.    0.],10081.0,201.60000000059856,[ 19.817 181.783   0.      0.   ],13299.523558211396,19824.0,2634.0,645.0,3093000000.0,0.0,1704.0,65.96331494002504,0.4138478325562935,20.39559567503224,6.691282535266954,0.48129386050663325,0.1292530502926297,0.003372681281618887,0.28995139371094136,[0.098 0.902 0.    0.   ],0.6469248291571754,0.0,15342261.904716354,[5.967 5.972 0.    0.   ],98.33333333304138
4,[684. 685.   0.   0.],10081.0,201.60000000059856,[ 12.875 188.725   0.      0.   ],13009.797370791779,13812.0,2177.0,191.0,2521500000.0,0.0,1548.0,64.52632363251715,0.30108124194028363,24.067056839599246,4.359906226389234,0.2556850779769403,0.06884237674833846,0.0027775022319214363,0.22745759349270905,[0.064 0.936 0.    0.   ],0.711070280202113,0.0,12507440.476153342,[3.393 3.398 0.    0.   ],68.51190476170135
5,[806. 807.   0.   0.],10081.0,201.60000000059856,[ 13.261 188.339   0.      0.   ],12980.396812522918,8872.0,1709.0,294.0,2916000000.0,0.0,1041.0,64.38050199642548,0.23791290546572794,17.87243329034818,4.681807224816244,0.2916514112035225,0.08034917170915584,0.0020831266739410772,0.25622458089475253,[0.066 0.934 0.    0.   ],0.6091281451141018,0.0,14464285.71424277,[3.998 4.003 0.    0.   ],44.007936507805844
6,[1159. 1160.    0.    0.],10081.0,201.60000000059856,[ 13.655 187.945   0.      0.   ],13243.006259858426,40296.0,2158.0,641.0,2781000000.0,0.0,1400.0,65.68299900731459,0.5697847435770266,40.22696161095129,5.441820343943378,0.28893018680845967,0.0798531891677413,0.0032734847733359787,0.22100982045432002,[0.068 0.932 0.    0.   ],0.6487488415199258,0.0,13794642.8571019,[5.749 5.754 0.    0.   ],199.88095238035893
7,[799. 800.   0.   0.],10081.0,201.60000000059856,[ 10.241 191.359   0.      0.   ],12877.869308758645,10876.0,1341.0,499.0,2244000000.0,0.0,805.0,63.87198347760662,0.22918361273683155,21.15067949608174,3.9900845606257542,0.23100196397468892,0.06298978275964687,0.002182323182223986,0.19015970637833549,[0.051 0.949 0.    0.   ],0.6002982848620433,0.0,11130952.380919334,[3.963 3.968 0.    0.   ],53.948412698252525
8,[878. 879.   0.   0.],10081.0,201.60000000059856,[ 11.603 189.997   0.      0.   ],12923.363474259952,13236.0,3155.0,542.0,3027000000.0,0.0,2567.0,64.09762659585516,0.2274377541910525,18.692193234798136,4.190352234633776,0.2373463216953311,0.06913996627318718,0.0023807161987898025,0.29560559468306713,[0.058 0.942 0.    0.   ],0.8136291600633915,0.0,15014880.952336373,[4.355 4.36  0.    0.   ],65.65476190456697
9,[813. 814.   0.   0.],10081.0,201.60000000059856,[ 10.687 190.913   0.      0.   ],12882.830196697792,12212.0,3291.0,431.0,2992500000.0,0.0,2767.0,63.896588615683896,0.20720166650133995,18.585457791885727,3.7472414665662606,0.22446192295100234,0.06437853387560757,0.0016863406408094434,0.2937208610256919,[0.053 0.947 0.    0.   ],0.8407778790641143,0.0,14843749.999955928,[4.033 4.038 0.    0.   ],60.57539682521698
10,[975. 976.   0.   0.],10081.0,201.60000000059856,[ 13.993 187.607   0.      0.   ],13033.32801714881,17396.0,3223.0,611.0,3006000000.0,0.0,2543.0,64.64303153032995,0.28124194028370153,19.12349965281222,4.905536487545349,0.3394515046510482,0.09116159111199286,0.001587144132526535,0.3005654200972126,[0.069 0.931 0.    0.   ],0.7890164443065467,0.0,14910714.285670016,[4.836 4.841 0.    0.   ],86.28968253942634
11,[925. 926.   0.   0.],10081.0,201.60000000059856,[ 12.003 189.597   0.      0.   ],12943.301294434032,13900.0,2922.0,556.0,3040500000.0,0.0,2341.0,64.1965147030574,0.24251562345005448,18.83900406705684,4.218469044849896,0.2571893599399652,0.07122309294712827,0.002479912707072711,0.2928280924511457,[0.06 0.94 0.   0.  ],0.8011635865845311,0.0,15081845.238050459,[4.588 4.593 0.    0.   ],68.94841269820799
