id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,cell_traffic,cell_dropped_traffic,num_requests,disconnects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[ 610. 1084.  334.  669.],10081.0,201.60000000059856,[ 13.129   9.976  10.879 167.616],6478.419361651767,18396.0,2035500000.0,8477302.577225061,3678.0,36642.0,32.1318289934163,0.17887114373574178,17.38240253943061,3.7295756783821035,0.32088084329909367,0.0633865687927785,0.24759448467413947,0.49270905664120623,[0.065 0.049 0.054 0.831],0.0,0.0,0.004164727377659082,10096726.190446213,[3.026 5.377 1.657 3.318],91.24999999972907
1,[1172. 1847.  673.  730.],10081.0,201.60000000059856,[22.838 25.5   67.437 85.825],7589.098364932612,8216.0,4209000000.0,13120767.653477466,4036.0,31998.0,37.640602940850336,0.3732962999702347,16.824521376847535,7.47143224106648,0.6208600313393104,0.13540323380617003,0.24124590814403332,0.9151869854181133,[0.113 0.126 0.335 0.426],0.0,0.0,0.00311731234342539,20877976.1904142,[5.813 9.162 3.338 3.621],40.753968253847255
2,[ 894. 1496.  770.  749.],10081.0,201.60000000059856,[19.198 18.881 75.596 87.925],7226.575982316624,7328.0,3067500000.0,5413189.574124228,3275.0,32893.0,35.842555214354185,0.31877789901795067,17.35502430314453,5.868264348448387,0.43453665746601955,0.10207320702311279,0.19015970637833549,0.6445789108223391,[0.095 0.094 0.375 0.436],0.0,0.0,0.0017646909777096099,15215773.809478633,[4.435 7.421 3.819 3.715],36.34920634909843
3,[1161. 1898.  762.  724.],10081.0,201.60000000059856,[22.388 26.199 67.749 85.264],7501.68973900888,7368.0,4197000000.0,12349473.566414377,3811.0,31428.0,37.207071416578486,0.3680587243328976,16.64319015970638,7.476415832553696,0.654144162431186,0.13332010713222894,0.22368812617795852,0.8725324868564627,[0.111 0.13  0.336 0.423],0.0,0.0,0.0029424526010041405,20818452.38089057,[5.759 9.415 3.78  3.591],36.54761904751054
4,[ 949. 1579.  762.  780.],10081.0,201.60000000059856,[19.388 18.848 71.142 92.222],7284.962780581225,7552.0,3142500000.0,10199315.223558474,3570.0,34696.0,36.1321435402372,0.31671461164566667,17.421684356710642,6.038617958572791,0.44420159402597376,0.1021724035313957,0.2078166848526932,0.6458684654300169,[0.096 0.093 0.353 0.457],0.0,0.0,0.0032456054808459745,15587797.619001338,[4.707 7.832 3.78  3.869],37.46031746020624
5,[1235. 1953.  681.  699.],10081.0,201.60000000059856,[23.409 29.013 66.954 82.224],7716.4939846508105,8632.0,4389000000.0,16710895.638604635,4043.0,32726.0,38.27246297317969,0.3917865291141694,16.96657077670866,7.59566787997439,0.6422618178087593,0.137585556988394,0.24352742783454023,0.952385676024204,[0.116 0.144 0.332 0.408],0.0,0.0,0.003807449450582054,21770833.333268695,[6.126 9.687 3.378 3.467],42.81746031733319
6,[ 650. 1140.  342.  678.],10081.0,201.60000000059856,[ 13.298  10.569  12.044 165.689],6543.8816735206465,18536.0,2044500000.0,7562559.159012183,3358.0,34214.0,32.45651063149234,0.18101378831465256,17.42327150084317,3.8041328539659918,0.2952919484739495,0.06130344211883742,0.22596964586846544,0.47911913500644776,[0.066 0.052 0.06  0.822],0.0,0.0,0.0036989773338284094,10141369.047588937,[3.224 5.655 1.696 3.363],91.94444444417145
7,[ 885. 1527.  721.  654.],10081.0,201.60000000059856,[16.304 24.896 84.181 76.219],6917.052114931054,6064.0,2953500000.0,6557054.8250641115,2831.0,33029.0,34.30737087060887,0.269259002083125,16.652316238468405,5.507707682112112,0.3384685225187692,0.0868961412558278,0.1562345005455808,0.6141255827794861,[0.081 0.123 0.418 0.378],0.0,0.0,0.0022200964364530594,14650297.619004121,[4.39  7.574 3.576 3.244],30.079365079275775
8,[1111. 1931.  799.  703.],10081.0,201.60000000059856,[19.612 30.142 67.924 83.922],7386.065070025907,6352.0,4144500000.0,10129494.886065084,3545.0,35539.0,36.633593244854,0.3102073207023075,16.539629005059023,6.658260627994979,0.4442786289321876,0.11447277055847634,0.20176569784743578,0.8422775518301756,[0.097 0.15  0.337 0.416],0.0,0.0,0.002444081285092311,20558035.714224678,[5.511 9.578 3.963 3.487],31.50793650784296
9,[1164. 1967.  790.  702.],10081.0,201.60000000059856,[20.548 28.14  69.849 83.063],7463.763259124058,6512.0,4153500000.0,14153633.738855928,3566.0,34743.0,37.01896269777658,0.3252851899613094,16.547167939688524,6.854790954361196,0.5132482988164146,0.11933339946433885,0.2115861521674437,0.8509076480507887,[0.102 0.14  0.346 0.412],0.0,0.0,0.0034076402404853564,20602678.5713674,[5.774 9.757 3.919 3.482],32.301587301491395
