id,sleep_switches,steps,time,sleep_time,energy_consumption,cell_traffic,cell_dropped_traffic,num_requests,disconnects,num_rejects,avg_pc,avg_tx_power,avg_num_ants,avg_operation_pc,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,ant_switches,avg_ant_switch_fps
0,[5915. 6110. 1200.    0.],10081.0,201.60000000059856,[66.128 60.388 75.084  0.   ],16310.757541993918,15159000000.0,305560.6693142926,5061.0,6359.0,24.0,80.89850978074394,4.915067949608422,64.0,83.5450580737201,37.46963517206704,2.273159864961566,0.6344608669774824,0.02787421882749727,1.3537347485368516,[0.328 0.3   0.372 0.   ],0.004742145820983995,2.0157046593726012e-05,75193452.38072912,[29.34  30.308  5.952  0.   ],0.0,0.0
1,[5840. 5846.    8.    0.],10081.0,201.60000000059856,[ 71.532 129.864   0.204   0.   ],18439.49838688826,26815500000.0,2962468.3132628514,5905.0,8885.0,127.0,91.45669272336576,5.18258109314583,63.99563535363555,93.20699472046478,42.65563366489085,2.8494548058673645,0.7965479615117548,0.010713222894554111,2.520285685943855,[0.355 0.644 0.001 0.   ],0.021507197290431837,0.00011047596775233919,133013392.85674794,[28.968 28.998  0.04   0.   ],80.0,0.39682539682421863
2,[7531. 7532.    0.    0.],10081.0,201.60000000059856,[ 69.863 131.737   0.      0.   ],18202.74996691554,20559000000.0,2425316.288123585,5783.0,8181.0,0.0,90.28246189323447,4.954429124095089,64.0,91.94581776661722,43.609579464924124,2.908272253923555,0.811526634262474,0.00952286479515921,2.016069834341831,[0.347 0.653 0.    0.   ],0.0,0.00011796859225271583,101979166.6663639,[37.356 37.361  0.     0.   ],0.0,0.0
3,[5657. 6044.  486.    0.],10081.0,201.60000000059856,[68.813 99.22  33.567  0.   ],17654.088369499066,26584500000.0,6317100.071250817,5895.0,10257.0,310.0,87.56119615860064,5.050848130146098,63.999206427933736,89.98447670392817,41.541600122295144,2.798922556885254,0.7725424065072909,0.017160995932943162,2.5390338260093244,[0.341 0.492 0.167 0.   ],0.05258693808312129,0.0002376234298651777,131867559.52341801,[28.061 29.98   2.411  0.   ],8.0,0.039682539682421865
4,[5951. 6091. 1175.    0.],10081.0,201.60000000059856,[67.155 58.623 75.822  0.   ],16379.112502306045,15396000000.0,3624927.1506901104,5084.0,6620.0,0.0,81.23753845008287,5.044578910822616,64.0,84.2609834667233,39.05873485226254,2.3831272325813417,0.660847138180736,0.024104751512746752,1.3983731772641603,[0.333 0.291 0.376 0.   ],0.0,0.0002354460347291576,76369047.61882088,[29.519 30.213  5.828  0.   ],0.0,0.0
5,[5020. 5287.  294.    0.],10081.0,201.60000000059856,[ 58.94  120.789  21.871   0.   ],16999.398011093297,20616000000.0,1517890.2909828327,4850.0,6017.0,7.0,84.31404628058046,4.215454815990566,64.0,85.55161563762638,36.06191443491446,2.105175114531075,0.5922031544489634,0.013193135601626823,1.7386172006745362,[0.292 0.599 0.108 0.   ],0.001443298969072165,7.362680883696316e-05,102261904.76160115,[24.901 26.225  1.458  0.   ],0.0,0.0
6,[3736. 4278.  849.  229.],10081.0,201.60000000059856,[45.733 53.858 60.944 41.065],13540.997338491214,21286500000.0,4662813.342511252,4298.0,16367.0,383.0,67.16098273232123,3.0069239162780566,34.683860728102374,69.15828428245952,28.672286628615346,1.8841200066330401,0.5225672056343617,0.011804384485666104,1.989187580597163,[0.227 0.267 0.302 0.204],0.08911121451838064,0.0002190502592023701,105587797.61873412,[18.532 21.22   4.211  1.136],4112.0,20.39682539676484
7,[4318. 5220. 1001.    0.],10081.0,201.60000000059856,[53.971 73.262 74.367  0.   ],15528.19378268012,23533500000.0,8066062.552290089,4726.0,13083.0,262.0,77.01713015910734,3.6524947921832887,39.78375161194326,79.06479450063594,32.948002834853256,2.233411170260589,0.6146215653209007,0.01210197401051483,2.231723043348874,[0.268 0.363 0.369 0.   ],0.05543800253914515,0.0003427481059889132,116733630.95203437,[21.419 25.893  4.965  0.   ],5496.0,27.26190476182382
8,[3718. 4775. 1113.    0.],10081.0,201.60000000059856,[46.224 66.539 88.837  0.   ],14609.071574686606,21976500000.0,6010479.21003742,4317.0,20646.0,358.0,72.45844447319739,3.0825513341929396,33.67245312964984,74.60634013793096,28.87490378311783,1.9735869724581439,0.5453824025394306,0.010911615911119929,2.09106239460371,[0.229 0.33  0.441 0.   ],0.08292795923094742,0.00027349574363694945,109010416.66634302,[18.442 23.686  5.521  0.   ],4664.0,23.134920634851948
9,[5064. 5065.    0.    0.],10081.0,201.60000000059856,[ 59.383 142.217   0.      0.   ],17406.916937773283,20388000000.0,4909806.9505879665,4912.0,6377.0,19.0,86.33526900986982,4.257355421089276,64.0,87.4942952670974,36.76654002050935,2.1647709426238153,0.6174982640611051,0.011705187977383196,1.761630790596171,[0.295 0.705 0.    0.   ],0.0038680781758957655,0.00024081846922640606,101130952.38065211,[25.119 25.124  0.     0.   ],0.0,0.0
10,[5029. 5030.    0.    0.],10081.0,201.60000000059856,[ 58.541 143.059   0.      0.   ],17340.158771348153,20281500000.0,2019637.3170791734,4852.0,6171.0,0.0,86.00416015943267,4.253546275171211,64.0,87.43790188220508,36.622712306986294,2.175926644763165,0.612141652613828,0.010018847336573752,1.7146116456700724,[0.29 0.71 0.   0.  ],0.0,9.958027350438446e-05,100602678.57112987,[24.945 24.95   0.     0.   ],0.0,0.0
11,[5.533e+03 5.762e+03 3.270e+02 2.000e+00],10081.0,201.60000000059856,[ 66.102 122.288  12.981   0.229],17703.580808770483,26235000000.0,5680175.125756094,5352.0,9078.0,162.0,87.8066700167042,4.766431901597247,61.48239261977978,89.93875737476921,38.49170277895889,2.4417636404804735,0.6899117151076282,0.013490725126475547,2.4299176668981253,[0.328 0.607 0.064 0.001],0.030269058295964126,0.00021651134460667408,130133928.5710422,[2.745e+01 2.858e+01 1.622e+00 9.921e-03],3552.0,17.619047618995307
