drop_ratio,ue_drop_ratio,delay_ratio,qos_reward,pc_kw,reward,n_drop,ue_no_bs
0.0,0.0,0.0,0.0,4.283826224955401,-0.42838262249554016,0.0,0
0.0,0.0,0.0,0.0,4.283826224955401,-0.42838262249554016,0.0,0
0.0,0.0,0.22166666666666685,0.003891664720834305,4.917414439906935,-0.44504146734068184,0.0,0
0.0,0.0,0.23483333333333345,0.0038258332376875023,4.878163787372449,-0.4419063798849949,0.0,0
0.0,0.0,0.1360000000000001,0.004319999136000173,3.1690724431098154,-0.26506725467897946,0.0,0
0.0,0.0,0.251818181818182,0.0037409087508264768,3.5160630336122227,-0.30671539835130457,0.0,0
0.0,0.0,0.21763888888888902,0.003911805392563663,3.835422967944443,-0.3366006320836804,0.0,0
0.0,0.0,0.255277777777778,0.0037236108008102107,3.264565355743906,-0.2817732059646681,0.0,0
0.0,0.0,0.3133333333333336,0.003433332475000213,3.16508586876107,-0.2753085971761045,0.0,0
0.0,0.0,0.24939393939393953,0.0037530299618457603,3.6957505400186053,-0.3245386944597114,0.0,0
0.0,0.0,0.3039215686274512,0.0034803919521338056,3.7335890316732123,-0.33159419974171556,0.0,0
0.0,0.0,0.3173333333333335,0.003413333196800005,3.49856687173757,-0.3088966888121569,0.0,0
0.0,0.0,0.34666666666666696,0.0032666634000032657,2.951759648308755,-0.25597600403083637,0.0,0
0.0,0.0,0.27333333333333354,0.0036333297000036326,3.129504330223393,-0.2693504766222957,0.0,0
0.0,0.0,0.34288888888888913,0.0032855553365185317,3.8583266798683007,-0.3464060039486077,0.0,0
0.0,0.0,0.26126126126126153,0.0036936935938641363,4.2136610230273766,-0.37704177917636805,0.0,0
0.0,0.0,0.32277777777777805,0.0033861108289352073,3.0786173946805904,-0.2672284095208366,0.0,0
0.0,0.0,0.2946666666666669,0.0035266659613334738,3.146458619837984,-0.2723258704477967,0.0,0
0.0,0.0,0.3372727272727276,0.00331363606239672,3.8037650709367727,-0.34061287434491666,0.0,0
0.0,0.0,0.28122222222222243,0.003593888769092595,3.7747215926396978,-0.3343454940348587,0.0,0
0.0,0.0,0.26444444444444465,0.0036777775325926077,3.3731048423134156,-0.2931771538402303,0.0,0
0.0,0.0,0.1833333333333335,0.0040833312916676865,2.979854331540428,-0.24898545765403057,0.0,0
0.0,0.0,0.3919047619047622,0.0030404757561225096,3.2288548142971654,-0.2863997723562465,0.0,0
0.0,0.0,0.36388888888888915,0.0031805550254630495,3.199306012126537,-0.2817639409070971,0.0,0
0.0,0.0,0.33900000000000025,0.003304999834750007,3.6692962591098417,-0.3272696278939841,0.0,0
0.0,0.0,0.308636363636364,0.0034568180246900876,3.4048321596103297,-0.2990013996647519,0.0,0
0.0,0.0,0.24566666666666684,0.0037716662895000376,2.9897712279342175,-0.2537171273194213,0.0,0
0.0,0.0,0.2085185185185187,0.003957406967695521,2.7528583975629877,-0.2277969561439525,0.0,0
0.0,0.0,0.11666666666666675,0.004416662250004417,2.9409659163256503,-0.241096644632512,0.0,0
0.0,0.0,0.19444444444444461,0.004027777442129656,3.41781768669256,-0.29344843936370013,0.0,0
0.0,0.0,0.3706060606060609,0.003146969410881568,3.1634683213939114,-0.27858319920881236,0.0,0
0.0,0.0,0.27814814814814837,0.0036092588582304964,3.0996520977746083,-0.2666541034786949,0.0,0
0.0,0.0,0.2789743589743592,0.0036051279278106712,3.4216162268104804,-0.29890008754732,0.0,0
0.0,0.0,0.2371111111111113,0.0038144441901481643,3.647029206082992,-0.31892959032652124,0.0,0
0.0,0.0,0.31041666666666695,0.003447916235677136,2.9123973756929336,-0.24986474274116777,0.0,0
0.0,0.0,0.35800000000000026,0.0032099993580001268,3.23875980378248,-0.28535598808224655,0.0,0
0.0,0.0,0.32210526315789495,0.003389473505817183,3.658896290326937,-0.3252159469628875,0.0,0
0.0,0.0,0.339824561403509,0.003300877019252086,3.7735404921282156,-0.33774352498179655,0.0,0
0.0,0.0,0.22703703703703726,0.003864814385390993,3.244290477738407,-0.27805127514914885,0.0,0
0.0,0.0,0.2358333333333335,0.003820832378125238,3.050180414507489,-0.25916805291324607,0.0,0
0.0,0.0,0.4075000000000003,0.0029624992593751836,3.4162412199313468,-0.3060741308806325,0.0,0
0.0,0.0,0.22538461538461557,0.0038730766251479517,3.771192171332747,-0.3306422976314993,0.0,0
0.0,0.0,0.2274242424242426,0.0038628786122933954,3.661497464105854,-0.31979520306306464,0.0,0
0.0,0.0,0.3466666666666669,0.003266666013333463,3.0999669699904238,-0.27079670483904084,0.0,0
0.0,0.0,0.2700000000000002,0.0036499987833337375,3.001895925421583,-0.2563896071421535,0.0,0
0.0,0.0,0.36296296296296326,0.003185184831275758,3.2867812362246904,-0.29045590564715995,0.0,0
0.0,0.0,0.32722222222222247,0.0033638886085648368,3.7498159233494155,-0.3346149290321635,0.0,0
0.0,0.0,0.22757575757575774,0.003862120861019315,3.410321490181451,-0.29468669868591335,0.0,0
0.0,0.0,0.37333333333333363,0.00313333270666679,3.175402933479663,-0.27994030086796484,0.0,0
0.0,0.0,0.30866666666666687,0.0034566659753334705,3.1782493763633206,-0.27634494593233044,0.0,0
0.0,0.0,0.4653333333333337,0.0026733330660000253,3.216410220102155,-0.2895610252182152,0.0,0
0.0,0.0,0.26717948717948736,0.003664102282248542,3.703275280872174,-0.3263583007002349,0.0,0
0.0,0.0,0.45166666666666705,0.0027416663239583743,3.305585062895661,-0.29765851040206565,0.0,0
0.0,0.0,0.27023809523809544,0.0036488092631802903,4.053259477414987,-0.3615402365833353,0.0,0
