id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,disconnects,cell_traffic,cell_dropped_traffic,num_requests,num_rejects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[1720. 2237.  721.  391.],10081.0,201.60000000059856,[26.554 69.853 29.259 75.934],12316.996023256435,1136.0,555040.0,12375000000.0,21607932.510473706,12458.0,9456.0,61.09014990206819,0.5319313560162577,16.333300267830573,13.593815714147702,2.030160429498518,0.4796151175478623,0.002479912707072711,2.0788612240849123,[0.132 0.346 0.145 0.377],0.7590303419489485,0.0017460955564019157,61383928.57124632,[ 8.532 11.096  3.576  1.939],5.634920634903905
1,[7329. 6417. 1650.    0.],10081.0,201.60000000059856,[129.921  33.818  37.861   0.   ],22999.00494181202,18976.0,149687.0,64615500000.0,165346698.98798564,37906.0,17184.0,114.07104921045189,8.75952782462116,56.912607876202756,110.30569834406204,16.42332326672244,3.5934927090566413,0.0375954766392223,12.036107529014979,[0.644 0.168 0.188 0.   ],0.4533319263441144,0.002558932438625185,320513392.8561912,[36.354 31.83   8.185  0.   ],94.12698412670466
2,[2427. 3180.  869.  177.],10081.0,201.60000000059856,[61.205 69.844 44.587 25.964],13468.805165365278,6800.0,221355.0,24019500000.0,96752176.83995162,14914.0,7151.0,66.8029221573476,1.5548457494296568,19.12111893661343,32.34660710361777,7.3687492281830895,1.5619482194226764,0.0032734847733359787,5.174685051086202,[0.304 0.346 0.221 0.129],0.4794823655625587,0.004028067896498746,119144345.2377415,[12.039 15.774  4.311  0.878],33.730158730058584
3,[7470. 6875. 1424.    0.],10081.0,201.60000000059856,[122.008  44.546  35.046   0.   ],21771.019669893736,24256.0,201984.0,67156500000.0,306092285.969838,43472.0,21762.0,107.98045665059337,7.3617299871047335,52.19601230036703,91.83554744385273,17.87729814734216,3.4684059121118938,0.03561154647356413,14.55867473464934,[0.605 0.221 0.174 0.   ],0.5005980861244019,0.004557895154896965,333117559.5228205,[37.054 34.102  7.063  0.   ],120.3174603171031
4,[3047. 3774.  823.  167.],10081.0,201.60000000059856,[64.974 69.572 42.899 24.155],13658.645170768441,5960.0,202947.0,21432000000.0,67367189.59181896,15213.0,7569.0,67.74449544076256,1.4937407003273826,18.100982045432,34.164541231058415,7.398900945660488,1.641603015573852,0.00317428826505307,4.639916674933042,[0.322 0.345 0.213 0.12 ],0.49753500295799646,0.00314329925307106,106309523.80920817,[15.114 18.72   4.082  0.828],29.56349206340429
5,[7757. 6953. 1483.    0.],10081.0,201.60000000059856,[128.897  38.872  33.831   0.   ],22050.938788675227,23080.0,176345.0,56533500000.0,209010854.57362583,46950.0,25815.0,109.36880660983289,7.654796151175836,50.830671560361075,102.59211337066655,16.711099742044137,3.6147207618291834,0.034321991865886324,11.652217041960123,[0.639 0.193 0.168 0.   ],0.5498402555910543,0.0036971150658216072,280424107.1420246,[38.477 34.489  7.356  0.   ],114.48412698378708
6,[2507. 2993.  714.  395.],10081.0,201.60000000059856,[37.766 60.37  29.475 73.989],13725.980336678476,1088.0,433438.0,11727000000.0,13708270.051245015,17713.0,13592.0,68.07846610790264,0.7002479912706854,16.15236583672255,18.810511594934816,2.6735629398567706,0.6577720464239659,0.0019839301656581687,2.1102073207023113,[0.187 0.299 0.146 0.367],0.7673460170496246,0.0011689494373023804,58169642.85697015,[12.436 14.846  3.542  1.959],5.396825396809374
7,[2976. 3717.  840.    0.],10081.0,201.60000000059856,[81.428 75.77  44.402  0.   ],15954.44079386859,8376.0,117232.0,21738000000.0,53768525.98334004,11335.0,3682.0,79.13124091789496,1.791965082829145,18.801706179942467,38.62843096278336,5.916817508930099,1.404027378236286,0.013490725126475547,4.054954865588731,[0.404 0.376 0.22  0.   ],0.32483458314953684,0.0024734808162360862,107827380.9520608,[14.762 18.437  4.167  0.   ],41.547619047495694
8,[4397. 4942.  987.   14.],10081.0,201.60000000059856,[72.955 54.875 72.181  1.589],16101.34833582804,3184.0,232951.0,28482000000.0,185927116.94146365,19416.0,9055.0,79.859876678035,1.5374665211785217,17.246701716099594,36.302957741410076,8.917655083048173,1.7014185100684456,0.014284297192738816,7.133220910623946,[0.362 0.272 0.358 0.008],0.46636794396374126,0.006527881361613076,141279761.90434244,[21.811 24.514  4.896  0.069],15.793650793603902
9,[4.654e+03 5.305e+03 9.300e+02 1.000e+00],10081.0,201.60000000059856,[82.557 61.38  57.533  0.13 ],16127.530312211946,5008.0,168735.0,28788000000.0,175748930.21322682,16220.0,6212.0,79.98973470989792,1.6899910723143419,17.52008729292729,38.32985697634789,8.715867557330553,1.8379129054657275,0.018152961015772243,7.202460073405416,[0.41  0.304 0.285 0.001],0.38298397040690507,0.006104937133987315,142797619.04719508,[2.309e+01 2.631e+01 4.613e+00 4.960e-03],24.841269841196087
10,[4626. 5178.  931.   19.],10081.0,201.60000000059856,[77.79  60.664 60.951  2.195],16270.1385203522,5544.0,234389.0,32227500000.0,302366205.3437917,24790.0,12245.0,80.69704652489644,1.7523658367226307,18.18311675429025,39.16787116925938,10.866140035957597,2.094236682868763,0.014482690209304632,9.209999008034917,[0.386 0.301 0.302 0.011],0.49394917305365066,0.009382242039990434,159858630.95190632,[22.946 25.685  4.618  0.094],27.49999999991835
11,[4940. 5532.  922.    0.],10081.0,201.60000000059856,[82.298 62.234 57.068  0.   ],16218.577323944399,5496.0,200409.0,29884500000.0,223839706.49416497,21227.0,9765.0,80.4413119925695,1.7357008233311118,17.702212082134707,40.792074560637815,10.09734428204906,2.0002975895248487,0.013689118143041365,7.879575438944549,[0.408 0.309 0.283 0.   ],0.46002732369152494,0.007490160668378757,148236607.142417,[24.504 27.44   4.573  0.   ],27.26190476182382
