id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,cell_traffic,cell_dropped_traffic,num_requests,num_rejects,disconnects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[11778.  6504.  8301.     0.],20161.0,403.19999999737746,[129.672  48.173 225.355   0.   ],31748.88974852939,52704.0,31555500000.0,43097157.84453013,396326.0,382128.0,58827.0,78.73838040901988,6.32349585834059,57.30886364763653,49.681651608650505,3.8902265639390605,1.1644263677396955,0.00124001785625713,3.5677793760230148,[0.322 0.119 0.559 0.   ],0.9641759561573049,0.0013657574066178678,78262648.81003286,[29.211 16.131 20.588  0.   ],130.71428571513593
1,[11245.  7512.  5595.     0.],20161.0,403.19999999737746,[149.392 106.583 147.225   0.   ],35796.50686600563,26320.0,69222000000.0,240364813.1120796,955713.0,912878.0,390100.0,88.77661541094676,6.62002876841488,59.112147214919894,70.73325467641494,9.567928756695816,2.3954168940032736,9.920142850057041e-05,8.687763503794455,[0.371 0.264 0.365 0.   ],0.9551800592855805,0.00347237602369304,171681547.62016428,[27.889 18.631 13.876  0.   ],65.27777777820236
2,[12024.  9075.  5377.     0.],20161.0,403.19999999737746,[158.195 113.927 131.078   0.   ],37626.91711135907,12528.0,51796500000.0,175178113.13016725,660288.0,633457.0,252499.0,93.3160981879776,6.857675710530863,63.38475274043946,54.58441674631738,5.44766456487457,1.5192202767719856,0.0012896185705074154,5.997867169287238,[0.392 0.283 0.325 0.   ],0.9593647014636038,0.003382045372373949,128463541.66750224,[29.821 22.507 13.336  0.   ],31.07142857163067
3,[10941.  7514.  5625.     0.],20161.0,403.19999999737746,[143.556 103.375 156.269   0.   ],34992.72406001053,28944.0,64606500000.0,225430031.8870125,848606.0,808892.0,359542.0,86.78320534697326,6.172035117306157,55.784931303010765,66.86986965758716,9.362896602466675,2.2982986955012152,0.000248003571251426,8.289816973364417,[0.356 0.256 0.388 0.   ],0.9532008965291313,0.0034892778882467325,160234375.00104222,[27.135 18.636 13.951  0.   ],71.7857142861812
4,[12324.  6792.  8366.     0.],20161.0,403.19999999737746,[138.05   49.988 215.162   0.   ],32786.95803825522,50264.0,32014500000.0,44418374.33429187,394003.0,378367.0,68219.0,81.31282683956869,6.74145131689904,58.131441892763256,52.8931824333361,4.506282003360997,1.3299439511928972,0.0005456078567531372,3.731660135905957,[0.342 0.124 0.534 0.   ],0.9603150229820585,0.0013874455116991322,79401041.66718312,[30.565 16.845 20.749  0.   ],124.66269841350926
5,[5850. 5055. 3525.    0.],20161.0,403.19999999737746,[ 73.194  81.268 248.738   0.   ],26261.101948724947,25724.0,21573000000.0,71111224.95392208,321396.0,309103.0,269075.0,65.12847068280045,1.4232627349834184,22.929418183621845,23.39283452838533,2.337211433091438,0.6296314666931204,0.0008432121422548485,2.9491096671792074,[0.182 0.202 0.617 0.   ],0.9617512352362817,0.0032963067238641858,53504464.28606229,[14.509 12.537  8.743  0.   ],63.79960317501815
6,[7637. 6373. 3791.    0.],20161.0,403.19999999737746,[101.43   81.719 220.051   0.   ],29738.026860186845,19216.0,25278000000.0,252384994.98666233,368794.0,352587.0,271634.0,73.75136863296207,1.7500322404642603,20.74976439660731,31.716540395741358,5.392019425006372,1.2118942512772184,0.0009424135707554189,4.101334259213333,[0.252 0.203 0.546 0.   ],0.9560540572785892,0.009984373565419034,62693452.38136016,[18.941 15.806  9.402  0.   ],47.65873015904015
7,[10007.  7626.  4871.     0.],20161.0,403.19999999737746,[133.727 100.062 169.411   0.   ],32217.351956430753,42848.0,49641000000.0,369564334.6174336,702034.0,671514.0,334145.0,79.90018341457822,4.223758742125897,39.78294727444075,52.05870486882665,10.966451509527001,2.081543574227469,0.0006448092852537077,6.9293685829075935,[0.332 0.248 0.42  0.   ],0.9565263220869644,0.007444739925010246,123117559.52461033,[24.819 18.914 12.081  0.   ],106.26984127053248
8,[9156. 6909. 4753.    0.],20161.0,403.19999999737746,[118.365  67.239 217.596   0.   ],29977.15125545331,29124.0,27546000000.0,204931326.00829184,345370.0,325303.0,253227.0,74.34440567295482,2.341748921184327,23.329398343336145,40.01769573535425,8.090243389010409,1.6811170080849165,0.0013392192847577005,4.237389018401865,[0.294 0.167 0.54  0.   ],0.9418970958681994,0.007439603790324978,68318452.38139674,[22.708 17.135 11.788  0.   ],72.23214285761267
9,[5773. 4680. 3990.    0.],20161.0,403.19999999737746,[ 67.793  57.791 277.616   0.   ],25616.017520196718,21536.0,14893500000.0,49223331.12867567,243718.0,235204.0,154174.0,63.52863826246395,0.9797133078716949,18.260998958385002,20.174202142976135,2.1915545128137945,0.571995436734289,0.000744010713754278,2.3422449283269677,[0.168 0.143 0.689 0.   ],0.9650661830476206,0.003305021058090823,36938244.0478593,[14.318 11.607  9.896  0.   ],53.412698413045824
