id,sleep_switches,steps,time,sleep_time,energy_consumption,cell_traffic,cell_dropped_traffic,num_requests,disconnects,num_rejects,ant_switches,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[15819. 16001.  1202.     0.],20161.0,403.19999999737746,[189.019 165.426  48.755   0.   ],41064.78086800836,48571500000.0,583050128.5943094,66741.0,169178.0,42865.0,120.0,101.84212307923337,6.768870591737224,63.787113734437774,61.841462686791154,11.892524916212144,2.026635583552403,0.018649868558107238,3.850205842964139,[0.469 0.41  0.121 0.   ],0.6422588813472978,0.012003955582889338,120465029.76268831,[39.234 39.685  2.981  0.   ],0.2976190476209834
1,[15021. 15022.     0.     0.],20161.0,403.19999999737746,[196.53 206.67   0.     0.  ],44153.30076104823,96444000000.0,2400367056.675527,173901.0,430384.0,125499.0,784.0,109.50176271278266,6.958702445315745,62.34670899260949,72.47580463047498,24.732568407220658,2.7279400823371858,0.021129904270621495,9.140122017757056,[0.487 0.513 0.    0.   ],0.7216692255938724,0.02488871320844767,239196428.57298437,[37.254 37.257  0.     0.   ],1.9444444444570916
2,[16522. 16523.     0.     0.],20161.0,403.19999999737746,[193.883 209.317   0.      0.   ],43410.125388290246,71751000000.0,2309415571.114303,201232.0,374221.0,157728.0,240.0,107.65866124768206,6.842954218541455,63.543276623183374,71.27847177988168,22.372184607836484,2.6054263181389814,0.011804969991567878,7.0843212142254846,[0.481 0.519 0.    0.   ],0.7838117198059951,0.03218652800817136,177953869.0487765,[40.977 40.98   0.     0.   ],0.5952380952419668
3,[1.461e+04 1.462e+04 3.000e+00 0.000e+00],20161.0,403.19999999737746,[1.974e+02 2.057e+02 8.700e-02 0.000e+00],43417.974163276536,94815000000.0,2088049365.917578,157940.0,429547.0,113042.0,240.0,107.67812648994745,6.910887356778552,61.207876593422945,71.39306648861425,22.24238826654497,2.5976390060016863,0.015078617132086702,8.834135211547046,[4.895e-01 5.103e-01 2.158e-04 0.000e+00],0.7157274914524503,0.022022352643754448,235156250.00152954,[3.624e+01 3.625e+01 7.440e-03 0.000e+00],0.5952380952419668
4,[15986. 16155.  1109.     0.],20161.0,403.19999999737746,[190.603 168.048  44.549   0.   ],41253.63016595276,48498000000.0,546867626.0894513,69651.0,182806.0,45378.0,144.0,102.31047608241859,6.825177322554176,63.91825802291553,61.922525080464396,11.643949093345517,2.023659540697386,0.017806656415852388,3.889340806507614,[0.473 0.417 0.11  0.   ],0.651505362449929,0.01127608614972682,120282738.09602045,[39.648 40.067  2.75   0.   ],0.3571428571451801
5,[17086. 17087.     0.     0.],20161.0,403.19999999737746,[186.219 216.981   0.      0.   ],41999.134625419174,73008000000.0,1031127568.0795542,108542.0,347623.0,74055.0,168.0,104.15935376573324,6.56118248102871,63.9478200486087,64.74774265176352,14.045913879173114,2.1374931799017904,0.010416149992559893,6.189871534150091,[0.462 0.538 0.    0.   ],0.6822704575187485,0.014123487399730909,181071428.57260633,[42.376 42.378  0.     0.   ],0.4166666666693768
6,[9.849e+03 1.117e+04 1.696e+03 4.000e+00],20161.0,403.19999999737746,[139.833 161.704 101.214   0.449],34750.889304347336,58339500000.0,294869621.54527223,37510.0,232549.0,16041.0,2864.0,86.18344651640854,3.4114974455631994,30.65224939239125,47.068513381850245,9.774296393924748,1.818411785129706,0.010713754278061604,5.40870988542235,[0.347 0.401 0.251 0.001],0.4276459610770461,0.005054373478436946,144691220.23903635,[2.443e+01 2.769e+01 4.206e+00 9.921e-03],7.103174603220804
7,[12124. 13283.  1493.     0.],20161.0,403.19999999737746,[176.463 159.209  67.528   0.   ],42206.53808761061,92968500000.0,3807247196.403404,257137.0,447220.0,203509.0,6824.0,104.67372175886312,5.98196518029935,48.77000148802143,66.86604435877499,35.69628882200174,3.371658151877387,0.0221219185556272,10.361043599027825,[0.438 0.395 0.167 0.   ],0.7914419161769796,0.040952012739835585,230576636.90626165,[30.069 32.944  3.703  0.   ],16.92460317471326
8,[ 9391. 10929.  1665.     0.],20161.0,403.19999999737746,[136.056 181.745  85.399   0.   ],34976.378560393816,64525500000.0,1085557234.1505382,85304.0,349723.0,55825.0,2704.0,86.7426679241898,3.5729973711622094,31.620256931699817,48.56759859468251,14.54574761953829,2.049501512821785,0.011556966420316452,6.673379296661872,[0.337 0.451 0.212 0.   ],0.6544241770608646,0.01682369348785423,160033482.14389804,[23.291 27.106  4.129  0.   ],6.706349206392827
9,[16480. 16481.     0.     0.],20161.0,403.19999999737746,[192.509 210.691   0.      0.   ],42657.603291117106,72544500000.0,956658590.1800683,106955.0,316217.0,73479.0,88.0,105.79237957223653,6.859223252815547,63.90774267149447,67.83983868064215,14.401313472357803,2.314270125489807,0.007886513565795348,6.193789990575865,[0.477 0.523 0.    0.   ],0.6870085549997662,0.013187196688654113,179921875.00117028,[40.873 40.875  0.     0.   ],0.21825396825538784
