id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,cell_traffic,cell_dropped_traffic,disconnects,num_requests,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
11,[1556. 2493.  740.  799.],10081.0,201.60000000059856,[27.037 35.75  42.626 96.187],8295.528235216505,8940.0,5862000000.0,25476867.408318136,52341.0,4902.0,41.14437176479395,0.4341632774526253,16.807062791389743,9.128057088055169,0.6966595770649942,0.16129352246800913,0.2911417518103363,1.2391627814700923,[0.134 0.177 0.211 0.477],0.0,0.0,0.0043461049826540666,29077380.95229462,[ 7.718 12.366  3.671  3.963],44.34523809510643
12,[1433. 2358.  828.  814.],10081.0,201.60000000059856,[25.289 34.724 44.194 97.393],8066.036604350817,8296.0,5623500000.0,29360842.781837348,54368.0,4947.0,40.006133341692994,0.397897034024395,16.725324868564627,8.686084433550015,0.7962183832279881,0.1539529808550739,0.2980855073901399,1.1841087193730782,[0.125 0.172 0.219 0.483],0.0,0.0,0.005221097676151391,27894345.23801242,[ 7.108 11.696  4.107  4.038],41.150793650671474
13,[1110. 1966.  815.  748.],10081.0,201.60000000059856,[21.691 33.797 57.279 88.833],7486.440259932155,7648.0,3951000000.0,11022522.389234217,48427.0,3636.0,37.13143666269961,0.35599642892569694,16.807856363456008,7.104572762204354,0.4342233475524281,0.11229044737625235,0.20186489435571867,0.8244221803392521,[0.108 0.168 0.284 0.441],0.0,0.0,0.002789805717346043,19598214.2856561,[5.506 9.752 4.043 3.71 ],37.9365079363953
14,[1209. 1992.  757.  803.],10081.0,201.60000000059856,[21.741 28.894 55.942 95.023],7541.004891597818,7904.0,3996000000.0,11517987.018202076,50664.0,3996.0,37.40206770954817,0.3463148497172847,16.85943854776312,7.175227251046259,0.4743228311190509,0.11308401944251563,0.22755679000099197,0.8051780577323678,[0.108 0.143 0.277 0.471],0.0,0.0,0.002882379133684203,19821428.571369722,[5.997 9.881 3.755 3.983],39.2063492062328
15,[1495. 2437.  819.  805.],10081.0,201.60000000059856,[25.994 36.391 42.039 97.176],8211.246275475998,8608.0,5752500000.0,20460670.64575856,51868.0,4768.0,40.726347958919256,0.4099593294315965,16.81380815395298,8.95761500747598,0.686506281143462,0.15673048308699533,0.27884138478325565,1.1864894355718678,[0.129 0.181 0.209 0.482],0.0,0.0,0.0035568310553252607,28534226.190391473,[ 7.416 12.088  4.062  3.993],42.69841269828593
16,[1559. 2481.  775.  802.],10081.0,201.60000000059856,[26.763 36.944 40.525 97.368],8307.20466761837,8440.0,5820000000.0,23550200.526884906,51245.0,4847.0,41.20228483096677,0.4294018450550453,16.78682670370003,9.256644004642343,0.8023982610945455,0.1644678107330622,0.2868763019541712,1.2085110604106735,[0.133 0.183 0.201 0.483],0.0,0.0,0.00404642620736854,28869047.618961908,[ 7.733 12.307  3.844  3.978],41.865079364955065
17,[1460. 2398.  837.  812.],10081.0,201.60000000059856,[26.085 35.204 42.088 98.223],8267.960100643695,8080.0,5772000000.0,23804814.93960198,52163.0,4875.0,41.00763863031845,0.40075389346294227,16.681678404920145,9.181189954182404,0.7463284071337852,0.16119432595972621,0.2864795159210396,1.1858942565221704,[0.129 0.175 0.209 0.487],0.0,0.0,0.004124188312474355,28630952.380867373,[ 7.242 11.895  4.152  4.028],40.07936507924608
18,[1511. 2453.  761.  817.],10081.0,201.60000000059856,[26.768 34.07  41.785 98.977],8262.275896962712,8152.0,5638500000.0,22424368.154047698,53169.0,5056.0,40.97944597244289,0.41829183612735965,16.698343418311676,9.245266890043665,0.7357455308797992,0.16288066660053566,0.30711238964388454,1.1911516714611645,[0.133 0.169 0.207 0.491],0.0,0.0,0.003977009515659785,27968749.99991696,[ 7.495 12.168  3.775  4.053],40.436507936387876
19,[1436. 2363.  793.  803.],10081.0,201.60000000059856,[25.138 35.231 44.641 96.59 ],8087.508740384209,8632.0,5613000000.0,21145786.832297295,50401.0,4704.0,40.112631387687586,0.39742089078463694,16.82293423271501,8.645215808311942,0.6633017672444546,0.14879476242436265,0.27894058129153854,1.201368911814304,[0.125 0.175 0.221 0.479],0.0,0.0,0.003767287873204578,27842261.90467924,[ 7.123 11.721  3.934  3.983],42.81746031733319
20,[1068. 1944.  839.  783.],10081.0,201.60000000059856,[20.646 28.872 58.705 93.377],7389.947349501001,7232.0,3769500000.0,16998518.91366655,49039.0,3956.0,36.652848673258205,0.3187778990179508,16.7312766590616,6.680719380143239,0.49116129816338966,0.10961214165261383,0.22934232715008432,0.7690705287173891,[0.102 0.143 0.291 0.463],0.0,0.0,0.004509489034000942,18697916.666611154,[5.298 9.643 4.162 3.884],35.87301587290936
