drop_ratio,ue_drop_ratio,delay_ratio,qos_reward,pc_kw,reward,r0,r1,r2,pc0,pc1,pc2,n_drop,bs_n_drop,ue_no_bs,bs0_drop_ratio,bs1_drop_ratio,bs10_drop_ratio,bs11_drop_ratio
0.0,0.0,0.0,0.0,2.31743659465873,-0.23174365946587303,-0.08924637968657007,-0.04462318984328503,-0.08164843891860273,89.24637968657007,44.62318984328503,81.64843891860272,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.13833333333333342,0.0043083311791677435,2.54163450777798,-0.20246347662778508,-0.08924637968657007,-0.04462318984328503,-0.04174593322415446,89.24637968657007,44.62318984328503,90.54588442420327,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.12933333333333344,0.00435333246266684,2.673004085737212,-0.21506041902171913,-0.08924637968657007,-0.04462318984328503,-0.04462318984328503,89.24637968657007,44.62318984328503,44.62318984328503,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.15611111111111123,0.00421944374120382,2.514297471041985,-0.2007964222097527,-0.08924637968657007,-0.08614204343328836,-0.04462318984328503,89.24637968657007,86.14204343328836,44.62318984328503,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.11916666666666674,0.004404165565625275,2.287634663909295,-0.17591347960342618,-0.025881450109105305,-0.009324633225907292,-0.04462318984328503,25.881450109105305,64.7245778259627,44.62318984328503,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.15166666666666678,0.004241664545834393,2.2238122720061972,-0.171481252650607,-0.025881450109105305,-0.025881450109105305,-0.04462318984328503,25.881450109105305,25.881450109105305,44.62318984328503,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.11166666666666675,0.004441664445834443,2.1754754778000476,-0.16424757442999144,-0.025881450109105305,-0.025881450109105305,-0.04462318984328503,25.881450109105305,25.881450109105305,44.62318984328503,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.1450000000000001,0.004274997862501068,2.148134014966997,-0.1635134271466869,-0.025881450109105305,-0.025881450109105305,-0.058668011392458266,25.881450109105305,25.881450109105305,58.66801139245827,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.1375000000000001,0.0043124989218752685,2.1870428604373013,-0.16695429898122693,-0.025881450109105305,-0.025881450109105305,-0.052492496625987456,25.881450109105305,25.881450109105305,106.69244242604167,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.13166666666666677,0.004341665581250271,1.9736155894331535,-0.14526157196831213,-0.04462318984328503,-0.025881450109105305,-0.01560970875126623,44.62318984328503,25.881450109105305,71.60965275132223,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.24833333333333352,0.003758331454167605,1.8877196791105764,-0.1436719904610464,-0.04462318984328503,-0.025881450109105305,-0.08924637968657007,44.62318984328503,25.881450109105305,89.24637968657007,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.050000000000000024,0.00474999525000475,1.6714866274321085,-0.11014871974315385,-0.08924637968657007,-0.10044194608235302,-0.04965484185496423,89.24637968657007,100.44194608235301,106.65478485502123,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.3733333333333337,0.0031333322888892345,1.452991571967482,-0.1076991697300774,-0.04462318984328503,-0.04442057556345049,-0.04462318984328503,44.62318984328503,74.72056041345803,44.62318984328503,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.1666666666666668,0.004166662500004167,1.437338373665196,-0.09373388736646959,-0.025881450109105305,-0.025881450109105305,-0.04462318984328503,25.881450109105305,25.881450109105305,44.62318984328503,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.11333333333333341,0.004433328900004434,1.5115319962968665,-0.09795325282963344,-0.025881450109105305,-0.025881450109105305,-0.025881450109105305,25.881450109105305,25.881450109105305,25.881450109105305,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.34555555555555584,0.0032722211314818437,1.4769544843585838,-0.10842879485807626,-0.025881450109105305,-0.025881450109105305,-0.025881450109105305,25.881450109105305,25.881450109105305,25.881450109105305,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.3132939793892742,-0.13132939793892742,-0.025881450109105305,-0.025881450109105305,-0.025881450109105305,25.881450109105305,25.881450109105305,25.881450109105305,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.10000000000000007,0.0044999955000045,1.8407477749031482,-0.13007483149026083,-0.025881450109105305,-0.025881450109105305,-0.025881450109105305,25.881450109105305,25.881450109105305,25.881450109105305,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.28518518518518543,0.0035740736769547757,1.9091678015794813,-0.14802789603449082,-0.025881450109105305,-0.025881450109105305,-0.025881450109105305,25.881450109105305,25.881450109105305,25.881450109105305,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.20666666666666683,0.003966665675000247,1.7059615282910605,-0.1229961647291031,-0.025881450109105305,-0.025881450109105305,-0.025881450109105305,25.881450109105305,25.881450109105305,25.881450109105305,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.36444444444444474,0.0031777767185188696,1.6654760471701784,-0.12841428409479141,-0.025881450109105305,-0.025881450109105305,-0.08141632483307133,25.881450109105305,25.881450109105305,88.6163176330785,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.11444444444444453,0.004427776301852343,1.6127807241300418,-0.10814475679077606,-0.025881450109105305,-0.025881450109105305,-0.025881450109105305,25.881450109105305,25.881450109105305,25.881450109105305,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.15222222222222234,0.004238887475926396,1.5788180024954026,-0.10701515053842352,-0.025881450109105305,-0.025881450109105305,-0.025881450109105305,25.881450109105305,25.881450109105305,25.881450109105305,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.34111111111111136,0.003294443346296661,1.5944528461033507,-0.11991196445477514,-0.025881450109105305,-0.025881450109105305,-0.025881450109105305,25.881450109105305,25.881450109105305,25.881450109105305,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.2333333333333335,0.003833329500003833,1.4419186404928708,-0.09819191004924108,-0.025881450109105305,-0.025881450109105305,-0.025881450109105305,25.881450109105305,25.881450109105305,25.881450109105305,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.18666666666666681,0.00406666463333435,1.4583935480731973,-0.09703937920730754,-0.025881450109105305,-0.025881450109105305,-0.025881450109105305,25.881450109105305,25.881450109105305,25.881450109105305,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.16583333333333344,0.00417083229062526,1.7388811810244151,-0.12383813061493841,-0.025881450109105305,-0.025881450109105305,-0.025881450109105305,25.881450109105305,25.881450109105305,25.881450109105305,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.24333333333333354,0.0037833325766668175,1.6928917777792856,-0.12388918685792676,-0.025881450109105305,-0.025881450109105305,-0.025881450109105305,25.881450109105305,25.881450109105305,25.881450109105305,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.3100000000000002,0.0034499993100001367,1.9094734904928143,-0.14954735732927982,-0.09490568545209356,-0.025881450109105305,-0.025881450109105305,94.90568545209356,25.881450109105305,25.881450109105305,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.2542857142857145,0.0037285708959184432,1.788670099169452,-0.1341241591659239,-0.05756878379461056,-0.025881450109105305,-0.025881450109105305,96.11877415711295,25.881450109105305,25.881450109105305,0.0,0.0,0,0.0,0.0,0.0,0.0
