drop_ratio,ue_drop_ratio,delay_ratio,qos_reward,pc_kw,reward,b0_drop_ratio,b0_pc,b0_qos_rwd,b1_drop_ratio,b1_pc,b1_qos_rwd,n_drop,ue_no_bs
0.0,0.0,0.0,0.0,2.3232659452408266,-0.23232659452408266,0.0,107.13370243804945,21405.31374712228,0.0,89.24637968657007,17831.4266613767,0.0,0
0.0,0.0,0.12888888888888897,0.004355554103704187,2.3094308071023337,-0.14383199863614965,0.0,61.58000198373335,12320.61771274994,0.0,118.10625902191524,23614.56386897868,0.0,0
0.0,0.0,0.11291666666666672,0.004435416112239653,2.1251273691309347,-0.12380441466830042,0.0,61.58000198373335,12303.684396349921,0.0,61.58000198373335,12303.684396349921,0.0,0
0.0,0.0,0.08666666666666671,0.004566664383334475,2.081236338672699,-0.1167903462005804,0.0,108.88112629195983,21772.71568153359,0.0,61.58000198373335,12303.684396349921,0.0,0
0.0,0.0,0.06888888888888893,0.00465555400370422,2.2049682971547324,-0.12738574964138882,0.0,61.58000198373335,12303.684396349921,0.0,61.58000198373335,12303.684396349921,0.0,0
0.0,0.0,0.12259259259259268,0.004387036549588531,2.2849768326241766,-0.14075695227064705,0.0,61.58000198373335,12303.684396349921,0.0,97.0717702172608,19413.073004608726,0.0,0
0.0,0.0,0.0953333333333334,0.004523332881000045,1.9843525009883929,-0.1079685924788384,0.0,61.58000198373335,12303.684396349921,0.0,97.0260511499868,19385.805019767362,0.0,0
0.0,0.0,0.12777777777777785,0.0043611096574078904,1.8827496135815498,-0.10105276820999719,0.0,61.58000198373335,12303.684396349921,0.0,61.58000198373335,12320.61771274994,0.0,0
0.0,0.0,0.1422222222222223,0.004288888174074193,1.8968027915444097,-0.10390251567295711,0.0,61.58000198373335,12303.684396349921,0.0,61.58000198373335,12303.684396349921,0.0,0
0.0,0.0,0.13555555555555565,0.004322221501851971,2.146142982786172,-0.1281698682415778,0.0,61.58000198373335,12303.684396349921,0.0,104.91395288255755,20961.807785934998,0.0,0
