drop_ratio,ue_drop_ratio,delay_ratio,qos_reward,pc_kw,reward,r0,r1,r2,pc0,pc1,pc2,n_drop,bs_n_drop,ue_no_bs,bs0_drop_ratio,bs1_drop_ratio,bs10_drop_ratio,bs11_drop_ratio
0.0,0.0,0.04666666666666669,0.004766661900004768,4.442115706133213,-0.4251449230133022,-0.08924637968657007,-0.08924637968657007,-0.08924637968657007,89.24637968657007,89.24637968657007,89.24637968657007,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.05833333333333335,0.004708332156250294,4.44759510692834,-0.4259261820678328,-0.08924637968657007,-0.08924637968657007,-0.08924637968657007,89.24637968657007,89.24637968657007,89.24637968657007,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.051111111111111135,0.0047444428629634895,4.342724927666912,-0.41529472131483725,-0.08924637968657007,-0.08924637968657007,-0.08924637968657007,89.24637968657007,89.24637968657007,89.24637968657007,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.09416666666666673,0.004529165534375283,4.2915405745210995,-0.41103739531460887,-0.08924637968657007,-0.08924637968657007,-0.08924637968657007,89.24637968657007,89.24637968657007,89.24637968657007,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.08666666666666671,0.004566664383334475,4.126897790349522,-0.39442312150161435,-0.08924637968657007,-0.08924637968657007,-0.08924637968657007,89.24637968657007,89.24637968657007,89.24637968657007,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.09000000000000004,0.004549998483333839,4.359225122564886,-0.4177225183231532,-0.08924637968657007,-0.08924637968657007,-0.12246860388864297,89.24637968657007,89.24637968657007,122.46860388864297,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.08291666666666672,0.004585416093489655,4.272055223641127,-0.40886385799015407,-0.08924637968657007,-0.08924637968657007,-0.07096856271626574,89.24637968657007,89.24637968657007,88.03521231628281,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.05777777777777781,0.004711110325926056,4.060441903724477,-0.38719974906874355,-0.08924637968657007,-0.08924637968657007,-0.06158000198373335,89.24637968657007,89.24637968657007,61.58000198373335,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.07583333333333336,0.004620832178125288,4.0563127705713775,-0.3871479483446366,-0.08924637968657007,-0.08924637968657007,-0.06158000198373335,89.24637968657007,89.24637968657007,61.58000198373335,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.061666666666666696,0.004691665884722352,4.041495427625453,-0.3853828792236559,-0.08924637968657007,-0.1033496240952593,-0.06158000198373335,89.24637968657007,122.28293849527824,61.58000198373335,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.06500000000000004,0.004674999220833463,4.080780347945811,-0.38937803791124725,-0.08924637968657007,-0.06158000198373335,-0.06158000198373335,89.24637968657007,61.58000198373335,61.58000198373335,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.07424242424242428,0.004628787457989019,3.941884227105195,-0.37567327287856345,-0.08924637968657007,-0.10885605762447646,-0.08048279550780287,89.24637968657007,108.85605762447646,80.48279550780286,0.0,0.0,0,0.0,0.0,0.0,0.0
