id,sleep_switches,steps,time,sleep_time,energy_consumption,disconnects,cell_traffic,cell_dropped_traffic,num_requests,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,ant_switches,avg_ant_switch_fps
13,[4811. 4811.    0.    0.],20161.0,403.19999999737746,[219.123 184.077   0.      0.   ],42443.04934909509,123596.0,110404500000.0,1056499.8435919362,23314.0,105.26027813376108,6.953940776747816,64.0,70.3046527579983,4.613719508898974,1.329398343336144,0.01334259213332672,5.018798670700858,[0.543 0.457 0.    0.   ],0.0,0.0,9.569354904844787e-06,273820684.52559054,[11.932 11.932  0.     0.   ],0.0,0.0
14,[5039. 5040.    0.    0.],20161.0,403.19999999737746,[193.844 209.356   0.      0.   ],40304.23167980987,169072.0,75265500000.0,227189.39815248502,20864.0,99.95593393137597,6.158424681316376,64.0,59.8882989698853,3.5386221382646577,1.0231635335548832,0.012350577848321016,3.2002876841426517,[0.481 0.519 0.    0.   ],0.0,0.0,3.018506462489255e-06,186670386.90597606,[12.498 12.5    0.     0.   ],0.0,0.0
15,[4903. 4904.    0.    0.],20161.0,403.19999999737746,[193.975 209.225   0.      0.   ],40380.56019561409,164971.0,74235000000.0,217273.08959282396,20552.0,100.14523137645357,6.17747135558849,64.0,59.23279963717034,3.519654585908256,1.0173602499875998,0.015078617132086702,3.1591686920291653,[0.481 0.519 0.    0.   ],0.0,0.0,2.926828175292301e-06,184114583.33453086,[12.16  12.163  0.     0.   ],0.0,0.0
16,[4737. 4738.    0.    0.],20161.0,403.19999999737746,[218.379 184.821   0.      0.   ],42452.735117204866,122962.0,110142000000.0,1753198.2847612489,23038.0,105.28429918457675,6.954575665890219,64.0,69.51399279524772,4.573940564404611,1.3151133376320618,0.012697782848073012,4.9871534150091765,[0.542 0.458 0.    0.   ],0.0,0.0,1.5917618027285222e-05,273169642.8589196,[11.749 11.751  0.     0.   ],0.0,0.0
17,[4702. 4703.    0.    0.],20161.0,403.19999999737746,[223.115 180.085   0.      0.   ],42832.337710961765,116916.0,109855500000.0,1991974.853921088,23283.0,106.2257271736562,7.094251277218895,64.0,70.5968610906465,4.736656343328377,1.3643172461683448,0.012896185705074153,5.101532662070333,[0.553 0.447 0.    0.   ],0.0,0.0,1.813268205889635e-05,272459077.3827245,[11.662 11.664  0.     0.   ],0.0,0.0
18,[4810. 4811.    0.    0.],20161.0,403.19999999737746,[218.915 184.285   0.      0.   ],42449.004218839465,122382.0,110053500000.0,922489.9825352888,22867.0,105.27504642339129,6.98378056644076,64.0,69.06175992218094,4.554562730168853,1.318089380487079,0.014037002132830713,5.00347204999752,[0.543 0.457 0.    0.   ],0.0,0.0,8.382195773285618e-06,272950148.81129915,[11.93  11.932  0.     0.   ],0.0,0.0
19,[4941. 4941.    0.    0.],20161.0,403.19999999737746,[192.232 210.968   0.      0.   ],40190.07218179686,163994.0,74761500000.0,309634.7817808509,20554.0,99.67281429938137,6.15080601160753,64.0,59.86827402253871,3.5659382371500996,1.0251475621248947,0.012697782848073012,3.1887307177223354,[0.477 0.523 0.    0.   ],0.0,0.0,4.141634153686736e-06,185420386.90596795,[12.254 12.254  0.     0.   ],0.0,0.0
20,[4801. 4801.    0.    0.],20161.0,403.19999999737746,[213.492 189.708   0.      0.   ],42026.27583011568,136706.0,68332500000.0,271163.52200065675,22841.0,104.226664922661,6.793948712862242,64.0,68.34380791735484,4.33900849859617,1.2525668369624523,0.012995387133574723,3.0295124249789196,[0.529 0.471 0.    0.   ],0.0,0.0,3.968295057266407e-06,169475446.42967376,[11.907 11.907  0.     0.   ],0.0,0.0
21,[4741. 4742.    0.    0.],20161.0,403.19999999737746,[214.671 188.529   0.      0.   ],42092.25835044764,131016.0,74421000000.0,55091.42625387058,22328.0,104.39030392948673,6.859342294529758,64.0,66.89987189953044,4.362657037452262,1.25390605624721,0.013392192847577006,3.50607608749566,[0.532 0.468 0.    0.   ],0.0,0.0,7.402672129354695e-07,184575892.8583434,[11.758 11.761  0.     0.   ],0.0,0.0
22,[4637. 4637.    0.    0.],20161.0,403.19999999737746,[235.562 167.638   0.      0.   ],43812.68889303334,103130.0,103021500000.0,1682574.0771925459,24948.0,108.65703311600039,7.480263875799963,64.0,77.19095552210342,5.313573074352522,1.5318684589058083,0.012251376419820445,4.897971330787163,[0.584 0.416 0.    0.   ],0.0,0.0,1.633226149097563e-05,255509672.62070954,[11.5 11.5  0.   0. ],0.0,0.0
23,[4662. 4662.    0.    0.],20161.0,403.19999999737746,[213.699 189.501   0.      0.   ],42030.08715090126,133479.0,74233500000.0,724084.8714523591,22431.0,104.23611713432267,6.785695154011001,64.0,67.32140201689857,4.412147605681374,1.270423094092555,0.013392192847577006,3.520708298199494,[0.53 0.47 0.   0.  ],0.0,0.0,9.7541523901252e-06,184110863.0964356,[11.563 11.563  0.     0.   ],0.0,0.0
24,[4760. 4760.    0.    0.],20161.0,403.19999999737746,[216.555 186.645   0.      0.   ],42269.09010049779,134634.0,68583000000.0,184878.40216685846,23127.0,104.82885298471702,6.854898070532936,64.0,69.01028539881398,4.440015005084591,1.280690441942364,0.01334259213332672,3.0649769356678735,[0.537 0.463 0.    0.   ],0.0,0.0,2.695688467504461e-06,170096726.19158256,[11.806 11.806  0.     0.   ],0.0,0.0
