id,sleep_switches,steps,time,sleep_time,energy_consumption,num_requests,disconnects,cell_traffic,cell_dropped_traffic,ant_switches,num_rejects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
30,[1380. 1381.    0.    0.],10081.0,201.60000000059856,[ 20.346 181.254   0.      0.   ],13292.01860306858,50948.0,1613.0,4012500000.0,47909.60362556085,1224.0,49878.0,65.92609167277416,0.31346096617398717,16.12617795853586,6.147564038940146,0.5267917138906036,0.16377343517508183,0.0013887511159607182,0.7853387560757862,[0.101 0.899 0.    0.   ],0.9789981942372615,1.1940088130980897e-05,19903273.809464715,[6.845 6.85  0.    0.   ],6.071428571410546
31,[1530. 1531.    0.    0.],10081.0,201.60000000059856,[ 22.269 179.331   0.      0.   ],13376.713825597264,48820.0,1656.0,3955500000.0,0.0,1672.0,47682.0,66.34616518992858,0.3434579902787378,16.150381906556888,6.554583416573067,0.5295943483765208,0.16863406408094436,0.0011903580993949012,0.7671857950600139,[0.11 0.89 0.   0.  ],0.976689881196231,0.0,19620535.71422746,[7.589 7.594 0.    0.   ],8.293650793626169
32,[1361. 1362.    0.    0.],10081.0,201.60000000059856,[ 20.22 181.38   0.     0.  ],13292.254448780235,50766.0,1526.0,3985500000.0,147479.74732055707,1360.0,49719.0,65.92726142632897,0.313460966173987,16.129749032834045,6.1186188416585034,0.5419861101113682,0.16496379327447674,0.00039678603313163377,0.7708560658664815,[0.1 0.9 0.  0. ],0.979375960288382,3.7004076607842696e-05,19769345.238036543,[6.751 6.756 0.    0.   ],6.746031746011717
33,[1247. 1248.    0.    0.],10081.0,201.60000000059856,[ 18.389 183.211   0.      0.   ],13209.397250174128,39404.0,1361.0,3964500000.0,204413.12037934284,1384.0,38439.0,65.51630418693718,0.2755282214066047,16.12141652613828,5.434499307709651,0.4755858199056184,0.1433389544688027,0.0004959825414145422,0.6871342128757068,[0.091 0.909 0.    0.   ],0.9755101004974114,5.156088293084698e-05,19665178.571370184,[6.186 6.19  0.    0.   ],6.865079365058983
34,[1394. 1395.    0.    0.],10081.0,201.60000000059856,[ 21.018 180.582   0.      0.   ],13329.182781117164,19625.0,1028.0,2854500000.0,0.0,3584.0,18574.0,66.11041950755593,0.312429322487846,16.33250669576431,5.641774329585295,0.36176832710023415,0.12330125979565519,0.0011903580993949012,0.39698442614819957,[0.104 0.896 0.    0.   ],0.9464458598726114,0.0,14159226.190434152,[6.915 6.92  0.    0.   ],17.777777777724996
35,[1145. 1146.    0.    0.],10081.0,201.60000000059856,[ 17.786 183.814   0.      0.   ],13191.933114713394,16645.0,933.0,2877000000.0,338999.27890241623,2320.0,15756.0,65.4296851240427,0.27433786330720994,16.263465925999405,4.825181945251801,0.37393781136935705,0.1151671461164567,0.001091161591111993,0.39777799821446286,[0.088 0.912 0.    0.   ],0.9465905677380595,0.00011783082339326251,14270833.333290963,[5.68  5.685 0.    0.   ],11.507936507902341
36,[501. 502.   0.   0.],10081.0,201.60000000059856,[  7.198 194.402   0.      0.   ],12728.587747211262,34128.0,516.0,4143000000.0,283253.3180135085,408.0,33715.0,63.131572994780065,0.1059418708461468,16.052772542406508,2.1146608285754187,0.1901074346688878,0.05426049003075092,0.0002975895248487253,0.6675925007439738,[0.036 0.964 0.    0.   ],0.9878984997655884,6.836913299867451e-05,20550595.238034222,[2.485 2.49  0.    0.   ],2.023809523803515
37,[1533. 1534.    0.    0.],10081.0,201.60000000059856,[ 22.967 178.633   0.      0.   ],13408.565573897165,49285.0,1830.0,4044000000.0,87252.65267484763,1288.0,48090.0,66.50414430063174,0.35980557484376013,16.121813312171412,7.244534780016221,0.6611757560933883,0.1996825711734947,0.001091161591111993,0.7758158912806269,[0.114 0.886 0.    0.   ],0.9757532717865476,2.1575829049171025e-05,20059523.809464253,[7.604 7.609 0.    0.   ],6.3888888888699205
38,[788. 789.   0.   0.],10081.0,201.60000000059856,[ 11.52 190.08   0.     0.  ],12910.857250746376,40589.0,922.0,3996000000.0,373825.300313068,616.0,39959.0,64.03559791063662,0.17522071223093086,16.069834341831168,3.477743086077422,0.3061509604278201,0.09374070032734848,0.0007935720662632675,0.7121317329629997,[0.057 0.943 0.    0.   ],0.9844785533026189,9.354987495322021e-05,19821428.571369722,[3.909 3.914 0.    0.   ],3.0555555555464835
39,[1389. 1390.    0.    0.],10081.0,201.60000000059856,[ 21.016 180.584   0.      0.   ],13327.879512064022,49130.0,1704.0,3933000000.0,247152.93044934134,1344.0,48037.0,66.10395552058448,0.32734847733359357,16.13133617696657,6.328287356894091,0.6192722861356794,0.18490229143934134,0.0005951790496974506,0.7690705287173891,[0.104 0.896 0.    0.   ],0.9777529004681458,6.284081628511094e-05,19508928.57137065,[6.89  6.895 0.    0.   ],6.666666666646873
40,[561. 562.   0.   0.],10081.0,201.60000000059856,[  8.064 193.536   0.      0.   ],12760.660277031502,29990.0,600.0,3987000000.0,103384.10190104059,584.0,29534.0,63.290647143278306,0.12371788513044418,16.069437555798036,2.5569171940231077,0.22202614625260086,0.06308897926792977,9.919650828290844e-05,0.6271203253645472,[0.04 0.96 0.   0.  ],0.9847949316438813,2.5930298946837368e-05,19776785.714226995,[2.783 2.788 0.    0.   ],2.896825396816796
41,[1065. 1066.    0.    0.],10081.0,201.60000000059856,[ 15.75 185.85   0.     0.  ],13096.30091564487,17910.0,797.0,2854500000.0,0.0,2016.0,17102.0,64.95536611269274,0.22426346592599997,16.17537942664418,4.180587106418676,0.2877472902269302,0.09503025493502629,0.0009919650828290843,0.39093343914294215,[0.078 0.922 0.    0.   ],0.9548855388051368,0.0,14159226.190434152,[5.283 5.288 0.    0.   ],9.99999999997031
42,[1449. 1450.    0.    0.],10081.0,201.60000000059856,[ 27.408 174.192   0.      0.   ],13690.550624498543,8741.0,740.0,3100500000.0,0.0,30064.0,7423.0,67.90274092101431,0.5684356710643812,19.931752802301357,8.610441338713555,0.5650121680767066,0.16883245709751016,0.0027775022319214363,0.345600634857653,[0.136 0.864 0.    0.   ],0.8492163368035693,0.0,15379464.285668625,[7.187 7.192 0.    0.   ],149.12698412654137
43,[1486. 1487.    0.    0.],10081.0,201.60000000059856,[ 29.718 171.882   0.      0.   ],13773.78357499833,8667.0,792.0,3208500000.0,0.0,28352.0,7285.0,68.31556182419685,0.5805773236782067,19.538934629501043,8.997350131011444,0.6238995608021966,0.18857256224580896,0.003571074298184704,0.36742386667989285,[0.147 0.853 0.    0.   ],0.8405445944386755,0.0,15915178.57138132,[7.371 7.376 0.    0.   ],140.6349206345031
44,[1111. 1112.    0.    0.],10081.0,201.60000000059856,[ 16.626 184.974   0.      0.   ],13130.60336468926,25264.0,1139.0,4014000000.0,63972.9398472055,1160.0,24429.0,65.12550027123004,0.25640313460966097,16.114671163575043,4.976640716365753,0.43911625843447494,0.12865787124293224,0.0012895546076778098,0.6033131633766491,[0.082 0.918 0.    0.   ],0.9669490183660545,1.5937453873245018e-05,19910714.28565517,[5.511 5.516 0.    0.   ],5.753968253951171
45,[1745. 1746.    0.    0.],10081.0,201.60000000059856,[ 36.458 165.142   0.      0.   ],14100.977689099285,11931.0,988.0,3351000000.0,286572.64763822034,27684.0,10239.0,69.93838750667388,0.7244519392917387,19.699632972919353,10.751135944361899,0.7742537639145695,0.2337069735145323,0.004265449856165063,0.42515623450054557,[0.181 0.819 0.    0.   ],0.8581845612270556,8.55185459976784e-05,16622023.809474459,[8.656 8.661 0.    0.   ],137.32142857102087
46,[1148. 1149.    0.    0.],10081.0,201.60000000059856,[ 18.017 183.583   0.      0.   ],13201.003657802024,24533.0,1301.0,3987000000.0,368723.6197620539,1432.0,23648.0,65.47467343417405,0.2874318024005536,16.140065469695468,5.421232708949652,0.5264427221339838,0.1539529808550739,0.000892768574546176,0.6083721852990774,[0.089 0.911 0.    0.   ],0.9639261403008194,9.248146971709402e-05,19776785.714226995,[5.694 5.699 0.    0.   ],7.103174603153514
47,[1598. 1599.    0.    0.],10081.0,201.60000000059856,[ 29.815 171.785   0.      0.   ],13793.74319592558,10131.0,907.0,3307500000.0,103384.10190104059,28724.0,8729.0,68.41455805932871,0.589624045233609,19.666302946136295,8.911243273452422,0.5993855679816562,0.18648943557186787,0.004563039381013789,0.38924709850213274,[0.148 0.852 0.    0.   ],0.8616128713848583,3.1257476009384906e-05,16406249.99995129,[7.927 7.932 0.    0.   ],142.4801587297357
48,[1487. 1488.    0.    0.],10081.0,201.60000000059856,[ 29.172 172.428   0.      0.   ],13758.637910866695,9242.0,775.0,3160500000.0,103384.10190104059,29908.0,7834.0,68.24044197432256,0.5875607578613256,19.90040670568396,9.123653436437895,0.5886644774887909,0.18242237873226863,0.004364646364447972,0.3481797440730086,[0.145 0.855 0.    0.   ],0.8476520233715646,3.271131210284467e-05,15677083.333286788,[7.376 7.381 0.    0.   ],148.35317460273413
