id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,cell_traffic,cell_dropped_traffic,num_requests,num_rejects,disconnects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[3757. 4235. 2194.  912.],20161.0,403.19999999737746,[ 89.058  69.847 139.634 104.661],18824.58784480885,17912.0,25989000000.0,38586165.005965106,73366.0,66577.0,64694.0,46.685650128476404,0.9852289072963017,17.42433411041119,17.55535710352783,1.9545991629988688,0.4606418332423987,0.09295173850503448,2.514458608203958,[0.221 0.173 0.346 0.26 ],0.9074639478777635,0.0014847114165979878,64456845.23851448,[ 9.318 10.503  5.441  2.262],44.42460317489213
1,[4908. 5389.  934.  777.],20161.0,403.19999999737746,[228.715  45.041  38.701  90.743],33201.875894351935,43348.0,87567000000.0,208666865.974491,98451.0,70633.0,110530.0,82.34183794047175,3.742909577897905,25.966767521452308,83.44244257286294,14.460136644463104,3.248846783393681,0.1441892763255791,8.58960369029314,[0.567 0.112 0.096 0.225],0.7174431950919747,0.002382939531724177,217180059.52522212,[12.173 13.366  2.316  1.927],107.5099206356199
2,[5968. 6887. 1321.  742.],20161.0,403.19999999737746,[116.636 127.665  72.831  86.068],22381.316625915177,14432.0,40284000000.0,86552850.53973234,93267.0,83516.0,61479.0,55.50646452535208,1.2825157482268135,17.820147810128464,28.307164418511007,4.103346138289539,0.9428599771836714,0.08967809136451566,4.067407370666138,[0.289 0.317 0.181 0.213],0.8954506953155993,0.002148566441756835,99910714.28636414,[14.802 17.081  3.276  1.84 ],35.79365079388361
3,[5630. 6058.  922.  805.],20161.0,403.19999999737746,[219.374  51.691  38.113  94.022],32066.348235698246,41024.0,87274500000.0,278277828.98862314,105686.0,79940.0,122653.0,79.52568879446042,3.4343534546897376,24.679331382371906,75.86740327965747,13.500096970780435,2.927632557908834,0.15103417489211846,8.951044095034968,[0.544 0.128 0.095 0.233],0.7563915750430521,0.0031885353567035406,216454613.09664598,[13.963 15.025  2.287  1.997],101.74603174669353
4,[6147. 6944. 1210.  768.],20161.0,403.19999999737746,[121.833 121.563  70.517  89.287],22609.398738693733,14456.0,40749000000.0,92803696.1339465,91201.0,81154.0,67364.0,56.07211631043251,1.3674718515947135,18.06656415852388,29.234545553514696,4.495640157780328,1.0054064778532812,0.09607658350280245,4.1125936213481475,[0.302 0.301 0.175 0.221],0.889836734246335,0.0022774472044454217,101063988.09589545,[15.246 17.222  3.001  1.905],35.8531746034078
5,[4313. 4806.  897.  823.],20161.0,403.19999999737746,[215.479  47.677  44.004  96.04 ],33401.930046884794,40200.0,95686500000.0,274653101.6106307,112751.0,82628.0,116259.0,82.83797938318982,3.990357621149739,27.811318882991916,91.25351702040976,16.98313841335618,3.691632359505977,0.1529190020336293,9.668915232379346,[0.534 0.118 0.109 0.238],0.7328360724073401,0.002870343273195599,237317708.33487692,[10.697 11.92   2.225  2.041],99.70238095302945
6,[3483. 4044. 2221.  888.],20161.0,403.19999999737746,[ 88.07   61.077 152.106 101.947],19409.767767137226,17248.0,25900500000.0,33040467.369050592,77931.0,71109.0,64008.0,48.13691723409639,0.9588016467437509,17.371360547591884,17.35453518238918,2.0516771740814943,0.47378602251872426,0.09409255493279103,2.5739794653043004,[0.218 0.151 0.377 0.253],0.9124610232128422,0.0012756690939962777,64237351.19089401,[ 8.638 10.03   5.508  2.202],42.77777777805602
7,[5415. 6373. 1372.  910.],20161.0,403.19999999737746,[133.626  91.482  71.693 106.399],23308.587466997924,18352.0,54330000000.0,127211118.42272203,97715.0,83919.0,171668.0,57.80612932641678,1.9951788105748511,21.035662913545956,39.04894133959242,5.86799600067441,1.3428897376122215,0.11487525420366053,5.211894251277219,[0.331 0.227 0.178 0.264],0.8588138975592283,0.002341452575422824,134747023.81040025,[13.43  15.806  3.403  2.257],45.51587301616907
8,[6705. 7070.  995.  746.],20161.0,403.19999999737746,[190.256  81.243  44.571  87.13 ],27452.484667474397,24668.0,60924000000.0,129591670.16629456,87220.0,70492.0,112787.0,68.08314237259611,2.139814493328613,18.8869599722236,47.77095307338583,8.218967963062385,1.8730221715192699,0.12881305490799067,6.23128813054908,[0.472 0.201 0.111 0.216],0.8082091263471681,0.0021271037713593093,151101190.4771733,[16.629 17.535  2.468  1.85 ],61.1805555559535
9,[6386. 6897. 1154.  664.],20161.0,403.19999999737746,[180.654  90.779  54.336  77.431],26689.502963724957,21928.0,58117500000.0,148460054.0721049,80119.0,65518.0,99347.0,66.19092049930086,1.9128019443479607,18.06438172709687,42.69886595650423,7.3308855642803685,1.6601359059570457,0.10639353206686177,6.041218193541987,[0.448 0.225 0.135 0.192],0.8177585841061421,0.002554481078368906,144140625.00093752,[15.838 17.106  2.862  1.647],54.38492063527437
