id,sleep_switches,steps,time,sleep_time,energy_consumption,num_requests,num_rejects,ant_switches,cell_traffic,cell_dropped_traffic,disconnects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[2502. 2600. 1309.    0.],10081.0,201.60000000059856,[ 42.743  14.886 143.971   0.   ],12444.62283861254,26091.0,23679.0,36336.0,4872000000.0,611073.1169103349,5090.0,61.72315662440496,1.8135502430314487,34.40293621664517,17.142552553865276,1.2817712493698386,0.35780180537645073,0.026882253744668187,0.731276659061601,[0.212 0.074 0.714 0.   ],0.9075543290789928,0.0001254255166072116,24166666.666594915,[12.411 12.897  6.493  0.   ],180.23809523756012
1,[ 956. 1941. 1173.    0.],10081.0,201.60000000059856,[ 17.75   24.646 159.204   0.   ],10395.251534799007,34882.0,33911.0,3752.0,5584500000.0,637997.8236805387,1499.0,51.55863274872727,0.36393214958833076,16.521376847534967,6.771236460699138,0.6090621621425892,0.1645670072413451,0.005158218430711239,0.9267929768872135,[0.088 0.122 0.79  0.   ],0.9721632933891405,0.00011424439496473072,27700892.85706061,[4.742 9.628 5.818 0.   ],18.611111111055855
2,[1434. 1921. 1119.    0.],10081.0,201.60000000059856,[ 37.876  16.299 147.425   0.   ],11644.732755435845,26773.0,24890.0,12408.0,4420500000.0,302999.37165541656,1335.0,57.755841461340815,0.881103065172099,18.37278047812717,13.432681069329949,1.0386326709084517,0.28023013589921636,0.008431703204047217,0.6982442218033925,[0.188 0.081 0.731 0.   ],0.9296679490531505,6.854414017767596e-05,21927083.333268233,[7.113 9.529 5.551 0.   ],61.547619047436314
3,[1378. 2342. 1231.    0.],10081.0,201.60000000059856,[ 28.838  30.576 142.186   0.   ],11201.340446031209,43864.0,42300.0,6104.0,5547000000.0,1893569.4357782954,1676.0,55.55669301671894,0.5636742386667909,16.812617795853587,10.649842548434052,1.0788630847275449,0.2667394107727408,0.007042952088086499,0.9749032834044241,[0.143 0.152 0.705 0.   ],0.9643443370417655,0.000341368205476527,27514880.95229926,[ 6.835 11.617  6.106  0.   ],30.27777777768788
4,[1363. 1879. 1112.    0.],10081.0,201.60000000059856,[ 35.372  15.937 150.291   0.   ],11460.439918099233,25186.0,23413.0,11840.0,4263000000.0,16210.948931194915,1208.0,56.84178116307367,0.7882551334192963,18.05257414938994,12.228873552902709,0.9765038406529941,0.26614423172304336,0.00952286479515921,0.6768177760142843,[0.175 0.079 0.745 0.   ],0.9296037481140316,3.8027091088892597e-06,21145833.33327055,[6.761 9.32  5.516 0.   ],58.73015872998436
5,[ 843. 2041. 1346.    0.],10081.0,201.60000000059856,[ 17.171  32.788 151.641   0.   ],10407.820766854846,36245.0,35314.0,3584.0,5526000000.0,823698.309821124,1113.0,51.62097394531324,0.3305227655986479,16.46146215653209,6.310053085091065,0.6089897310506928,0.15484574942962007,0.004761432397579605,0.9153853784346792,[0.085 0.163 0.752 0.   ],0.9743136984411643,0.00014905868798789794,27410714.2856329,[ 4.182 10.124  6.677  0.   ],17.777777777724996
6,[2613. 2725. 1374.    0.],10081.0,201.60000000059856,[ 43.101  15.226 143.273   0.   ],12469.467328927894,25090.0,22674.0,36804.0,4825500000.0,792995.8148272887,4825.0,61.84638095887219,1.8533875607578607,34.80686439837318,17.755263124700214,1.248609817411978,0.3526435869457395,0.025096716595575837,0.7131236980458288,[0.214 0.076 0.711 0.   ],0.9037066560382623,0.00016433443473780722,23936011.90469084,[12.961 13.517  6.815  0.   ],182.5595238089818
7,[ 654. 1350.  874.    0.],10081.0,201.60000000059856,[ 11.804  17.443 172.353   0.   ],9909.237507893355,30691.0,30054.0,3576.0,3951000000.0,509041.90873498406,840.0,49.148088026448086,0.2549747048903872,16.581688324570976,4.449334166731318,0.3535985992075231,0.0939390933439143,0.003372681281618887,0.6647158020037695,[0.059 0.087 0.855 0.   ],0.9792447297253266,0.00012883875189445307,19598214.2856561,[3.244 6.696 4.335 0.   ],17.738095238042572
8,[1462. 2473. 1362.    0.],10081.0,201.60000000059856,[ 24.71   38.121 138.769   0.   ],10993.060719682759,65402.0,63980.0,5392.0,5691000000.0,463818.49817519746,1950.0,54.523661936723315,0.4769368118242156,16.55153258605297,9.380319805283337,0.8621433207401047,0.23668286876301955,0.005555004463842873,1.1216149191548457,[0.123 0.189 0.688 0.   ],0.9782575456408061,8.150035111143867e-05,28229166.666582853,[ 7.252 12.267  6.756  0.   ],26.746031745952337
9,[1255. 2194. 1290.    0.],10081.0,201.60000000059856,[ 20.494  34.999 146.107   0.   ],10740.886200245737,59857.0,58756.0,4528.0,5614500000.0,548317.2575584385,1419.0,53.27292034641966,0.4031346096617338,16.50748933637536,7.413915750211309,0.6843981720799304,0.18470389842277551,0.0037694673147505207,1.0829282809245115,[0.102 0.174 0.725 0.   ],0.9816061613512204,9.766092395733163e-05,27849702.380869694,[ 6.225 10.883  6.399  0.   ],22.460317460250774
10,[1512. 2490. 1325.    0.],10081.0,201.60000000059856,[ 26.279  39.409 135.912   0.   ],11164.761667489402,66080.0,64646.0,4992.0,5629500000.0,3048277.5317868013,2132.0,55.375268661288224,0.508679694474746,16.552722944152364,9.848149426638873,1.0192832325263517,0.2646562840987997,0.00446384287273088,1.1596071818271996,[0.13  0.195 0.674 0.   ],0.9782990314769976,0.0005414828193954706,27924107.142774235,[ 7.5   12.351  6.572  0.   ],24.761904761831243
