drop_ratio,ue_drop_ratio,delay_ratio,qos_reward,pc_kw,reward,n_drop,bs_n_drop,ue_no_bs
0.0,0.0,0.0,0.0,2.6251638892538653,-0.26251638892538653,0.0,0.0,0
0.0,0.0,0.0,0.0,2.182073983336653,-0.21820739833366531,0.0,0.0,0
0.0,0.0,0.0,0.0,2.1187090537591864,-0.21187090537591866,0.0,0.0,0
0.0,0.0,0.0,0.0,2.807155023631823,-0.2807155023631823,0.0,0.0,0
0.0,0.0,0.6333333333333339,0.0018333315000018308,2.5717640361125027,-0.2351764256112283,0.0,0.0,0
0.0,0.0,0.0,0.0,2.0711441162326216,-0.20711441162326216,0.0,0.0,0
0.0,0.0,0.5800000000000004,0.002099997900002098,1.8942105129145017,-0.164221076491425,0.0,0.0,0
0.0,0.0,0.6480000000000004,0.0017599996480000687,2.4000478194442953,-0.2188847861684287,0.0,0.0,0
0.0,0.0,0.3566666666666669,0.003216666023333461,2.010411934049294,-0.16244120112492788,0.0,0.0,0
0.0,0.0,0.0,0.0,1.879564581340849,-0.1879564581340849,0.0,0.0,0
0.0,0.0,0.6925000000000004,0.001537499615625094,1.9517040812933175,-0.17672041274183062,0.0,0.0,0
0.0,0.0,0.0,0.0,1.8498369406225732,-0.18498369406225734,0.0,0.0,0
0.0,0.0,0.5266666666666671,0.002366664300002365,1.7667587459406204,-0.14827590299403368,0.0,0.0,0
0.0,0.0,0.0,0.0,1.4368667129537585,-0.14368667129537585,0.0,0.0,0
0.0,0.0,0.0,0.0,1.3531983886970815,-0.13531983886970816,0.0,0.0,0
0.0,0.0,0.486666666666667,0.002566664100002565,1.3476193679899529,-0.1039619675989645,0.0,0.0,0
0.0,0.0,0.37333333333333363,0.003133330200003132,1.3300820994230305,-0.09540824754226548,0.0,0.0,0
0.0,0.0,0.0,0.0,1.2681910553461382,-0.1268191055346138,0.0,0.0,0
0.0,0.0,0.0,0.0,1.2681910553461382,-0.1268191055346138,0.0,0.0,0
0.0,0.0,0.3066666666666669,0.003466663200003466,1.6138660129377012,-0.11978664289372855,0.0,0.0,0
0.0,0.0,0.5511111111111116,0.0022444436962965435,1.566157220304007,-0.1296823976748422,0.0,0.0,0
0.0,0.0,0.2283333333333335,0.0038583314041676304,1.4262796075917872,-0.09632798390916715,0.0,0.0,0
0.0,0.0,0.1300000000000001,0.00434999565000435,1.5923958375886684,-0.10703963595881465,0.0,0.0,0
0.0,0.0,0.3208333333333335,0.003395832484375211,1.603076904125896,-0.11955770060008711,0.0,0.0,0
0.0,0.0,0.34111111111111136,0.003294443346296661,1.4574274416763304,-0.10620942401207312,0.0,0.0,0
0.0,0.0,0.0,0.0,1.3475583190093787,-0.13475583190093787,0.0,0.0,0
0.0,0.0,0.0,0.0,1.3100963143826494,-0.13100963143826494,0.0,0.0,0
0.0,0.0,0.386666666666667,0.0030666656444447837,1.5530814354187463,-0.11850815580853724,0.0,0.0,0
0.0,0.0,0.4860000000000004,0.0025699994860001007,1.715861996361545,-0.1407462058041533,0.0,0.0,0
0.0,0.0,0.2033333333333335,0.003983329350003983,1.337321319082911,-0.08593217970824332,0.0,0.0,0
0.0,0.0,0.2600000000000002,0.003699996300003699,1.3412013036764492,-0.08972017476760052,0.0,0.0,0
0.0,0.0,0.48000000000000026,0.002599999133333621,1.4315644363115394,-0.11195645403115051,0.0,0.0,0
0.0,0.0,0.08333333333333338,0.004583328750004584,1.4237116769347,-0.08737122269341499,0.0,0.0,0
0.0,0.0,0.0,0.0,1.3475587959779367,-0.13475587959779367,0.0,0.0,0
0.0,0.0,0.0,0.0,1.272002297951786,-0.12720022979517862,0.0,0.0,0
0.0,0.0,0.6333333333333337,0.001833332416667123,1.4020612326853619,-0.1182061342685307,0.0,0.0,0
0.0,0.0,0.0,0.0,1.3443712771298209,-0.13443712771298208,0.0,0.0,0
0.0,0.0,0.5500000000000004,0.0022499977500022483,1.3883790743012878,-0.11183793443010179,0.0,0.0,0
0.0,0.0,0.5633333333333338,0.002183331150002181,1.3453762502650313,-0.10833765122647696,0.0,0.0,0
0.0,0.0,0.0,0.0,1.2681910553461382,-0.1268191055346138,0.0,0.0,0
0.0,0.0,0.9500000000000007,0.00024999975000024636,1.329028073041028,-0.12990281030409986,0.0,0.0,0
0.0,0.0,0.0,0.0,1.2681910553461382,-0.1268191055346138,0.0,0.0,0
0.0,0.0,0.0,0.0,1.2681910553461382,-0.1268191055346138,0.0,0.0,0
0.0,0.0,0.5266666666666671,0.002366664300002365,1.4023770346625346,-0.11183773186622509,0.0,0.0,0
0.0,0.0,0.1666666666666668,0.004166662500004167,1.398081554341677,-0.08980820543411769,0.0,0.0,0
0.0,0.0,0.8466666666666672,0.0007666659000007639,1.3723351525836904,-0.1280335244583599,0.0,0.0,0
0.0,0.0,0.0,0.0,1.2681910553461382,-0.1268191055346138,0.0,0.0,0
0.0,0.0,0.0,0.0,1.2681910553461382,-0.1268191055346138,0.0,0.0,0
0.0,0.0,0.0,0.0,1.3481799708753217,-0.13481799708753217,0.0,0.0,0
0.0,0.0,0.5966666666666671,0.0020166646500020145,1.4541038930690833,-0.12121041350688416,0.0,0.0,0
0.0,0.0,0.12666666666666676,0.004366662300004366,1.4154035446886615,-0.08914040686881375,0.0,0.0,0
0.0,0.0,0.3333333333333336,0.0033333300000033326,1.3634163764740146,-0.09634167764736146,0.0,0.0,0
0.0,0.0,0.5200000000000004,0.0023999976000023985,1.4967230999525116,-0.12087233879522238,0.0,0.0,0
0.0,0.0,0.23777777777777795,0.003811109840741163,1.511591943096567,-0.10542587622076276,0.0,0.0,0
0.0,0.0,0.28222222222222243,0.00358888769259299,1.4831289257017886,-0.10524624025906297,0.0,0.0,0
0.0,0.0,0.0566666666666667,0.004716661950004717,1.3864311262951619,-0.0820431692294596,0.0,0.0,0
0.0,0.0,0.33500000000000024,0.00332499833750083,1.385915093189786,-0.09869152926896864,0.0,0.0,0
0.0,0.0,0.0,0.0,1.2681910553461382,-0.1268191055346138,0.0,0.0,0
0.0,0.0,0.0,0.0,1.3100942079563516,-0.13100942079563516,0.0,0.0,0
0.0,0.0,0.2600000000000002,0.003699996300003699,1.4084820003790126,-0.09644824443785688,0.0,0.0,0
0.0,0.0,0.26333333333333353,0.003683331491667586,1.3849775101575332,-0.09429777311574228,0.0,0.0,0
0.0,0.0,0.0,0.0,1.2681910553461382,-0.1268191055346138,0.0,0.0,0
0.0,0.0,0.22666666666666685,0.0038666647333342992,1.4595151389598,-0.09955153709596842,0.0,0.0,0
0.0,0.0,0.2833333333333335,0.003583332138889286,1.540507062694605,-0.11105072060278906,0.0,0.0,0
0.0,0.0,0.287777777777778,0.0035611099240744682,1.4860196205514653,-0.10586864296625291,0.0,0.0,0
0.0,0.0,0.783333333333334,0.0010833322500010802,1.4219770764600406,-0.1291977206459911,0.0,0.0,0
0.0,0.0,0.3800000000000003,0.003099996900003099,1.3655618109818617,-0.099356218298149,0.0,0.0,0
0.0,0.0,0.4711111111111115,0.0026444435629632544,1.567323980731272,-0.12499907531756817,0.0,0.0,0
0.0,0.0,0.48000000000000037,0.002599997400002598,1.5784314589275534,-0.12664317709272419,0.0,0.0,0
0.0,0.0,0.7000000000000005,0.0014999992500003723,1.4690272607064596,-0.1289027350706415,0.0,0.0,0
0.0,0.0,0.3200000000000003,0.0033999983000008484,1.3963504297726754,-0.09883506337725738,0.0,0.0,0
0.0,0.0,0.0,0.0,1.2681910553461382,-0.1268191055346138,0.0,0.0,0
0.0,0.0,0.24000000000000019,0.0037999962000037995,1.3247244636893578,-0.0868724919688902,0.0,0.0,0
0.0,0.0,0.0,0.0,1.4656274733465067,-0.14656274733465066,0.0,0.0,0
0.0,0.0,0.35333333333333367,0.0032333322555559126,1.4627752642128837,-0.10747753935461743,0.0,0.0,0
0.0,0.0,0.2433333333333335,0.0037833295500037827,1.4107120849570867,-0.09567125389566328,0.0,0.0,0
0.0,0.0,0.5333333333333338,0.0023333310000023316,1.3786297655895294,-0.10986300455892496,0.0,0.0,0
0.0,0.0,0.48066666666666713,0.002596666147333435,1.54894657035924,-0.12373466326792279,0.0,0.0,0
0.0,0.0,0.4533333333333337,0.002733331966667348,1.3944753817887496,-0.10664755457886681,0.0,0.0,0
0.0,0.0,0.0,0.0,1.2681910553461382,-0.1268191055346138,0.0,0.0,0
0.0,0.0,0.0,0.0,1.2681910553461382,-0.1268191055346138,0.0,0.0,0
0.0,0.0,0.0,0.0,1.2681910553461382,-0.1268191055346138,0.0,0.0,0
0.0,0.0,0.5533333333333338,0.002233331100002231,1.500777143615062,-0.12327774116147944,0.0,0.0,0
0.0,0.0,0.2600000000000002,0.003699998766667076,1.6105571635600644,-0.11665573115600156,0.0,0.0,0
0.0,0.0,0.3050000000000002,0.003474998262500868,1.7711614939711813,-0.13541617024710773,0.0,0.0,0
0.0,0.0,0.371666666666667,0.0031416650958341168,1.5601271413830533,-0.11831273298829593,0.0,0.0,0
0.0,0.0,0.3066666666666669,0.003466665511111495,1.6021519126093695,-0.11861520512759903,0.0,0.0,0
0.0,0.0,0.3133333333333336,0.003433329900003432,1.606487162083319,-0.11944875740829072,0.0,0.0,0
0.0,0.0,0.48444444444444484,0.0025777769185188026,1.6700192188745662,-0.136068598865231,0.0,0.0,0
0.0,0.0,0.0,0.0,1.286932795080318,-0.1286932795080318,0.0,0.0,0
0.0,0.0,0.0,0.0,1.3172427297851759,-0.1317242729785176,0.0,0.0,0
0.0,0.0,0.6200000000000004,0.0018999990500004726,1.4645239509529908,-0.12365240649529341,0.0,0.0,0
0.0,0.0,0.5988888888888894,0.0020055548870372576,1.612874872853373,-0.13722082864089022,0.0,0.0,0
0.0,0.0,0.27666666666666684,0.003616665762500225,1.5292617003246554,-0.10952618088246285,0.0,0.0,0
0.0,0.0,0.17333333333333345,0.004133329200004133,1.4168967495985405,-0.09208972455980445,0.0,0.0,0
0.0,0.0,0.2866666666666669,0.003566663100003566,1.3863923968500016,-0.09583928248495738,0.0,0.0,0
0.0,0.0,0.29333333333333356,0.0035333298000035326,1.5081115984999856,-0.10841120224995618,0.0,0.0,0
0.0,0.0,0.2433333333333335,0.0037833323875002354,1.5724113254518106,-0.11184114389517824,0.0,0.0,0
0.0,0.0,0.41583333333333367,0.0029208326031251804,1.5652917406438596,-0.1214791828268838,0.0,0.0,0
0.0,0.0,0.3333333333333336,0.0033333300000033326,1.45801677913666,-0.10580171791362603,0.0,0.0,0
0.0,0.0,0.8866666666666673,0.0005666661000005637,1.424467929153693,-0.13564679971536253,0.0,0.0,0
0.0,0.0,0.18250000000000013,0.004087498978125255,1.42414719297359,-0.09336473155985597,0.0,0.0,0
0.031411015296793084,0.33333322222225925,0.6266666666666671,-0.009225890912522947,1.3961676373020928,-0.2503274546804847,1.0,3.0,0
0.0,0.0,0.09333333333333338,0.004533328800004533,1.3600083391917641,-0.08160088831912202,0.0,0.0,0
0.0,0.0,0.2600000000000002,0.003699996300003699,1.3341280318041626,-0.08901284758037187,0.0,0.0,0
0.0,0.0,0.0,0.0,1.2681910553461382,-0.1268191055346138,0.0,0.0,0
0.0,0.0,0.0,0.0,1.2681910553461382,-0.1268191055346138,0.0,0.0,0
0.0,0.0,0.0,0.0,1.2681910553461382,-0.1268191055346138,0.0,0.0,0
0.0,0.0,0.0,0.0,1.2681910553461382,-0.1268191055346138,0.0,0.0,0
0.0,0.0,0.0,0.0,1.2681910553461382,-0.1268191055346138,0.0,0.0,0
0.0,0.0,0.0,0.0,1.3824348556655954,-0.13824348556655955,0.0,0.0,0
0.0,0.0,0.42166666666666697,0.0028916652208340545,1.4451266953099862,-0.10981268688098997,0.0,0.0,0
0.0,0.0,0.16000000000000011,0.0041999958000042,1.3120013114417626,-0.08080018154412585,0.0,0.0,0
0.0,0.0,0.0,0.0,1.3101202873453746,-0.13101202873453746,0.0,0.0,0
0.0,0.0,0.2333333333333335,0.003833329500003833,1.3861667113951897,-0.09261671713947298,0.0,0.0,0
0.0,0.0,0.386666666666667,0.0030666636000030657,1.305914511698163,-0.09379148796977951,0.0,0.0,0
0.0,0.0,0.0,0.0,1.2681910553461382,-0.1268191055346138,0.0,0.0,0
0.0,0.0,0.0,0.0,1.4205210083118383,-0.14205210083118383,0.0,0.0,0
0.0,0.0,0.34000000000000025,0.0032999967000032987,1.387304800143035,-0.09913051961426393,0.0,0.0,0
0.0,0.0,0.5000000000000003,0.0024999975000024985,1.3341167628251722,-0.10341170628248725,0.0,0.0,0
0.0,0.0,0.0,0.0,1.2681910553461382,-0.1268191055346138,0.0,0.0,0
0.0,0.0,0.0,0.0,1.310095621303057,-0.1310095621303057,0.0,0.0,0
