id,sleep_switches,steps,time,sleep_time,energy_consumption,disconnects,cell_traffic,cell_dropped_traffic,num_requests,num_rejects,ant_switches,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[599. 600.   0.   0.],10081.0,201.60000000059856,[  8.586 193.014   0.      0.   ],13022.467012639754,48438.0,1272000000.0,0.0,7044.0,6604.0,48.0,64.5891628441424,0.08745164170221248,18.767185795060016,1.4259010952419557,0.06435599331315439,0.02608868167840492,0.00019839301656581688,0.137585556988394,[0.043 0.957 0.    0.   ],0.9375354911981828,0.0,6309523.809505076,[2.971 2.976 0.    0.   ],0.23809523809453118
1,[1077. 1078.    0.    0.],10081.0,201.60000000059856,[ 18.915 182.685   0.      0.   ],13413.496369499437,40681.0,2665500000.0,0.0,12718.0,11863.0,56.0,66.52860018597188,0.2354528320603117,18.510068445590715,4.426587288270631,0.30487102334146227,0.09255034222795358,0.0011903580993949012,0.31534569983136596,[0.094 0.906 0.    0.   ],0.9327724484981915,0.0,13221726.190436935,[5.342 5.347 0.    0.   ],0.27777777777695306
2,[829. 830.   0.   0.],10081.0,201.60000000059856,[ 12.817 188.783   0.      0.   ],13201.476178605033,45516.0,2013000000.0,0.0,9828.0,9240.0,48.0,65.47701705486193,0.1439539728201579,18.47277055847634,2.560127393366188,0.15874668407633888,0.051185398273980755,0.00019839301656581688,0.2347981351056443,[0.064 0.936 0.    0.   ],0.9401709401709402,0.0,9985119.0475894,[4.112 4.117 0.    0.   ],0.23809523809453118
3,[1105. 1106.    0.    0.],10081.0,201.60000000059856,[ 20.356 181.244   0.      0.   ],13500.253735854603,40066.0,2764500000.0,0.0,13667.0,12778.0,48.0,66.95890157648509,0.25886320801507673,18.022815196905068,4.681876383137258,0.334090131904629,0.10197401051482988,0.0006943755579803591,0.3362761630790596,[0.101 0.899 0.    0.   ],0.9349528060291212,0.0,13712797.619006906,[5.481 5.486 0.    0.   ],0.23809523809453118
4,[811. 812.   0.   0.],10081.0,201.60000000059856,[ 12.83 188.77   0.     0.  ],13252.962611342698,45330.0,1909500000.0,18198.5125058741,9916.0,9330.0,56.0,65.73238077243795,0.1445094732665422,18.087094534272392,2.460046535135196,0.15446244261875736,0.04949905763317131,0.0004959825414145422,0.22368812617795852,[0.064 0.936 0.    0.   ],0.9409035901573215,9.530511917189892e-06,9471726.190448068,[4.023 4.028 0.    0.   ],0.27777777777695306
5,[1086. 1087.    0.    0.],10081.0,201.60000000059856,[ 19.993 181.607   0.      0.   ],13536.260679075816,39787.0,2664000000.0,0.0,13268.0,12380.0,48.0,67.13748972855896,0.24934034321991808,17.568098402936215,4.428291091164173,0.3054675954377642,0.09522864795159211,0.0005951790496974506,0.31782561253843866,[0.099 0.901 0.    0.   ],0.933072053059994,0.0,13214285.714246482,[5.387 5.392 0.    0.   ],0.23809523809453118
6,[580. 581.   0.   0.],10081.0,201.60000000059856,[  9.087 192.513   0.      0.   ],13036.063908090011,47976.0,1326000000.0,0.0,7427.0,6982.0,48.0,64.65660107174973,0.09602222001785587,18.70727110405714,1.6254425220017998,0.08983613077814698,0.03114770360083325,0.0005951790496974506,0.14780279734153356,[0.045 0.955 0.    0.   ],0.9400834791975226,0.0,6577380.9523614235,[2.877 2.882 0.    0.   ],0.23809523809453118
7,[807. 808.   0.   0.],10081.0,201.60000000059856,[ 11.68 189.92   0.     0.  ],13180.706137460578,45597.0,1903500000.0,0.0,9212.0,8678.0,48.0,65.37400127694004,0.12959031842079258,18.546969546671956,2.2537401605281473,0.13193567462574785,0.04414244618589425,0.0005951790496974506,0.21446285090764805,[0.058 0.942 0.    0.   ],0.9420321320017369,0.0,9441964.285686253,[4.003 4.008 0.    0.   ],0.23809523809453118
8,[1029. 1030.    0.    0.],10081.0,201.60000000059856,[ 16.558 185.042   0.      0.   ],13257.78511818867,42100.0,2665500000.0,0.0,11978.0,11262.0,48.0,65.75629956445272,0.20720166650134098,17.777204642396587,3.6774566189568954,0.2339142338183777,0.07786925900208312,0.0004959825414145422,0.31871838111298484,[0.082 0.918 0.    0.   ],0.9402237435298046,0.0,13221726.190436935,[5.104 5.109 0.    0.   ],0.23809523809453118
9,[1033. 1034.    0.    0.],10081.0,201.60000000059856,[ 16.847 184.753   0.      0.   ],13356.92367819242,42560.0,2731500000.0,0.0,12372.0,11650.0,56.0,66.24800951388121,0.20490030750917762,17.936315841682372,3.617860737785186,0.25216522010239983,0.0786628310683464,0.0009919650828290843,0.32486856462652514,[0.084 0.916 0.    0.   ],0.9416424183640478,0.0,13549107.142816916,[5.124 5.129 0.    0.   ],0.27777777777695306
