drop_ratio,ue_drop_ratio,delay_ratio,qos_reward,pc_kw,reward,b0_drop_ratio,b0_pc,b0_qos_rwd,b1_drop_ratio,b1_pc,b1_qos_rwd,n_drop,ue_no_bs
0.0,0.0,0.0,0.0,2.292504116645869,-0.22925041166458693,0.0,94.3570433298499,18852.53725730401,0.0,89.24637968657007,17831.4266613767,0.0,0
0.0,0.0,0.11250000000000006,0.0044374988906252764,2.334170200569005,-0.2156670244943994,0.0,136.41436541258656,27259.003539354795,0.0,89.24637968657007,17831.4266613767,0.0,0
0.0,0.0,0.10000000000000006,0.004499997750001124,2.24751050324453,-0.20675105932444854,0.0,61.58000198373335,12303.684396349921,0.0,89.24637968657007,17831.4266613767,0.0,0
0.0,0.0,0.0766666666666667,0.004616664358334487,2.2024059780656313,-0.20177394037322519,0.0,61.58000198373335,12303.684396349921,0.0,89.24637968657007,17831.4266613767,0.0,0
0.0,0.0,0.0,0.0,2.1776890988579494,-0.21776890988579495,0.0,61.58000198373335,12303.684396349921,0.0,89.24637968657007,17831.4266613767,0.0,0
0.0,0.0,0.0726666666666667,0.004636665739333519,2.3621562752130183,-0.21766896456396778,0.0,108.87866855500985,21757.77130681097,0.0,89.24637968657007,17831.4266613767,0.0,0
0.0,0.0,0.06750000000000005,0.004662498834375291,2.103024190332275,-0.19165242369572633,0.0,61.58000198373335,12303.684396349921,0.0,89.24637968657007,17831.4266613767,0.0,0
0.0,0.0,0.08500000000000005,0.004574997712501143,2.1194681333847982,-0.19364682248847526,0.0,61.58000198373335,12303.684396349921,0.0,89.24637968657007,17831.4266613767,0.0,0
0.0,0.0,0.12666666666666673,0.004366665211111596,2.0859860978425955,-0.19113194893981317,0.0,61.58000198373335,12303.684396349921,0.0,96.92690740270417,19365.996099060292,0.0,0
0.0,0.0,0.08333333333333336,0.00458333241666685,2.014715817916609,-0.18313825212499352,0.0,61.58000198373335,12303.684396349921,0.0,85.24097072685255,17034.852614185143,0.0,0
0.0,0.0,0.11466666666666674,0.004426665781333511,1.98747503856818,-0.181040840731484,0.0,61.58000198373335,12303.684396349921,0.0,61.58000198373335,12303.684396349921,0.0,0
0.0,0.0,0.09133333333333339,0.004543332424666848,1.9377270049478026,-0.17559937079611287,0.0,61.58000198373335,12303.684396349921,0.0,61.58000198373335,12303.684396349921,0.0,0
0.0,0.0,0.09333333333333338,0.004533328800004533,1.8356692954629068,-0.16543361434627257,0.0,61.58000198373335,12303.684396349921,0.0,120.66383253157824,24108.63373980933,0.0,0
0.0,0.0,0.09083333333333338,0.004545832196875284,1.824480032247351,-0.16426467443723394,0.0,61.58000198373335,12303.684396349921,0.0,81.27461216634829,16242.080840756393,0.0,0
0.0,0.0,0.09500000000000006,0.004524997737501131,1.862759988974425,-0.16817600794743798,0.0,61.58000198373335,12303.684396349921,0.0,61.58000198373335,12303.684396349921,0.0,0
0.0,0.0,0.11666666666666675,0.004416665562500276,1.894414061107754,-0.17177474386077432,0.0,61.58000198373335,12303.684396349921,0.0,61.58000198373335,12303.684396349921,0.0,0
0.0,0.0,0.08666666666666671,0.004566665525000286,1.8471908248195292,-0.1664524203819518,0.0,61.58000198373335,12303.684396349921,0.0,61.58000198373335,12303.684396349921,0.0,0
0.0,0.0,0.1233333333333334,0.004383331141667762,1.8668659287341118,-0.16915326830674016,0.0,61.58000198373335,12303.684396349921,0.0,116.73437955155613,23323.529034400915,0.0,0
0.0,0.0,0.09916666666666672,0.004504165540625282,1.8286193102198915,-0.16484526885948803,0.0,61.58000198373335,12303.684396349921,0.0,73.39879717683822,14668.57300577228,0.0,0
0.0,0.0,0.0941666666666667,0.004529165534375283,1.74333018071038,-0.1562163559335369,0.0,101.00537948627225,20184.701484197198,0.0,61.58000198373335,12303.684396349921,0.0,0
0.0,0.0,0.07333333333333338,0.004633328700004633,1.669671414542365,-0.148433826654218,0.0,61.58000198373335,12303.684396349921,0.0,61.58000198373335,12303.684396349921,0.0,0
0.0,0.0,0.0,0.0,1.594832804999028,-0.1594832804999028,0.0,61.58000198373335,12303.684396349921,0.0,61.58000198373335,12303.684396349921,0.0,0
0.0,0.0,0.0,0.0,1.6381829716817482,-0.16381829716817484,0.0,61.58000198373335,12303.684396349921,0.0,61.58000198373335,12303.684396349921,0.0,0
0.0,0.0,0.1133333333333334,0.004433331116667775,1.7918006524635577,-0.16144674077968468,0.0,61.58000198373335,12303.684396349921,0.0,61.58000198373335,12303.684396349921,0.0,0
0.0,0.0,0.10416666666666673,0.004479165546875279,1.8642185181110942,-0.1685051896236083,0.0,85.24679683446499,17032.310007526103,0.0,61.58000198373335,12303.684396349921,0.0,0
0.0,0.0,0.08800000000000005,0.004559999088000182,1.8280264111901179,-0.16456264476701105,0.0,125.04592036866764,24987.801554513127,0.0,61.58000198373335,12303.684396349921,0.0,0
0.0,0.0,0.062222222222222255,0.004688888107407537,1.8315693603905077,-0.16440138360942064,0.0,61.58000198373335,12303.684396349921,0.0,61.58000198373335,12303.684396349921,0.0,0
0.0,0.0,0.11666666666666672,0.004416664458334437,1.7563411020497255,-0.1579674523716348,0.0,132.48628854614563,26474.2271147199,0.0,61.58000198373335,12303.684396349921,0.0,0
0.0,0.0,0.08666666666666671,0.004566664383334475,1.8594270819287009,-0.1676760506595322,0.0,89.24637968657007,17831.4266613767,0.0,61.58000198373335,12303.684396349921,0.0,0
0.0,0.0,0.11933333333333343,0.004403332452666843,1.7523944064355101,-0.15762611083288364,0.0,89.24637968657007,17831.4266613767,0.0,61.58000198373335,12303.684396349921,0.0,0
