id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,disconnects,num_requests,num_rejects,cell_traffic,cell_dropped_traffic,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
20,[7375. 7791. 3024.  498.],20161.0,403.19999999737746,[ 95.505 119.508 113.164  75.023],28200.31630091402,10312.0,88384.0,38984.0,33890.0,43531500000.0,142810487.02159435,69.93779153045756,3.6888249590797426,63.423639700411684,17.60277154382633,2.260237234523215,0.49913198750062,0.021427508556123208,3.4390655225435247,[0.237 0.296 0.281 0.186],0.8693310075928586,0.003280624077313999,107965029.762607,[18.291 19.323  7.5    1.235],25.575396825563175
21,[5188. 5251. 2572.  728.],20161.0,403.19999999737746,[ 60.303 101.84  114.297 126.76 ],22457.202344979603,5672.0,187639.0,20200.0,17825.0,43861500000.0,107030754.10936354,55.69466381869336,2.4259114131244472,63.71628391448837,7.556425201476154,0.8801870258333103,0.1978076484301374,0.012697782848073012,3.1739993055900007,[0.15  0.253 0.283 0.314],0.8824257425742574,0.0024401982173287173,108783482.1435647,[12.867 13.023  6.379  1.806],14.067460317551816
22,[4900. 5647. 1508.  930.],20161.0,403.19999999737746,[ 64.691  92.321  42.527 203.661],20915.02482456716,53528.0,122711.0,14639.0,9838.0,38544000000.0,65675052.57626877,51.870008493036046,1.7130102673478538,37.25291404196221,14.208127388155637,1.6927569007470695,0.3994345518575467,0.05292396210505431,2.761023758742126,[0.16  0.229 0.105 0.505],0.6720404399207596,0.0017038982092224151,95595238.09585987,[12.153 14.005  3.74   2.307],132.75793650880001
23,[6419. 6918. 3101.  572.],20161.0,403.19999999737746,[ 77.244 143.967  97.028  84.961],25790.514775013984,46208.0,111272.0,17289.0,11873.0,53689500000.0,122014224.72457552,63.96139768615294,2.5492783096076965,38.23798422697287,17.470238453411632,2.2877389764389044,0.4882198303655573,0.044591042111006396,4.003323247854769,[0.192 0.357 0.241 0.211],0.6867372317658627,0.002272590073004508,133158482.14372325,[15.92  17.158  7.691  1.419],114.60317460392002
24,[5476. 6468. 2024.  704.],20161.0,403.19999999737746,[ 64.456 168.905  63.48  106.359],23972.867480542256,47128.0,156009.0,18661.0,14130.0,37056000000.0,65891146.25272336,59.453567483107,1.6001190417142082,30.23976985268588,13.61800870769905,1.4893146692669543,0.3492882297505084,0.04384703139725212,2.8110212787064133,[0.16  0.419 0.157 0.264],0.7571941482235679,0.0017781505357492271,91904761.90535969,[13.581 16.042  5.02   1.746],116.88492063568088
25,[5867. 6665. 2633.  515.],20161.0,403.19999999737746,[ 70.813 180.319  78.257  73.811],25894.00687933877,42548.0,142341.0,21249.0,16216.0,48469500000.0,118109877.2404142,64.21806180084005,2.1431873418977476,35.87500620008928,15.992178931559582,2.219392088604706,0.45414413967561135,0.03873815782947274,3.7271960716234314,[0.176 0.447 0.194 0.183],0.7631417949079957,0.002436787613662493,120212053.57221048,[14.551 16.53   6.53   1.277],105.52579365148003
26,[5434. 5970. 2470.  649.],20161.0,403.19999999737746,[ 68.586 133.473 106.013  95.128],23538.046691436833,44336.0,192009.0,21179.0,17475.0,28245000000.0,62158273.869665764,58.37519639757831,1.4504439263925444,26.160607112742422,11.09137135102553,1.5547537880115068,0.3268191061951292,0.037299737116214475,2.213084668419225,[0.17  0.331 0.263 0.236],0.8251097785542283,0.0022006823816486374,70052083.33378898,[13.477 14.807  6.126  1.61 ],109.96031746103267
27,[4648. 5558. 3063.  684.],20161.0,403.19999999737746,[ 52.561 125.36  126.805  98.474],23347.922050946818,9648.0,232602.0,45880.0,43377.0,43611000000.0,94072173.5668943,57.90368049933227,2.1633450721690823,63.45955061752889,8.332018424382287,0.9760783322280886,0.21601111055999206,0.017211447844848966,3.362779624026586,[0.13  0.311 0.314 0.244],0.9454446381865736,0.002157074443761764,108162202.3816559,[11.528 13.785  7.597  1.696],23.928571428727068
28,[8794. 8836. 3159.  142.],20161.0,403.19999999737746,[100.686 130.941 151.994  19.579],29946.24888938403,9680.0,126520.0,18884.0,14180.0,44107500000.0,97199015.45708315,74.26776670150352,3.811001438421083,63.55656961460245,16.151570532476192,1.4518851628893286,0.33172957690590743,0.027875601408660286,3.134765140618025,[0.25  0.325 0.377 0.049],0.7509002330014828,0.002203684531136046,109393601.19118772,[21.811 21.915  7.835  0.352],24.007936508092662
29,[7850. 8353. 3369.  472.],20161.0,403.19999999737746,[ 97.664 123.433 110.51   71.593],26979.29160970225,52144.0,88953.0,16625.0,10035.0,41889000000.0,64789905.03739643,66.90960669038978,2.8609295173850717,42.98913744357919,22.06648392084651,2.5404759906676104,0.5654977431675016,0.06383611924011706,2.960170626457021,[0.242 0.306 0.274 0.178],0.6036090225563909,0.0015467045056553374,103891369.04829478,[19.469 20.717  8.356  1.171],129.325396826238
30,[5887. 6185. 3366.  622.],20161.0,403.19999999737746,[ 68.069 138.49   98.696  97.945],24668.39166034858,47928.0,137623.0,20283.0,15447.0,54891000000.0,103335135.13571164,61.17849228794474,2.4186498685581346,42.402658598283814,15.811489548914091,2.010287386179827,0.4301869946927236,0.045533455681761814,4.0153266207033385,[0.169 0.343 0.245 0.243],0.7615737316964946,0.0018825515136490798,136138392.85802835,[14.601 15.34   8.348  1.543],118.86904761982078
31,[6561. 7472. 2668.  411.],20161.0,403.19999999737746,[ 80.685 183.118  80.809  58.588],26592.69570463191,49952.0,144600.0,19967.0,14677.0,39117000000.0,59646237.90303939,65.95083503950298,2.1230296116264022,35.9134963543475,17.070549878024455,1.995100929876925,0.4542433411041119,0.038539754972471606,2.9674619314518127,[0.2   0.454 0.2   0.145],0.7350628537086192,0.0015248162666625608,97016369.04825008,[16.272 18.532  6.617  1.019],123.8888888896947
32,[6254. 6054. 3796.  476.],20161.0,403.19999999737746,[ 73.63  154.389 109.613  65.568],25955.49418662757,45276.0,159273.0,27936.0,22816.0,52957500000.0,102192992.57534476,64.3705525187835,2.660225187242759,43.446456028966814,17.717578007266127,2.2434422655750086,0.4813749317990179,0.04106939139923615,4.0101185457070585,[0.183 0.383 0.272 0.163],0.8167239404352806,0.0019297170858772555,131343005.95323525,[15.511 15.015  9.415  1.181],112.29166666739705
33,[7098. 7784. 2704.  555.],20161.0,403.19999999737746,[ 92.265 142.724  89.266  78.945],26209.631895635834,46520.0,128685.0,26921.0,21004.0,37384500000.0,58522919.75831349,65.0008231130222,2.2158027875601527,31.38237190615545,18.97667364170439,2.234789268351561,0.5327612717623134,0.040374981399732154,2.8574475472446803,[0.229 0.354 0.221 0.196],0.7802087589614056,0.0015654327263521911,92719494.04822212,[17.604 19.306  6.706  1.376],115.37698412773457
34,[7313. 7820. 2975.  520.],20161.0,403.19999999737746,[ 84.133 131.538 112.415  75.114],27055.445451812506,12376.0,115432.0,46645.0,42104.0,43065000000.0,75728671.09256609,67.09847093847121,3.2347601805468322,63.11016318634989,15.59991360143561,1.5929911871510187,0.36803729973711624,0.02316353355488319,3.271663111948812,[0.209 0.326 0.279 0.186],0.9026476578411405,0.0017584737279128316,106808035.71498042,[18.137 19.395  7.378  1.29 ],30.69444444464409
35,[3963. 4381. 2418.  874.],20161.0,403.19999999737746,[ 46.801  88.658  99.662 168.079],19362.434952031388,6544.0,217799.0,18298.0,16726.0,44173500000.0,66695299.846372485,48.019530162254576,1.8814146123704067,63.58136997172759,5.104446134361121,0.5114061019484168,0.11586726848866624,0.007787312137294777,2.8632508308119635,[0.116 0.22  0.247 0.417],0.9140889714722921,0.0015098486614457194,109557291.66737926,[ 9.829 10.866  5.997  2.168],16.230158730264296
36,[2989. 4170. 1388. 1118.],20161.0,403.19999999737746,[ 35.618 108.859  48.574 210.149],18346.38409760017,40696.0,146689.0,12768.0,10149.0,32332500000.0,43960000.91187066,45.499687757535966,0.8008332919994061,27.270869500520806,6.9312178173481325,0.7245881835657416,0.16854322702246913,0.04950151282178463,2.134467536332523,[0.088 0.27  0.12  0.521],0.7948778195488722,0.001359622698890301,80189732.14337872,[ 7.413 10.342  3.442  2.773],100.93253968319618
37,[6031. 6585. 2972.  737.],20161.0,403.19999999737746,[ 71.415 121.249 102.097 108.439],23696.827349962485,40692.0,100575.0,17303.0,12441.0,45600000000.0,73030221.22662134,58.76897810118223,1.9617677694558895,31.78810574872278,15.287809662319285,1.8607430347842873,0.4112395218491146,0.059024849957839395,3.3237438619116113,[0.177 0.301 0.253 0.269],0.71900826446281,0.0016015399391802927,113095238.0959737,[14.958 16.332  7.371  1.828],100.92261904827548
38,[5224. 5765. 1711.  969.],20161.0,403.19999999737746,[ 63.869 107.174  57.101 175.056],21403.767833726684,43476.0,147470.0,14806.0,10625.0,30745500000.0,47206193.41772138,53.082108609993334,1.3575120281732131,24.61941371955756,12.970187733723867,1.5093311744112252,0.3480978126085016,0.04166459997023957,2.2565844948167255,[0.158 0.266 0.142 0.434],0.7176144806159666,0.0015353854521058816,76253720.23859121,[12.956 14.298  4.244  2.403],107.8273809530823
39,[5664. 6618. 2527.  675.],20161.0,403.19999999737746,[ 70.44  146.05   84.528 102.182],23977.712660754903,41424.0,121561.0,19704.0,15033.0,41200500000.0,74074846.78673561,59.465583703067935,1.7069391399236218,30.079063538514955,14.517046176736637,1.8602301047975525,0.39422647686126683,0.053122364962055454,3.114280045632657,[0.175 0.362 0.21  0.253],0.7629415347137637,0.0017979113551227681,102183779.7625694,[14.048 16.414  6.267  1.674],102.73809523876348
40,[4907. 5047. 2629.  748.],20161.0,403.19999999737746,[ 57.483 126.139  99.269 120.309],22370.62671749885,48988.0,223555.0,19413.0,15505.0,27268500000.0,36791227.401885934,55.47995317070866,1.591865482862953,30.261197361242,12.714907948396874,1.534103545641468,0.3456177768959873,0.032190863548435096,1.9841773721541591,[0.143 0.313 0.246 0.298],0.7986915984134343,0.0013492208006265815,67630208.33377323,[12.17  12.517  6.52   1.855],121.49801587380614
41,[4329. 5708. 2628.  575.],20161.0,403.19999999737746,[ 38.267 181.533 108.476  74.924],21931.880101093277,17688.0,214154.0,43096.0,41551.0,43018500000.0,58371401.996464275,54.39184589327382,1.4216755121273432,61.847527404394626,4.527106710678766,0.4512503930470813,0.10688953920936461,0.01066415356381132,3.082237984226973,[0.095 0.45  0.269 0.186],0.9641498050863189,0.0013568906864828917,106692708.33402729,[10.737 14.157  6.518  1.426],43.86904761933296
42,[12322. 12409.  1621.    46.],20161.0,403.19999999737746,[125.109 213.691  58.501   5.899],33609.880521598156,37224.0,30274.0,10860.0,4599.0,26838000000.0,25438953.952005498,83.35370398689747,3.5122464163485048,51.01731064927335,22.10580603852528,1.8964116032379381,0.4676355339516889,0.01572342641734041,1.5875700610088785,[0.31  0.53  0.145 0.015],0.4234806629834254,0.0009478707039274722,66562500.000432946,[30.561 30.776  4.02   0.114],92.32142857202906
43,[9.320e+03 1.089e+04 2.328e+03 3.000e+00],20161.0,403.19999999737746,[103.303 213.547  85.982   0.368],31121.292819250702,51696.0,36857.0,12994.0,6607.0,31530000000.0,33321627.789303813,77.18191761134383,3.0086206041367847,45.60329348742622,22.31909326246032,2.0769148219079105,0.5059272853529091,0.016318634988343832,1.8959377015029018,[0.256 0.53  0.213 0.001],0.5084654455902724,0.0010568229555757633,78199404.7624134,[2.312e+01 2.701e+01 5.774e+00 7.440e-03],128.21428571511967
44,[5774. 7076. 3171.  143.],20161.0,403.19999999737746,[ 53.125 195.481 136.921  17.673],26828.07041419918,17988.0,248126.0,25954.0,23371.0,57388500000.0,64169306.91746333,66.53457272504761,2.0164475968454125,62.51455780963246,8.481282726665519,0.6706066396298636,0.16045831059967264,0.012747383562323298,3.7238728237686622,[0.132 0.485 0.34  0.044],0.9004777683594051,0.0011181561971033104,142332589.28664005,[14.32  17.55   7.865  0.355],44.61309523838541
45,[8.791e+03 1.018e+04 2.601e+03 3.000e+00],20161.0,403.19999999737746,[112.9   205.038  84.905   0.357],30675.748022701584,43160.0,22685.0,12926.0,6297.0,26278500000.0,21345059.943607606,76.07695060437787,2.6141163632756497,38.12449779276822,24.075832380445448,2.237291384436555,0.5602896681712216,0.01706264570209811,1.7302217151926989,[0.28  0.509 0.211 0.001],0.4871576667182423,0.0008122632548892672,65174851.19090011,[2.180e+01 2.524e+01 6.451e+00 7.440e-03],107.04365079434704
46,[5466. 6717. 3322.   77.],20161.0,403.19999999737746,[ 55.367 180.421 158.238   9.174],26807.2269474035,16552.0,266515.0,31708.0,29093.0,56140500000.0,70998653.91812737,66.48288018301943,2.145409453896177,62.61395764099003,8.795216997958743,0.727837100225895,0.17757055701602104,0.014929814989335847,3.8347304201180497,[0.137 0.447 0.392 0.023],0.9175286993818594,0.001264660163663084,139237351.19138184,[13.557 16.659  8.239  0.191],41.05158730185431
47,[7708. 8688. 2278.   45.],20161.0,403.19999999737746,[102.196 226.866  68.025   6.113],30190.553286209863,34340.0,19303.0,14742.0,8688.0,26052000000.0,23154433.39648707,74.87365033035391,2.5580477158871395,37.0955805763603,21.242761654916382,1.9195431531388396,0.48668220822379843,0.018550667129606666,1.6593918952432916,[0.253 0.563 0.169 0.015],0.5893365893365894,0.0008887775754831517,64613095.2385155,[19.117 21.548  5.65   0.112],85.16865079420475
48,[7645. 8889. 2456.   65.],20161.0,403.19999999737746,[ 91.708 218.363  83.707   9.422],29082.878500751725,40940.0,22848.0,16245.0,11062.0,22290000000.0,25161671.198516756,72.12657730456395,2.234254253261256,35.59902782600069,18.870735238110093,1.7260118100834425,0.43594067754575666,0.01582262784584098,1.4419919646842914,[0.227 0.542 0.208 0.023],0.6809479839950754,0.0011288322655234077,55282738.09559767,[18.961 22.046  6.091  0.161],101.53769841335884
