id,sleep_switches,steps,time,sleep_time,energy_consumption,disconnects,num_requests,ant_switches,cell_traffic,cell_dropped_traffic,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[1775. 1775.    0.    0.],10081.0,201.60000000059856,[ 79.639 121.961   0.      0.   ],15758.811731230075,362579.0,5631.0,56.0,5875500000.0,516311.3864995315,78.16095492127273,1.2697153060212993,16.243626624342824,28.760945735818478,2.4232599026007757,0.6838607281023708,0.009225275270310486,0.7001289554607678,[0.395 0.605 0.    0.   ],0.0,0.0,8.78753104415848e-05,29144345.238008708,[8.805 8.805 0.    0.   ],0.27777777777695306
1,[1643. 1644.    0.    0.],10081.0,201.60000000059856,[105.361  96.239   0.      0.   ],16792.14476570637,235769.0,6620.0,80.0,7606500000.0,1547209.6280426036,83.28610636694741,1.6850709255035876,16.14363654399365,37.42349409461687,4.451831314422998,1.20464239658764,0.008332506695764309,1.2194226763217935,[0.523 0.477 0.    0.   ],0.0,0.0,0.00020340624834583627,37730654.76179274,[8.15  8.155 0.    0.   ],0.39682539682421863
2,[1740. 1740.    0.    0.],10081.0,201.60000000059856,[ 92.043 109.557   0.      0.   ],16262.116030388606,290359.0,6148.0,88.0,6741000000.0,1106921.0215049163,80.65725637528884,1.478662831068465,16.15990477135205,32.97875354493622,3.3349246842916007,0.9137982343021526,0.009919650828290844,0.9314552127765102,[0.457 0.543 0.    0.   ],0.0,0.0,0.00016420724247217272,33437499.999900725,[8.631 8.631 0.    0.   ],0.4365079365066405
3,[1666. 1667.    0.    0.],10081.0,201.60000000059856,[108.093  93.507   0.      0.   ],16980.38195954215,227497.0,6802.0,64.0,7888500000.0,705870.0203039354,84.21972998482202,1.7341136791986689,16.224580894752506,38.5617426223152,4.463485334154498,1.2197202658466422,0.00892768574546176,1.2384684059121118,[0.536 0.464 0.    0.   ],0.0,0.0,8.948089247688855e-05,39129464.28559811,[8.264 8.269 0.    0.   ],0.3174603174593749
4,[1692. 1693.    0.    0.],10081.0,201.60000000059856,[ 77.588 124.012   0.      0.   ],15753.610492475267,356721.0,5480.0,48.0,5760000000.0,214487.8726210685,78.13515768511044,1.2425751413550894,16.241245908144034,27.938657205746452,2.4071095999508056,0.6816784049201469,0.008630096220613035,0.6977482392619779,[0.385 0.615 0.    0.   ],0.0,0.0,3.7237477885602167e-05,28571428.571343742,[8.393 8.398 0.    0.   ],0.23809523809453118
5,[1702. 1702.    0.    0.],10081.0,201.60000000059856,[ 93.317 108.283   0.      0.   ],16332.489668294553,293350.0,6131.0,72.0,6714000000.0,1834572.3541771253,81.00629733306111,1.4879476242437473,16.191250867969448,32.702587068794195,3.399041167440956,0.9254042257712528,0.0082333101874814,0.9411764705882353,[0.463 0.537 0.    0.   ],0.0,0.0,0.0002732458078905459,33303571.42847255,[8.442 8.442 0.    0.   ],0.3571428571417968
6,[1604. 1605.    0.    0.],10081.0,201.60000000059856,[106.414  95.186   0.      0.   ],16845.72457483161,234245.0,6535.0,96.0,7540500000.0,2435793.374973436,83.55185286593203,1.6984822934234398,16.171014780279734,36.803620117186696,4.378959163329231,1.1835135403233805,0.0082333101874814,1.2001785537149092,[0.528 0.472 0.    0.   ],0.0,0.0,0.00032302809826582267,37403273.809412755,[7.956 7.961 0.    0.   ],0.47619047618906235
7,[1634. 1635.    0.    0.],10081.0,201.60000000059856,[107.654  93.946   0.      0.   ],16870.922339530076,228496.0,6612.0,104.0,7578000000.0,1619358.8863884965,83.67682937966403,1.7226862414444752,16.21624838805674,37.22538725910599,4.578756575153884,1.2282511655589723,0.008034917170915585,1.2443209999008036,[0.534 0.466 0.    0.   ],0.0,0.0,0.00021369212013572136,37589285.714174114,[8.105 8.11  0.    0.   ],0.5158730158714843
8,[1636. 1637.    0.    0.],10081.0,201.60000000059856,[105.103  96.497   0.      0.   ],16823.294551522707,238818.0,6479.0,104.0,7417500000.0,3970091.0561991236,83.44060386628499,1.6751512746752943,16.12855867473465,36.182480604578636,4.442394912571346,1.1769665707767087,0.00952286479515921,1.1942267632179346,[0.521 0.479 0.    0.   ],0.0,0.0,0.0005352330375731882,36793154.76179552,[8.115 8.12  0.    0.   ],0.5158730158714843
9,[1682. 1683.    0.    0.],10081.0,201.60000000059856,[ 92.428 109.172   0.      0.   ],16300.88797198468,292529.0,6118.0,48.0,6759000000.0,595439.5394422023,80.84955843657299,1.4847733359786937,16.207122309294714,33.25666175213354,3.3013369897584517,0.9212379724233707,0.008431703204047217,0.9377045927983335,[0.458 0.542 0.    0.   ],0.0,0.0,8.809580403050781e-05,33526785.714186173,[8.343 8.348 0.    0.   ],0.23809523809453118
