drop_ratio,ue_drop_ratio,delay_ratio,qos_reward,pc_kw,reward,ue_no_bs
0.0,0.0,0.0,0.0,2.292540975267051,-0.22925409752670511,0
0.0,0.0,0.13333333333333341,0.004333329000004334,2.5387376945000963,-0.14987387344990566,0
0.0,0.0,0.21500000000000016,0.003924999345833441,2.9566726856043357,-0.20146728426043098,0
0.0,0.0,0.16833333333333347,0.004158332813541731,3.1214985546542597,-0.21234986794042446,0
0.0,0.0,0.20444444444444462,0.003977776451852292,2.7886788934694837,-0.1834012545024934,0
0.0,0.0,0.23833333333333354,0.003808332698611216,3.0980000841733264,-0.2184000236506635,0
0.0,0.0,0.13833333333333342,0.004308332615277897,2.889553520355758,-0.18555536926890628,0
0.0,0.0,0.1300000000000001,0.004349998912500271,2.78755788014439,-0.1743558141144325,0
0.0,0.0,0.2909090909090911,0.0035454542231405243,3.2630133287868293,-0.24121043152331037,0
0.0,0.0,0.2266666666666668,0.0038666653777782063,3.053006739332142,-0.2125007048665373,0
0.0,0.0,0.23866666666666686,0.0038066659053334856,3.150570742306555,-0.2236970925026519,0
0.0,0.0,0.36266666666666697,0.0031866660293334596,2.961660940342675,-0.2196861093302645,0
0.0,0.0,0.10916666666666673,0.004454165553125278,3.0977964850075455,-0.2028796752257479,0
0.0,0.0,0.35066666666666696,0.0032466660173334624,2.99509251800098,-0.22158926738409493,0
0.0,0.0,0.13611111111111118,0.004319443724537157,3.02862632294321,-0.19919598290542928,0
0.0,0.0,0.31095238095238115,0.0034452376030612943,3.031905006952476,-0.22050479822177654,0
0.0,0.0,0.13916666666666677,0.004304165590625269,2.7592400421916055,-0.17262403004415414,0
0.0,0.0,0.14733333333333343,0.004263332480666837,2.868164387280935,-0.18449645919208946,0
0.0,0.0,0.19904761904761917,0.004004761332653143,2.6909256706009734,-0.17297829507642196,0
0.0,0.0,0.22000000000000014,0.003899999220000155,3.1349370497880424,-0.2198937236988005,0
0.0,0.0,0.2020833333333335,0.003989582834635479,3.0725710811782534,-0.21150712008657385,0
0.0,0.0,0.2445833333333335,0.0037770828611979755,2.9563266576796763,-0.20498267709921625,0
0.0,0.0,0.28222222222222243,0.00358888769259299,2.7955479948471935,-0.19342149486248758,0
0.0,0.0,0.29666666666666686,0.0035166657875002187,2.7882470736230296,-0.19442472846229772,0
0.0,0.0,0.19111111111111123,0.004044443096296745,2.6447012429807306,-0.1674034899869512,0
0.0,0.0,0.11333333333333342,0.004433331116667775,2.5615538338101125,-0.14975543658098464,0
0.0,0.0,0.20166666666666683,0.003991665668750249,2.5682459033670217,-0.1610246142866962,0
0.0,0.0,0.27777777777777796,0.0036111099074078072,2.6612715459056315,-0.1794605168127758,0
0.0,0.0,0.2533333333333335,0.003733331466667599,2.876709300430679,-0.19807097484304556,0
0.0,0.0,0.37933333333333363,0.003103332712666789,3.0166831284200475,-0.22718832773800185,0
0.0,0.0,0.13285714285714295,0.004335713666326619,2.966056713027617,-0.19254854331092286,0
0.0,0.0,0.18000000000000013,0.0040999994142857975,2.852065390398146,-0.18680655309695543,0
0.0,0.0,0.1566666666666668,0.004216665823333502,2.9628712785875346,-0.19508714809874944,0
0.0,0.0,0.456666666666667,0.002716665987500168,2.759636115759257,-0.21076362787592168,0
0.0,0.0,0.29166666666666685,0.00354166578125022,2.484660957881083,-0.16346611703810304,0
0.0,0.0,0.050000000000000024,0.004749997625001187,2.5373026435507358,-0.1397303213550451,0
0.0,0.0,0.0,0.0,2.6340112902534676,-0.2634011290253468,0
0.0,0.0,0.22250000000000014,0.003887499028125242,2.746966724036406,-0.1813966957286348,0
0.0,0.0,0.22250000000000017,0.003887499028125242,2.848845086035776,-0.1915845319285718,0
0.0,0.0,0.27583333333333354,0.003620832428125225,2.88610730558833,-0.20171075228382762,0
0.0,0.0,0.2553333333333335,0.0037233325886668147,2.928658580142545,-0.20350587588625096,0
0.0,0.0,0.2850000000000002,0.0035749982125008926,2.8627334579787402,-0.20047338869785264,0
0.0,0.0,0.27666666666666684,0.003616666063888988,2.8605925332602413,-0.19925926779268846,0
0.0,0.0,0.12777777777777788,0.0043611096574078904,2.9092208525913965,-0.18625545348135028,0
0.0,0.0,0.0933333333333334,0.0045333318222227255,2.8738444864069574,-0.17858448490735032,0
0.0,0.0,0.1400000000000001,0.004299998566667144,2.79131031696291,-0.17593106609627954,0
0.0,0.0,0.18000000000000013,0.0040999989750002555,2.7748779441765627,-0.17908781901765017,0
0.0,0.0,0.0,0.0,2.7939695859734615,-0.27939695859734615,0
0.009995927328010919,0.24999993750001562,0.2800000000000002,0.00020101811774273973,2.973514479258549,-0.2925270131000292,0
0.0,0.0,0.1706666666666668,0.004146665837333499,2.9249507340117376,-0.19297509330516976,0
0.0,0.0,0.24000000000000019,0.0037999990500002367,2.806438259089161,-0.1894438487089104,0
0.0,0.0,0.17833333333333348,0.004108332306250256,2.692983990242726,-0.17069842367426646,0
0.0,0.0,0.1723809523809525,0.004138094646938859,2.8654855336104808,-0.18723428183451543,0
0.0,0.0,0.12333333333333342,0.004383332237500273,2.777269455256569,-0.17252697182565035,0
0.0,0.0,0.09666666666666673,0.004516662150004518,2.939979416477365,-0.18559805004762808,0
0.0,0.0,0.23277777777777797,0.003836110471759365,3.0757137593139094,-0.2155047246091662,0
0.0,0.0,0.1816666666666668,0.004091665643750254,2.928397337747709,-0.19463975832476482,0
0.0,0.0,0.23277777777777797,0.003836110471759365,2.9626262625961473,-0.20419597493739,0
0.0,0.0,0.15833333333333344,0.004208332281250262,2.8616840810000452,-0.18516843334999825,0
