id,sleep_switches,steps,time,sleep_time,energy_consumption,cell_traffic,cell_dropped_traffic,num_requests,disconnects,num_rejects,ant_switches,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
10,[14723. 14724.     0.     0.],20161.0,403.19999999737746,[141.078 262.122   0.      0.   ],40260.3997787131,53629500000.0,3979988004.717273,226340.0,503888.0,184502.0,96.0,99.84722925130822,4.955785923317953,63.87500620008928,45.657362139227345,29.5377988274832,2.1282674470512375,0.011358563563315311,6.29909230692922,[0.35 0.65 0.   0.  ],0.8151541928072811,0.07421266289481113,133009672.61991276,[36.515 36.518  0.     0.   ],0.23809523809678673
11,[13377. 13711.   695.     0.],20161.0,403.19999999737746,[173.767 208.026  21.407   0.   ],45028.64061168989,75598500000.0,6963118362.10277,291198.0,512879.0,235987.0,2720.0,111.67263680296038,6.252785080106085,62.43162541540598,55.38995741573455,47.78931642056441,3.1122960170626457,0.04265661425524528,9.76692624373791,[0.431 0.516 0.053 0.   ],0.8104004835198044,0.09210656775071953,187496279.7631243,[33.177 34.005  1.724  0.   ],6.746031746075625
12,[12685. 13276.  1071.     0.],20161.0,403.19999999737746,[169.885 195.217  38.098   0.   ],43999.430350693656,69330000000.0,7812982601.136234,336421.0,535506.0,280651.0,7080.0,109.12015860000331,5.764475968454652,55.57978274887159,51.973967677369714,50.946984019777275,3.0523783542483014,0.04597986211001438,9.913893160061505,[0.421 0.484 0.094 0.   ],0.8342255685584431,0.11269266697153085,171949404.76302317,[31.461 32.927  2.656  0.   ],17.559523809638023
13,[11121. 12498.  1962.     0.],20161.0,403.19999999737746,[152.805 148.082 102.313   0.   ],40801.518226208784,72465000000.0,6854129548.045713,269489.0,529475.0,216538.0,16272.0,101.1892223257881,5.416874162988641,49.70705818163781,51.77443550950701,45.85060387122445,2.907147462923466,0.043301423540498984,9.604037498139974,[0.379 0.367 0.254 0.   ],0.8035133159423947,0.09458537981157406,179724702.38212135,[27.582 30.997  4.866  0.   ],40.35714285740535
14,[15918. 15919.     0.     0.],20161.0,403.19999999737746,[155.012 248.188   0.      0.   ],40877.80345734258,54468000000.0,3799951924.1127005,200299.0,468924.0,161911.0,128.0,101.37841242334785,5.480124993800709,63.90000496007143,48.2355694040114,27.842634138775715,2.1437428698973267,0.011953772134318735,6.238430633401121,[0.384 0.616 0.    0.   ],0.8083465219496853,0.06976485136433687,135089285.71516436,[39.479 39.482  0.     0.   ],0.31746031746238235
15,[16472. 16473.     0.     0.],20161.0,403.19999999737746,[155.269 247.931   0.      0.   ],41057.26160357147,53839500000.0,4275669794.863016,261164.0,474848.0,220308.0,112.0,101.82347503489575,5.396637071574619,63.94563761718169,49.55272877936006,29.80035936773054,2.268736669808045,0.010267347849809037,6.414215564704132,[0.385 0.615 0.    0.   ],0.843561899802423,0.07941510962886016,133530505.95324947,[40.853 40.856  0.     0.   ],0.2777777777795845
16,[6.479e+03 8.294e+03 2.259e+03 5.000e+00],20161.0,403.19999999737746,[ 88.788 131.981 181.863   0.568],33323.7711707737,36834000000.0,4662614721.851504,182254.0,414375.0,150886.0,2120.0,82.64414257916295,1.917206487773335,23.773622340161698,27.61931768733713,35.63156454597791,2.1022270720698377,0.04404543425425326,6.074053866375676,[0.22  0.327 0.451 0.001],0.8278885511429105,0.12658453390485705,91354166.66726086,[1.607e+01 2.057e+01 5.603e+00 1.240e-02],5.257936507970707
17,[ 9035. 10488.  2217.    61.],20161.0,403.19999999737746,[124.903 148.721 122.215   7.361],38020.104244520764,61885500000.0,7971605719.333596,334874.0,533489.0,281438.0,14696.0,94.29121631991433,3.9407172263283514,38.07926194137195,42.72723124283434,50.87229380156482,2.9526313178909778,0.04731908139477208,9.600962253856455,[0.31  0.369 0.303 0.018],0.8404295346906597,0.12881217279223076,153485863.0962364,[22.408 26.012  5.499  0.151],36.44841269864977
18,[6604. 8357. 1883.    0.],20161.0,403.19999999737746,[ 92.302 155.45  155.448   0.   ],34921.21700778303,45450000000.0,6042746359.923852,233079.0,497463.0,192647.0,2128.0,86.60586530375437,2.3676603343088223,27.18595307772432,30.15212838043411,40.176838820726964,2.235305788403353,0.0435990278260007,7.479390903229007,[0.229 0.386 0.386 0.   ],0.8265309187013845,0.13295371528985372,112723214.28644748,[16.379 20.727  4.67   0.   ],5.277777777812106
19,[16463. 16464.     0.     0.],20161.0,403.19999999737746,[163.927 239.273   0.      0.   ],41961.62839681645,53833500000.0,3965742815.6528883,198988.0,438800.0,160009.0,56.0,104.06633697935727,5.68967809136536,63.91091711720649,50.5241119694673,30.190488107397783,2.352859481176529,0.012846584990823869,6.2170031248449975,[0.407 0.593 0.    0.   ],0.804113815908497,0.07366682113652072,133515625.00086842,[40.831 40.833  0.     0.   ],0.13888888888979226
20,[16700. 16701.     0.     0.],20161.0,403.19999999737746,[161.066 242.134   0.      0.   ],41451.63262838513,48453000000.0,4028232598.934194,279523.0,474223.0,236211.0,488.0,102.80152926041596,5.513694757205255,63.22841128912256,53.71556632333528,32.160622838927694,2.4005753682853035,0.01770745498735182,5.70785179306582,[0.399 0.601 0.    0.   ],0.8450503178629308,0.08313690790940075,120171130.95316258,[41.419 41.421  0.     0.   ],1.2103174603253326
21,[16064. 16065.     0.     0.],20161.0,403.19999999737746,[157.885 245.315   0.      0.   ],41929.02410217184,52336500000.0,4886743742.799924,290476.0,499307.0,242860.0,736.0,103.98547716425742,5.465681265810979,63.31114528049204,50.94199777467997,40.142343320420736,2.5287932146222905,0.017608253558851247,6.458509002529636,[0.392 0.608 0.    0.   ],0.8360759580825955,0.09337161909565836,129802827.38179666,[39.841 39.844  0.     0.   ],1.8253968254086983
22,[14125. 14126.     0.     0.],20161.0,403.19999999737746,[189.699 213.501   0.      0.   ],46540.68849095205,72267000000.0,7171736951.0761175,367901.0,536326.0,309514.0,480.0,115.42256954256422,6.806805217995831,63.5305788403353,60.63942885920766,49.09607351984639,3.102723079212341,0.03556371211745449,9.357670750458807,[0.47 0.53 0.   0.  ],0.841296979350423,0.09923944471302416,179233630.95354673,[35.032 35.035  0.     0.   ],1.1904761904839336
23,[16965. 16966.     0.     0.],20161.0,403.19999999737746,[164.481 238.719   0.      0.   ],42566.3317496258,53110500000.0,4794027688.181869,276097.0,467941.0,230797.0,624.0,105.56602288980308,5.72332721591276,63.81766777441595,53.19321598562484,37.06222660659289,2.5784931303010765,0.016715440702346113,6.513218590347701,[0.408 0.592 0.    0.   ],0.8359272284740508,0.09026515826779767,131722470.238952,[42.076 42.078  0.     0.   ],1.5476190476291138
24,[17343. 17344.     0.     0.],20161.0,403.19999999737746,[164.036 239.164   0.      0.   ],42118.19290589851,49681500000.0,3973071549.2971735,259854.0,444483.0,218034.0,416.0,104.4546225531938,5.707415306781252,63.82778632012301,54.655121985832835,32.10039032661508,2.4216556718416746,0.016368235702594117,5.8108228758494125,[0.407 0.593 0.    0.   ],0.8390634741046895,0.07997084527031538,123218005.9531824,[43.013 43.016  0.     0.   ],1.0317460317527425
