id,sleep_switches,steps,time,sleep_time,energy_consumption,num_requests,num_rejects,ant_switches,disconnects,cell_traffic,cell_dropped_traffic,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
10,[6319. 6319. 1239.    8.],10081.0,201.60000000059856,[90.263 49.959 60.402  0.976],15666.674604375326,9345.0,3498.0,6700.0,25224.0,13059000000.0,9417243.023833176,77.70397085792237,1.8491022716001904,16.8253149489138,40.30606003198342,5.594410890654663,1.350163674238667,0.023112786429917667,2.705485566908045,[0.448 0.248 0.3   0.005],0.3743178170144462,0.0007211304865482178,64776785.71409339,[31.344 31.344  6.146  0.04 ],33.234126984028315
11,[6.324e+03 5.998e+03 1.448e+03 3.000e+00],10081.0,201.60000000059856,[89.818 43.647 67.627  0.508],15640.813231738834,8251.0,2521.0,6528.0,22762.0,13330500000.0,6680227.436327519,77.57570296467601,1.8837813708959008,16.795159210395795,41.138230711902914,5.5455530865617435,1.3905366531098104,0.02618787818668783,2.717289951393711,[0.446 0.217 0.335 0.003],0.3055387225790813,0.0005011235464781905,66123511.90456558,[3.137e+01 2.975e+01 7.183e+00 1.488e-02],32.38095238085624
12,[5937. 5916. 1178.  121.],10081.0,201.60000000059856,[85.721 42.651 47.277 25.951],15072.990026026968,9814.0,4002.0,6360.0,24541.0,13326000000.0,8249219.22760763,74.7593989982447,1.7513341930365307,16.840392818172802,39.63619925296826,5.312497080388704,1.3090963198095427,0.045927983334986607,2.703005654200972,[0.425 0.212 0.235 0.129],0.4077847972284492,0.0006190319096208637,66101190.47599422,[29.449 29.345  5.843  0.6  ],31.547619047525384
13,[5722. 5905. 1388.    0.],10081.0,201.60000000059856,[77.546 51.512 72.542  0.   ],14650.104730191017,5797.0,1206.0,13232.0,16230.0,9204000000.0,2415425.879676151,72.66196176069197,1.6429322487849336,17.812915385378435,33.25772915078377,3.493265096133807,0.9212379724233707,0.028171808352345996,1.5278246205733559,[0.385 0.256 0.36  0.   ],0.20803864067621183,0.0002624321903168352,45654761.904626355,[28.383 29.291  6.885  0.   ],65.63492063472576
14,[5728. 5687. 1474.    0.],10081.0,201.60000000059856,[74.655 49.776 77.169  0.   ],14658.589445891093,6544.0,1869.0,21792.0,17814.0,11040000000.0,2144741.824042026,72.70404446925356,2.105902192242906,27.056839599246107,34.28085003187,3.278154884366978,0.8488245213768475,0.04205931951195318,1.6525146314849717,[0.37  0.247 0.383 0.   ],0.2856051344743276,0.00019427009275742988,54761904.761742175,[28.413 28.209  7.312  0.   ],108.09523809491716
15,[6.099e+03 5.901e+03 1.398e+03 6.000e+00],10081.0,201.60000000059856,[85.972 41.887 72.903  0.838],15302.63143530802,7148.0,1674.0,7248.0,17330.0,12852000000.0,5480655.144291507,75.8983802961372,1.7855371490924836,16.804682075190954,39.66246367500873,5.271819936028719,1.2993750619978177,0.03035413153456998,2.518004166253348,[0.426 0.208 0.362 0.004],0.23419138220481253,0.00042644375539149603,63749999.999810725,[3.025e+01 2.927e+01 6.935e+00 2.976e-02],35.95238095227421
16,[6.386e+03 6.274e+03 1.313e+03 4.000e+00],10081.0,201.60000000059856,[92.523 47.236 61.252  0.589],15727.844376345654,10117.0,4013.0,8416.0,26285.0,13704000000.0,9773646.97259622,78.00736224751985,1.968058724333054,17.28955460767781,42.12150922898334,5.90540804230097,1.4529312568197599,0.027675825810931455,2.8804682075190953,[0.459 0.234 0.304 0.003],0.39665908866264704,0.0007131966559104072,67976190.47598866,[3.168e+01 3.112e+01 6.513e+00 1.984e-02],41.7460317459078
17,[6.247e+03 6.198e+03 1.284e+03 3.000e+00],10081.0,201.60000000059856,[92.449 47.617 61.044  0.49 ],15895.687758146652,9966.0,3453.0,8076.0,26209.0,15586500000.0,9683381.11921297,78.83983611817128,2.08828489237191,18.027576629302647,43.7174959192819,6.342796636881141,1.5421089177660947,0.02499752008729293,3.2750719174685052,[0.459 0.236 0.303 0.002],0.3464780252859723,0.0006212671939956353,77313988.09500855,[3.099e+01 3.074e+01 6.369e+00 1.488e-02],40.05952380940487
18,[6298. 6236. 1309.   11.],10081.0,201.60000000059856,[92.044 47.534 60.614  1.408],15706.35151738441,8730.0,2800.0,7660.0,24085.0,13308000000.0,7392501.73966488,77.90076141942025,1.9327447673843294,17.111397678801705,41.6666080462245,5.889150058057661,1.4652316238468406,0.024402341037595476,2.811229044737625,[0.457 0.236 0.301 0.007],0.3207331042382589,0.0005554930673027412,66011904.76170877,[31.24  30.933  6.493  0.055],37.996031745918934
19,[6146. 6096. 1337.   17.],10081.0,201.60000000059856,[87.394 48.689 62.776  2.741],15470.13974759947,10251.0,4076.0,11084.0,25120.0,15012000000.0,10769395.554278824,76.72919228052119,1.989009026882379,18.531098105346693,41.37076617217436,5.6014001025740905,1.3728796746354528,0.02797341533578018,3.009622061303442,[0.434 0.242 0.311 0.014],0.397619744415179,0.0007173857949826022,74464285.71406463,[30.486 30.238  6.632  0.084],54.980158729995495
