id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,cell_traffic,cell_dropped_traffic,num_requests,num_rejects,disconnects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
18,[1245. 2169. 1408.    0.],10081.0,201.60000000059856,[ 29.6    57.827 114.173   0.   ],10968.606237983353,7456.0,5610000000.0,1431689.7606646847,43953.0,42397.0,2181.0,54.40237197690154,0.5423271500843071,16.571768673742685,9.555191026591546,0.8770435842373059,0.2432298383096915,0.01854974704890388,0.9926594583870648,[0.147 0.287 0.566 0.   ],0.9645985484494801,0.0002552031658938832,27827380.952298332,[ 6.176 10.759  6.984  0.   ],36.98412698401718
19,[1170. 2041. 1423.    0.],10081.0,201.60000000059856,[ 29.353  50.402 121.845   0.   ],10943.626930195343,7744.0,5589000000.0,1336546.8513157603,33664.0,32104.0,2446.0,54.27847897130643,0.5535958734252465,16.654300168634062,9.625938849932158,0.9139591898798629,0.24660251959131038,0.01983930165658169,0.9323479813510565,[0.146 0.25  0.604 0.   ],0.9536596958174905,0.00023913881755515483,27723214.285631973,[ 5.804 10.124  7.059  0.   ],38.41269841258436
20,[1077. 1638. 1303.    0.],10081.0,201.60000000059856,[ 28.739  31.037 141.824   0.   ],10839.264515470066,9900.0,4057500000.0,1874934.803965846,16941.0,15433.0,3843.0,53.76085961447083,0.5784346790992861,17.41335185001488,9.012695793252622,0.7854399007479843,0.20017855371490922,0.02787421882749727,0.6038091459180637,[0.143 0.154 0.703 0.   ],0.9109851838734431,0.0004620911408418598,20126488.09517834,[5.342 8.125 6.463 0.   ],49.10714285699706
21,[1165. 1631. 1276.    0.],10081.0,201.60000000059856,[ 30.912  27.304 143.384   0.   ],10995.835391537681,10064.0,4047000000.0,1644148.8108862329,17624.0,16036.0,4003.0,54.537423824706586,0.6262077174883344,17.413748636048012,9.364269370769291,0.762514713840539,0.20722150580299573,0.031941275667096515,0.5994444995536157,[0.153 0.135 0.711 0.   ],0.9098955969133,0.0004062636053585947,20074404.76184516,[5.779 8.09  6.329 0.   ],49.920634920486705
22,[1058. 2080. 1433.    0.],10081.0,201.60000000059856,[ 24.047  58.198 119.355   0.   ],10616.787052302958,6000.0,5520000000.0,1954801.2629018663,36518.0,35283.0,2085.0,52.657410238579786,0.43717885130442713,16.458684654300168,7.511518897882612,0.6986717163535046,0.18510068445590716,0.016268227358396985,0.9340343219918659,[0.119 0.289 0.592 0.   ],0.9661810613943809,0.0003541306635691787,27380952.380871087,[ 5.248 10.317  7.108  0.   ],29.7619047618164
23,[1238. 2114. 1405.    0.],10081.0,201.60000000059856,[ 29.477  57.598 114.525   0.   ],10943.650746444246,7496.0,5568000000.0,566876.7426981151,45663.0,44146.0,2090.0,54.278597095743294,0.5464537248288756,16.60232119829382,9.291640941866993,0.878432441018825,0.2373772443209999,0.015970637833548258,1.0009919650828292,[0.146 0.286 0.568 0.   ],0.966778354466417,0.00010180975982365572,27619047.61896562,[ 6.141 10.486  6.969  0.   ],37.18253968242929
24,[1251. 2176. 1434.    0.],10081.0,201.60000000059856,[ 31.299  54.122 116.179   0.   ],11104.223682027257,7648.0,5409000000.0,550926.2960158642,39492.0,37950.0,2086.0,55.07501082247244,0.5754984624541091,16.603511556393215,9.82604928263417,0.8865821345298164,0.2522567205634362,0.016665013391528618,0.9556591607975399,[0.155 0.268 0.576 0.   ],0.9609541172895776,0.00010185363209758998,26830357.142777484,[ 6.205 10.794  7.113  0.   ],37.9365079363953
25,[1314. 2245. 1482.    0.],10081.0,201.60000000059856,[ 31.261  56.361 113.978   0.   ],11069.644126102947,7704.0,5514000000.0,177642.2914937142,39973.0,38337.0,2483.0,54.90350226218925,0.5735938894950781,16.61224084912211,10.167888962700976,0.9220871744122572,0.2527527031048507,0.020831266739410773,0.9627021128856265,[0.155 0.28  0.565 0.   ],0.9590723738523503,3.2216592581377256e-05,27351190.47610927,[ 6.518 11.136  7.351  0.   ],38.214285714172256
26,[1073. 2045. 1439.    0.],10081.0,201.60000000059856,[ 24.286  56.415 120.899   0.   ],10604.397277194228,6568.0,5574000000.0,1063485.90018292,34777.0,33492.0,1929.0,52.59595911712013,0.45185993453029666,16.525741493899414,7.858636935386303,0.6829035283066628,0.19184604701914493,0.015970637833548258,0.9278841384783255,[0.12 0.28 0.6  0.  ],0.9630502918595624,0.00019079402586704702,27648809.523727436,[ 5.322 10.144  7.138  0.   ],32.57936507926835
27,[1169. 1655. 1295.    0.],10081.0,201.60000000059856,[ 30.259  28.853 142.488   0.   ],10951.051530236835,9952.0,4014000000.0,153008.88179131882,18618.0,17056.0,4146.0,54.315303691282146,0.5992262672353832,17.497073703005654,9.197795103284278,0.744823426943383,0.19581390735046125,0.02926296994345799,0.5854577918857257,[0.15  0.143 0.707 0.   ],0.9161026963153936,3.811880463161904e-05,19910714.28565517,[5.799 8.209 6.424 0.   ],49.3650793649328
