id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,num_requests,num_rejects,disconnects,cell_traffic,cell_dropped_traffic,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[1447. 1448.    0.    0.],10081.0,201.60000000059856,[ 19.563 182.037   0.      0.   ],13535.192206320125,40116.0,4005.0,2864.0,821.0,4026000000.0,0.0,67.13219029023061,0.7215157226465632,38.1172502727904,8.045646106774672,0.4298763777748591,0.12974903283404424,0.0029758952484872534,0.354230731078266,[0.097 0.903 0.    0.   ],0.7151061173533083,0.0,19970238.0951788,[7.178 7.183 0.    0.   ],198.98809523750444
1,[1538. 1539.    0.    0.],10081.0,201.60000000059856,[ 22.544 179.056   0.      0.   ],13412.582938997946,13688.0,4300.0,3165.0,1117.0,4527000000.0,435243.1369323111,66.52406973015648,0.45312964983632226,18.667195714710843,8.380869904055267,0.5488731915873057,0.16178950500942366,0.003967860331316337,0.45531197301854975,[0.112 0.888 0.    0.   ],0.736046511627907,9.614383409152002e-05,22455357.142790474,[7.629 7.634 0.    0.   ],67.89682539662381
2,[1008. 1009.    0.    0.],10081.0,201.60000000059856,[ 20.716 180.884   0.      0.   ],13363.807151735058,17348.0,4685.0,3657.0,346.0,3819000000.0,435243.1369323111,66.28215034089536,0.43773435175081965,22.898125185993454,6.812131821506153,0.4152209983832498,0.12637635155242535,0.004067056839599246,0.3817081638726317,[0.103 0.897 0.    0.   ],0.7805763073639275,0.00011396782847140903,18943452.380896136,[5.    5.005 0.    0.   ],86.05158730133181
3,[1698. 1699.    0.    0.],10081.0,201.60000000059856,[ 29.595 172.005   0.      0.   ],13741.700213485537,23548.0,4756.0,3333.0,1091.0,4764000000.0,301901.7048021412,68.15643395239357,0.6035115563932139,19.894454915186987,10.142243721590026,0.7473647549591463,0.2243825017359389,0.004662235889296697,0.5043150481103065,[0.147 0.853 0.    0.   ],0.7007989907485281,6.33714745596434e-05,23630952.38088222,[8.423 8.428 0.    0.   ],116.80555555520876
4,[1080. 1081.    0.    0.],10081.0,201.60000000059856,[ 20.916 180.684   0.      0.   ],13383.139895908733,17968.0,4889.0,3818.0,393.0,3904500000.0,0.0,66.37803737677349,0.4651919452435291,22.964785239559568,7.178570605213701,0.41503889162889995,0.12488840392818173,0.0034718777899017954,0.38815593691102074,[0.104 0.896 0.    0.   ],0.7809367968909797,0.0,19367559.523752023,[5.357 5.362 0.    0.   ],89.1269841267195
5,[1172. 1173.    0.    0.],10081.0,201.60000000059856,[ 20.549 181.051   0.      0.   ],13302.826552678853,11232.0,3138.0,2112.0,587.0,4470000000.0,339869.400387257,65.97969721592618,0.38639023906358144,17.751413550243033,7.257270281435065,0.4974250447928315,0.1445293125681976,0.0037694673147505207,0.4416228548755084,[0.102 0.898 0.    0.   ],0.6730401529636711,7.603342290542662e-05,22172619.047553215,[5.813 5.818 0.    0.   ],55.714285714120294
6,[1723. 1724.    0.    0.],10081.0,201.60000000059856,[ 23.454 178.146   0.      0.   ],13793.68744285972,40232.0,3150.0,1866.0,1069.0,4054500000.0,0.0,68.41428153385438,0.9097510167642083,38.76916972522567,8.933493521825861,0.5215341019551715,0.1541513738716397,0.004364646364447972,0.3524451939291737,[0.116 0.884 0.    0.   ],0.5923809523809523,0.0,20111607.142797433,[8.547 8.552 0.    0.   ],199.56349206289954
7,[1176. 1177.    0.    0.],10081.0,201.60000000059856,[ 16.157 185.443   0.      0.   ],13148.524735686964,13984.0,2614.0,1808.0,740.0,3468000000.0,0.0,65.21438714256149,0.3575835730582283,20.61898621168535,5.97235090249881,0.34787408969210515,0.10772740799523857,0.001785537149092352,0.32010713222894555,[0.08 0.92 0.   0.  ],0.6916602907421576,0.0,17202380.952329878,[5.833 5.838 0.    0.   ],69.36507936487342
8,[1296. 1297.    0.    0.],10081.0,201.60000000059856,[ 17.572 184.028   0.      0.   ],13181.737135219886,15208.0,6790.0,5903.0,879.0,4428000000.0,0.0,65.37911484583019,0.3371887709552609,18.26604503521476,6.254279689147209,0.3971765106320272,0.11953179248090468,0.003571074298184704,0.49102271600039676,[0.087 0.913 0.    0.   ],0.8693667157584684,0.0,21964285.7142205,[6.429 6.434 0.    0.   ],75.43650793628396
9,[1196. 1197.    0.    0.],10081.0,201.60000000059856,[ 16.536 185.064   0.      0.   ],13139.43018312466,14140.0,8037.0,7229.0,743.0,4465500000.0,301901.7048021412,65.16927974963296,0.30441424461858807,18.145025295109612,5.5309609278509955,0.3434618541507981,0.10395794068048805,0.0036702708064676125,0.5061997817676818,[0.082 0.918 0.    0.   ],0.89946497449297,6.760759261048958e-05,22150297.618981853,[5.933 5.937 0.    0.   ],70.13888888868064
