id,sleep_switches,steps,time,sleep_time,energy_consumption,cell_traffic,cell_dropped_traffic,num_requests,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,ant_switches,avg_ant_switch_fps
0,[0. 0. 0. 0.],20161.0,403.19999999737746,[403.2   0.    0.    0. ],45666.734649661565,49803000000.0,605903.6535909032,14678.0,113.255132805061,12.799999999995313,64.0,53.11180020315512,3.2101406052002317,0.9208868607707951,0.0,2.175983334160012,[1. 0. 0. 0.],0.0,0.0,1.2166007139949464e-05,123519345.23889865,[0. 0. 0. 0.],0.0,0.0
1,[0. 0. 0. 0.],20161.0,403.19999999737746,[403.2   0.    0.    0. ],48668.37171955194,102387000000.0,666705.9388350117,20583.0,120.69929993439764,12.799999999995313,64.0,74.86577759162589,5.226632470919262,1.5093001339219285,0.0,4.827389514409007,[1. 0. 0. 0.],0.0,0.0,6.511626855313777e-06,253936011.90641358,[0. 0. 0. 0.],0.0,0.0
2,[0. 0. 0. 0.],20161.0,403.19999999737746,[403.2   0.    0.    0. ],47758.74574839564,74620500000.0,1340526.4583270012,18674.0,118.44339504089858,12.799999999995313,64.0,68.06095112785542,4.633876935107213,1.3314319726204058,0.0,3.649025345964982,[1. 0. 0. 0.],0.0,0.0,1.7964586920846165e-05,185070684.52501327,[0. 0. 0. 0.],0.0,0.0
3,[0. 0. 0. 0.],20161.0,403.19999999737746,[403.2   0.    0.    0. ],48749.88042253836,102108000000.0,1228229.00782756,20394.0,120.90144442868517,12.799999999995313,64.0,74.48636989489418,5.198409133831226,1.493725509647339,0.0,4.7991667080005955,[1. 0. 0. 0.],0.0,0.0,1.2028724564456848e-05,253244047.6206948,[0. 0. 0. 0.],0.0,0.0
4,[0. 0. 0. 0.],20161.0,403.19999999737746,[403.2   0.    0.    0. ],45644.08085047367,49452000000.0,54284.2361942156,14478.0,113.1989505740502,12.799999999995313,64.0,52.64939896190613,3.122067371692987,0.897574525073161,0.0,2.1463221070383414,[1. 0. 0. 0.],0.0,0.0,1.0977156878228505e-06,122648809.52460727,[0. 0. 0. 0.],0.0,0.0
5,[0. 0. 0. 0.],20161.0,403.19999999737746,[403.2   0.    0.    0. ],46497.27307230995,74547000000.0,518010.49209125934,16218.0,115.31489775384405,12.799999999995313,64.0,58.586930400938584,3.5898240510780255,1.0424582113982441,0.0,3.1990476662863947,[1. 0. 0. 0.],0.0,0.0,6.948777175355941e-06,184888392.85834542,[0. 0. 0. 0.],0.0,0.0
6,[0. 0. 0. 0.],20161.0,403.19999999737746,[403.2   0.    0.    0. ],47913.56968385592,109435500000.0,1006560.7627458544,18695.0,118.82736392999115,12.799999999995313,64.0,68.25171684781175,4.641446279997118,1.338772878329448,0.0,5.077476315658945,[1. 0. 0. 0.],0.0,0.0,9.197753587691877e-06,271417410.7160511,[0. 0. 0. 0.],0.0,0.0
7,[0. 0. 0. 0.],20161.0,403.19999999737746,[403.2   0.    0.    0. ],48071.59723833815,109476000000.0,1568900.46627584,18826.0,119.21927790867,12.799999999995313,64.0,68.48691893842043,4.777058417990411,1.3793462625861812,0.0,5.155101433460642,[1. 0. 0. 0.],0.0,0.0,1.4330999180421646e-05,271517857.14462316,[0. 0. 0. 0.],0.0,0.0
8,[0. 0. 0. 0.],20161.0,403.19999999737746,[403.2   0.    0.    0. ],47998.55395820507,110364000000.0,893387.4044666622,18885.0,119.03812796538121,12.799999999995313,64.0,69.02058309180053,4.717764038635043,1.3642676454540945,0.0,5.147512524180348,[1. 0. 0. 0.],0.0,0.0,8.094916861174498e-06,273720238.0970185,[0. 0. 0. 0.],0.0,0.0
9,[0. 0. 0. 0.],20161.0,403.19999999737746,[403.2   0.    0.    0. ],46452.8844986621,74311500000.0,293311.8913513471,16324.0,115.20481250596863,12.799999999995313,64.0,59.74380295663885,3.6176098432566666,1.0499975199642875,0.0,3.1857546748673182,[1. 0. 0. 0.],0.0,0.0,3.947059221672919e-06,184304315.47738925,[0. 0. 0. 0.],0.0,0.0
10,[0. 0. 0. 0.],20161.0,403.19999999737746,[403.2   0.    0.    0. ],46446.290496839305,74071500000.0,430638.76845644193,16133.0,115.18845914596105,12.799999999995313,64.0,58.606600635038056,3.6207917259369946,1.044491840682506,0.0,3.1888299191508356,[1. 0. 0. 0.],0.0,0.0,5.813825404594776e-06,183709077.38214728,[0. 0. 0. 0.],0.0,0.0
11,[0. 0. 0. 0.],20161.0,403.19999999737746,[403.2   0.    0.    0. ],48106.69722649046,109365000000.0,1724648.613617513,18766.0,119.30632713279593,12.799999999995313,64.0,68.37082149970286,4.681968673250176,1.358414761172561,0.0,5.090620504935271,[1. 0. 0. 0.],0.0,0.0,1.5769657693206355e-05,271242559.5255738,[0. 0. 0. 0.],0.0,0.0
12,[0. 0. 0. 0.],20161.0,403.19999999737746,[403.2   0.    0.    0. ],48037.04870916065,109801500000.0,1615209.9829697204,18887.0,119.13359632249278,12.799999999995313,64.0,68.69612729262232,4.802861322324505,1.3840583304399583,0.0,5.206041366995684,[1. 0. 0. 0.],0.0,0.0,1.4710272473233247e-05,272325148.8112951,[0. 0. 0. 0.],0.0,0.0
13,[0. 0. 0. 0.],20161.0,403.19999999737746,[403.2   0.    0.    0. ],48065.493932363745,110352000000.0,637100.2050839675,19194.0,119.20414149188917,12.799999999995313,64.0,70.2185301193512,4.810886181155603,1.3945240811467685,0.0,5.150290164178364,[1. 0. 0. 0.],0.0,0.0,5.773345341126283e-06,273690476.19225633,[0. 0. 0. 0.],0.0,0.0
