id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,disconnects,cell_traffic,cell_dropped_traffic,num_requests,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[551. 994. 345. 674.],10081.0,201.60000000059856,[ 12.188   8.055  12.87  168.487],6347.33129738989,18124.0,34113.0,1869000000.0,5906886.74541218,3220.0,31.481655080798724,0.16522170419601337,17.283999603213967,3.2011286470681437,0.23665530730452172,0.052871738914790196,0.22130740997916873,0.4460866977482393,[0.06  0.04  0.064 0.836],0.0,0.0,0.003160453047304537,9270833.333305808,[2.733 4.931 1.711 3.343],89.90079365052674
1,[1218. 1899.  689.  751.],10081.0,201.60000000059856,[23.201 24.471 65.548 88.38 ],7603.766798214659,8376.0,32065.0,4260000000.0,14353818.050855517,4145.0,37.713355809028464,0.3728201567304768,16.848725324868564,7.635976663495909,0.6131422219954966,0.13669278841384783,0.25195913103858747,0.9173693086003373,[0.115 0.121 0.325 0.438],0.0,0.0,0.0033694408570083376,21130952.380889643,[6.042 9.42  3.418 3.725],41.547619047495694
2,[ 940. 1558.  735.  741.],10081.0,201.60000000059856,[18.995 18.457 76.902 87.246],7194.478693328742,7232.0,33040.0,3042000000.0,10962411.742469098,3306.0,35.68335826470658,0.31393710941374575,17.358992163475847,5.762216666753606,0.42127761024712296,0.09721257811725027,0.18589425652217043,0.6256323777403036,[0.094 0.092 0.381 0.433],0.0,0.0,0.0036036856484119324,15089285.714240914,[4.663 7.728 3.646 3.676],35.87301587290936
3,[1163. 1884.  686.  737.],10081.0,201.60000000059856,[23.245 23.301 68.085 86.969],7562.770818778835,7912.0,33136.0,4089000000.0,13519983.7436841,4120.0,37.51002290834489,0.37774030354130883,16.69477234401349,7.490579626721441,0.646527542682244,0.13599841285586747,0.24957841483979765,0.8614224779287769,[0.115 0.116 0.338 0.431],0.0,0.0,0.003306427914816361,20282738.095177874,[5.769 9.345 3.403 3.656],39.246031745915225
4,[ 872. 1468.  784.  733.],10081.0,201.60000000059856,[18.679 18.509 77.986 86.426],7179.662626788373,6928.0,33696.0,2995500000.0,10021205.766155865,3139.0,35.609873161342094,0.31893661343120416,17.239559567503225,5.712252407279738,0.4059878426145632,0.09721257811725027,0.1786529114175181,0.6182918361273683,[0.093 0.092 0.387 0.429],0.0,0.0,0.0033454200521301504,14858630.952336837,[4.325 7.282 3.889 3.636],34.36507936497733
5,[1165. 1857.  673.  716.],10081.0,201.60000000059856,[22.96  27.112 67.592 83.936],7604.139987435037,7944.0,32912.0,4231500000.0,15340993.5921532,4205.0,37.71520676240792,0.36861422477928163,16.715008431703204,7.86371797821424,0.6683171545577481,0.14046225572859836,0.24759448467413947,0.9091359984128559,[0.114 0.134 0.335 0.416],0.0,0.0,0.0036254268207853483,20989583.333271015,[5.779 9.211 3.338 3.552],39.404761904644914
6,[ 629. 1103.  361.  677.],10081.0,201.60000000059856,[ 12.732   9.847  11.219 167.802],6451.482284241713,18888.0,34127.0,1978500000.0,6210615.674929968,3222.0,31.99822579229524,0.18188671758754216,17.453427239361176,3.2810159517284574,0.2567883539806288,0.053169328439638924,0.22279535760341235,0.4772344013490725,[0.063 0.049 0.056 0.832],0.0,0.0,0.0031390526534900015,9813988.095208958,[3.12  5.471 1.791 3.358],93.69047619019803
7,[ 812. 1496.  745.  642.],10081.0,201.60000000059856,[15.082 26.013 85.623 74.882],6773.821447082089,5536.0,32919.0,2797500000.0,3543697.2327806796,2507.0,33.59697176412659,0.23910326356512235,16.53645471679397,5.10150156129461,0.2708711909645639,0.07697649042753694,0.13183215950798532,0.5658168832457098,[0.075 0.129 0.425 0.371],0.0,0.0,0.0012667371698947916,13876488.095196895,[4.028 7.421 3.695 3.185],27.46031746023593
8,[1114. 1958.  825.  708.],10081.0,201.60000000059856,[19.841 29.942 67.837 83.98 ],7371.112402277536,6536.0,34735.0,4266000000.0,14430482.256214485,3567.0,36.55943062334643,0.320682471976982,16.57295903184208,6.849097215722933,0.47330926745683516,0.11486955659160797,0.20751909532784446,0.8626128360281718,[0.098 0.149 0.336 0.417],0.0,0.0,0.003382672821428618,21160714.28565146,[5.526 9.712 4.092 3.512],32.42063492053866
9,[1145. 1965.  823.  683.],10081.0,201.60000000059856,[19.659 31.269 69.771 80.901],7413.4541388439375,6416.0,34345.0,4270500000.0,14808211.282279443,3459.0,36.769438244447166,0.3151274675131402,16.578514036305922,6.870388870429446,0.535068152876195,0.11953179248090468,0.19611149687531,0.8661839103263566,[0.098 0.155 0.346 0.401],0.0,0.0,0.0034675591341246795,21183035.714222822,[5.68  9.747 4.082 3.388],31.825396825302334
10,[1080. 1864.  825.  714.],10081.0,201.60000000059856,[18.797 30.369 66.74  85.694],7358.137245913979,6080.0,33156.0,4084500000.0,12114505.94343101,3359.0,36.49507611306213,0.2990973117746227,16.484475746453725,6.432211881313017,0.45506579264069774,0.11139767880170617,0.19898819561551434,0.8402936216645174,[0.093 0.151 0.331 0.425],0.0,0.0,0.00296597036196132,20260416.666606512,[5.357 9.246 4.092 3.542],30.158730158640616
