id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,disconnects,cell_traffic,cell_dropped_traffic,num_requests,num_rejects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
10,[ 8829. 10011.  1960.    40.],20161.0,403.19999999737746,[152.326 121.016 125.157   4.701],32464.704985483957,10896.0,487092.0,65715000000.0,593629357.6432263,52718.0,26804.0,80.51362776023319,1.738961361043724,18.372699766876643,39.58191209027528,11.227759387930318,2.1096671792073804,0.012300977134070731,9.42443331183969,[0.378 0.3   0.31  0.012],0.5084411396486969,0.009033392035961749,162983630.95344105,[21.897 24.829  4.861  0.099],27.023809523985296
11,[9.611e+03 1.089e+04 1.909e+03 1.000e+00],20161.0,403.19999999737746,[1.635e+02 1.231e+02 1.165e+02 1.100e-01],32615.10393779154,9656.0,391116.0,60784500000.0,418267274.49035317,40565.0,17630.0,80.8866225330815,1.7497147958931771,17.906651455780963,40.094393709501055,9.602748561106132,1.9860125985814197,0.01765785427310153,7.944496800753931,[4.055e-01 3.052e-01 2.890e-01 2.728e-04],0.4346111179588315,0.006881150202606802,150755208.3343139,[2.384e+01 2.701e+01 4.735e+00 2.480e-03],23.948412698568465
12,[ 9265. 10259.  1977.    15.],20161.0,403.19999999737746,[151.916 106.002 143.594   1.688],32150.015347494133,9744.0,434539.0,57900000000.0,353540817.86432534,44010.0,21169.0,79.73318621965902,1.6411090719707837,17.506869698923666,39.23199008958299,9.695756530418267,1.9445464014681813,0.016814642130846685,7.660235107385546,[0.377 0.263 0.356 0.004],0.48100431720063624,0.0061060590304719406,143601190.4771245,[22.979 25.444  4.903  0.037],24.166666666823854
13,[7967. 8965. 1023.    0.],20161.0,403.19999999737746,[126.874 231.045  45.281   0.   ],30503.879746034654,3936.0,492189.0,35344500000.0,92082305.3528235,29151.0,15310.0,75.65071114039796,1.1999404791430344,16.293239422647687,31.356790322215648,5.436204047388251,1.2594613362432419,0.004612866425276524,3.7622141758841328,[0.315 0.573 0.112 0.   ],0.5251963912044184,0.0026052796150129016,87659970.2386654,[19.759 22.235  2.537  0.   ],9.761904761968257
14,[10173. 10184.    13.     0.],20161.0,403.19999999737746,[184.444 218.351   0.405   0.   ],33066.956137018205,6504.0,218496.0,35601000000.0,156955448.45562065,27499.0,11356.0,82.00723212394504,1.6965428302169139,16.642031645255692,40.824187774148285,6.440601868212933,1.4896086503645654,0.007489707851793066,3.8769902286592925,[0.457 0.542 0.001 0.   ],0.41296047128986507,0.004408737070745784,88296130.95295526,[25.231 25.258  0.032  0.   ],16.130952381057302
15,[1.046e+04 8.992e+03 3.322e+03 1.000e+00],20161.0,403.19999999737746,[1.836e+02 7.816e+01 1.413e+02 1.100e-01],34327.59855867126,16304.0,409607.0,68575500000.0,490038305.4703325,62925.0,35049.0,85.13367035035445,2.281831258369976,19.044690243539506,50.40914659911879,11.70421021072692,2.356827538316552,0.029214820693417985,9.316303754774069,[4.554e-01 1.938e-01 3.505e-01 2.728e-04],0.5569964243146603,0.007145967662945695,170078125.00110623,[2.595e+01 2.230e+01 8.239e+00 2.480e-03],40.43650793677095
16,[1.046e+04 8.935e+03 3.327e+03 8.000e+00],20161.0,403.19999999737746,[183.162  81.898 137.191   0.949],34870.69662825542,18296.0,465501.0,83497500000.0,768762087.1147504,72222.0,38197.0,86.48057295831943,2.5036853330685593,20.844204156539853,52.15558112162929,14.128111572252557,2.673428897376122,0.030355637121174544,12.388373592579732,[0.454 0.203 0.34  0.002],0.5288831657943562,0.009207007241112014,207087053.57277554,[2.594e+01 2.216e+01 8.251e+00 1.984e-02],45.37698412727927
17,[1.037e+04 9.136e+03 3.132e+03 1.000e+00],20161.0,403.19999999737746,[1.901e+02 8.538e+01 1.276e+02 1.100e-01],35557.66851417911,20700.0,441496.0,88374000000.0,864278784.0492116,83182.0,47081.0,88.18428776890396,2.6649868558104526,21.762214175884132,53.14699122291841,15.489110340206365,2.8549179108179157,0.028619612122414564,13.335052824760677,[4.715e-01 2.117e-01 3.165e-01 2.728e-04],0.5659998557380203,0.009779785729391128,219181547.62047324,[2.571e+01 2.266e+01 7.768e+00 2.480e-03],51.33928571461964
18,[1.023e+04 9.026e+03 3.059e+03 7.000e+00],20161.0,403.19999999737746,[179.462  80.611 142.324   0.803],34297.48416969272,19416.0,446580.0,76207500000.0,718023012.9639044,69751.0,37640.0,85.05898559022503,2.3433361440402924,20.050592728535293,49.9462207403788,13.611440913506184,2.5983334160011906,0.02896681712216656,11.331035166906403,[0.445 0.2   0.353 0.002],0.5396338403750484,0.00942194682890666,189006696.42980078,[2.537e+01 2.239e+01 7.587e+00 1.736e-02],48.15476190507512
19,[1.086e+04 9.043e+03 3.555e+03 2.000e+00],20161.0,403.19999999737746,[186.378  79.13  137.46    0.232],35887.934122363156,22744.0,447277.0,93051000000.0,749676309.9502871,88324.0,50719.0,89.00335827181371,2.8578344328155993,23.035762114974457,56.79694875376664,15.818393298104635,2.9105699122067357,0.02966122712167055,13.267943058380041,[0.462 0.196 0.341 0.001],0.5742380326977945,0.008056617445812373,230781250.00150108,[2.692e+01 2.243e+01 8.817e+00 4.960e-03],56.40873015909706
20,[1.044e+04 1.045e+04 1.000e+01 0.000e+00],20161.0,403.19999999737746,[187.353 215.518   0.329   0.   ],33289.343097855424,8896.0,218498.0,35775000000.0,134934377.23466775,28900.0,11826.0,82.5587597288194,1.7579683547444198,16.78428649372551,42.10684387204807,7.310086732179945,1.649025345964982,0.007043301423540499,4.082535588512474,[0.465 0.535 0.001 0.   ],0.4092041522491349,0.003771750586573522,88727678.57200569,[2.590e+01 2.592e+01 2.480e-02 0.000e+00],22.06349206363557
21,[9.648e+03 9.654e+03 7.000e+00 0.000e+00],20161.0,403.19999999737746,[1.866e+02 2.164e+02 2.070e-01 0.000e+00],33394.76812857891,9480.0,232997.0,38838000000.0,152655044.63730577,34667.0,16750.0,82.8202175700064,1.819711323843135,17.310450870492534,43.030026211493634,7.283678699303297,1.6388571995436734,0.006200089281285651,4.296661871930956,[4.629e-01 5.366e-01 5.134e-04 0.000e+00],0.4831684310727781,0.003930558850540856,96324404.76253128,[2.393e+01 2.394e+01 1.736e-02 0.000e+00],23.51190476205769
22,[9838. 8801. 2982.   19.],20161.0,403.19999999737746,[178.563  78.202 143.67    2.765],33811.74669794738,17536.0,389013.0,67164000000.0,434642222.47859585,64012.0,36910.0,83.85433931338981,2.1793760230146053,18.983582163583154,48.5271468207502,11.511983210688756,2.330241555478399,0.028371608551163136,8.943554387183175,[0.443 0.194 0.356 0.007],0.5766106355058427,0.006471357013855575,166577380.95346442,[24.4   21.828  7.396  0.047],43.492063492346375
23,[9744. 8903. 2835.   33.],20161.0,403.19999999737746,[183.09   89.317 126.447   4.346],35506.2630754689,18712.0,475053.0,92863500000.0,824563392.3530731,82058.0,45571.0,88.05680044508543,2.6330439958332708,22.077476315658945,52.66034905063823,15.808681686899273,2.8900352165071177,0.02450275283964089,13.545558256038888,[0.454 0.222 0.314 0.011],0.55535109312925,0.008879305565190555,230316220.2395933,[24.167 22.081  7.031  0.082],46.40873015903202
24,[1.007e+04 9.336e+03 2.759e+03 5.000e+00],20161.0,403.19999999737746,[184.216  90.771 127.603   0.61 ],35421.30501703497,20768.0,452774.0,88419000000.0,825891691.2176578,85399.0,49040.0,87.84610142610286,2.5802291552995804,21.873716581518774,51.31581059602823,15.397388556735816,2.837359257973315,0.029710827835920838,13.072813848519418,[0.457 0.225 0.316 0.002],0.5742456000655746,0.009340658582631084,219293154.76333112,[2.499e+01 2.315e+01 6.843e+00 1.240e-02],51.507936508271534
25,[1.019e+04 9.384e+03 2.799e+03 6.000e+00],20161.0,403.19999999737746,[184.75   89.194 128.387   0.869],34411.62192110779,18416.0,428774.0,75903000000.0,671538493.0714377,66940.0,36382.0,85.3420512898812,2.36984276573569,19.979961311442885,49.12944260454313,13.139162739349896,2.568523386736769,0.0264867814096523,11.031546054263181,[0.458 0.221 0.318 0.002],0.5435016432626233,0.008847324783887826,188251488.09646255,[2.528e+01 2.327e+01 6.942e+00 1.488e-02],45.674603174900255
26,[11271. 10151.  3159.     0.],20161.0,403.19999999737746,[184.674  84.995 133.531   0.   ],34312.88928292254,22696.0,391205.0,72742500000.0,516523555.3459812,65295.0,35455.0,85.09719082119202,2.422102078269735,20.043847031397252,51.838509213713856,12.7415332907585,2.5336540846188185,0.03159565497743168,9.987550220723179,[0.458 0.211 0.331 0.   ],0.5429971667049545,0.007100712174395727,180412946.4297449,[27.954 25.176  7.835  0.   ],56.289682540048666
27,[11080. 11091.    15.     0.],20161.0,403.19999999737746,[170.868 231.942   0.39    0.   ],32614.975707169415,6976.0,281737.0,34852500000.0,111180326.21534374,32304.0,15528.0,80.88630451656061,1.6183324239871044,16.590843708149396,39.74577894024432,7.012551868333337,1.5689697931650215,0.006795297852289073,3.958732205743763,[0.424 0.575 0.001 0.   ],0.48068350668647847,0.0031900244233654326,86439732.14341937,[27.48  27.507  0.037  0.   ],17.301587301699836
28,[9471. 9478.   14.    0.],20161.0,403.19999999737746,[183.841 218.953   0.406   0.   ],33226.907852036245,8844.0,239502.0,38307000000.0,142022932.04815948,33425.0,15744.0,82.40391808946768,1.7600714250286111,17.206289370566935,42.03681600036491,7.041164630503819,1.6059719259957344,0.007688110708794206,4.252715639105203,[0.456 0.543 0.001 0.   ],0.47102468212415854,0.0037074929398846026,95007440.47680843,[23.49  23.507  0.035  0.   ],21.93452380966648
