id,sleep_switches,steps,time,sleep_time,energy_consumption,disconnects,cell_traffic,cell_dropped_traffic,num_requests,ant_switches,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
10,[1721. 1722.    0.    0.],10081.0,201.60000000059856,[ 92.699 108.901   0.      0.   ],16313.292349773057,294744.0,6634500000.0,1054934.0031087291,6067.0,80.0,80.91108198477484,1.4861224084913411,16.19244122606884,32.61424795060264,3.327900835524579,0.9094335879377046,0.00952286479515921,0.925205832754687,[0.46 0.54 0.   0.  ],0.0,0.0,0.00015900731074063292,32909226.190378483,[8.537 8.542 0.    0.   ],0.39682539682421863
11,[1636. 1637.    0.    0.],10081.0,201.60000000059856,[106.785  94.815   0.      0.   ],16889.06240447544,235565.0,7561500000.0,3285612.5115009756,6579.0,160.0,83.7668009347931,1.706021228052943,16.14998512052376,36.7997025936336,4.596362614077114,1.1995833746652118,0.008431703204047217,1.2170419601230036,[0.53 0.47 0.   0.  ],0.0,0.0,0.00043451861555259875,37507440.476079114,[8.115 8.12  0.    0.   ],0.7936507936484373
12,[1622. 1623.    0.    0.],10081.0,201.60000000059856,[103.089  98.511   0.      0.   ],16720.759119892784,247733.0,7285500000.0,1715942.3421101426,6395.0,96.0,82.93204602663573,1.6533280428530497,16.103561154647355,35.6143213519643,4.331267907073504,1.1663525443904375,0.0077373276460668584,1.1825215752405516,[0.511 0.489 0.    0.   ],0.0,0.0,0.00023552842524331104,36138392.85703556,[8.046 8.051 0.    0.   ],0.47619047618906235
13,[1597. 1598.    0.    0.],10081.0,201.60000000059856,[106.323  95.277   0.      0.   ],16867.61335258999,231908.0,7626000000.0,2656431.9841407114,6609.0,144.0,83.66041738214281,1.6957047911915177,16.076182918361273,37.32103706677478,4.619589500029748,1.2336077770062495,0.009324471778593394,1.2490824322983831,[0.527 0.473 0.    0.   ],0.0,0.0,0.00034833883872812895,37827380.952268645,[7.922 7.927 0.    0.   ],0.7142857142835936
14,[1711. 1712.    0.    0.],10081.0,201.60000000059856,[ 93.264 108.336   0.      0.   ],16284.240611396275,295398.0,6630000000.0,211594.45714891597,6092.0,48.0,80.76699043444843,1.4810435472672556,16.15593691102073,32.235762101690604,3.1474298630368285,0.8822537446681877,0.01011804384485666,0.9015970637833548,[0.463 0.537 0.    0.   ],0.0,0.0,3.191469941914268e-05,32886904.76180712,[8.487 8.492 0.    0.   ],0.23809523809453118
15,[1665. 1666.    0.    0.],10081.0,201.60000000059856,[ 90.122 111.478   0.      0.   ],16216.933984557878,299057.0,6615000000.0,990904.7273521658,5996.0,88.0,80.43316131611446,1.443031445293236,16.187283007638133,32.4401593376059,3.359429356898357,0.9185596666997322,0.00763813113778395,0.9350262870746949,[0.447 0.553 0.    0.   ],0.0,0.0,0.00014979663300864184,32812499.99990258,[8.259 8.264 0.    0.   ],0.4365079365066405
16,[1603. 1604.    0.    0.],10081.0,201.60000000059856,[107.556  94.044   0.      0.   ],16938.364285534317,227823.0,7696500000.0,2406634.123822619,6655.0,96.0,84.0113296574356,1.7224481698245961,16.108322587044935,37.43249486411073,4.5501132351724145,1.2312270608074596,0.0082333101874814,1.2462057335581787,[0.534 0.466 0.    0.   ],0.0,0.0,0.0003126920189466146,38177083.33321998,[7.951 7.956 0.    0.   ],0.47619047618906235
17,[1623. 1623.    0.    0.],10081.0,201.60000000059856,[106.535  95.065   0.      0.   ],16817.773817217647,233259.0,7552500000.0,1220435.0453209628,6595.0,64.0,83.41322198797391,1.695704791191518,16.119432595972622,37.19317794724786,4.267606033406143,1.1804384485666104,0.010911615911119929,1.1985914095823826,[0.528 0.472 0.    0.   ],0.0,0.0,0.00016159351808288152,37462797.61893639,[8.051 8.051 0.    0.   ],0.3174603174593749
18,[1680. 1681.    0.    0.],10081.0,201.60000000059856,[104.69  96.91   0.     0.  ],16832.05833482617,241413.0,7414500000.0,1960257.7976676626,6520.0,112.0,83.48407070143774,1.6726118440632511,16.134907251264757,36.40405087889166,4.228825061469652,1.157028072611844,0.009126078762027577,1.1730979069536753,[0.519 0.481 0.    0.   ],0.0,0.0,0.0002643816572483192,36778273.80941461,[8.333 8.338 0.    0.   ],0.5555555555539061
19,[1642. 1643.    0.    0.],10081.0,201.60000000059856,[ 92.805 108.795   0.      0.   ],16345.79902083785,282424.0,6799500000.0,1608957.6149672472,6155.0,96.0,81.07230939805079,1.4896141255829007,16.19918658863208,33.16003713524238,3.5163739077167384,0.942565221704196,0.00952286479515921,0.9597262176371392,[0.46 0.54 0.   0.  ],0.0,0.0,0.00023662881314320865,33727678.57132843,[8.145 8.15  0.    0.   ],0.47619047618906235
20,[1767. 1767.    0.    0.],10081.0,201.60000000059856,[ 93.028 108.572   0.      0.   ],16308.84436208521,298508.0,6757500000.0,380600.1985732096,6197.0,48.0,80.88902074239961,1.4891379823431428,16.15077869259002,33.104258498177956,3.166978577205285,0.8888007142148596,0.009126078762027577,0.9066560857057832,[0.461 0.539 0.    0.   ],0.0,0.0,5.632263389910612e-05,33519345.237995718,[8.765 8.765 0.    0.   ],0.23809523809453118
21,[1658. 1659.    0.    0.],10081.0,201.60000000059856,[ 91.829 109.771   0.      0.   ],16237.963323776772,290312.0,6621000000.0,1322219.5439407295,5970.0,72.0,80.5374631672153,1.4700128955461935,16.163872631683365,32.352192067637525,3.2644529599237915,0.892768574546176,0.008828489237178851,0.9083424263465926,[0.456 0.544 0.    0.   ],0.0,0.0,0.00019970088263717407,32842261.904664394,[8.224 8.229 0.    0.   ],0.3571428571417968
22,[1669. 1670.    0.    0.],10081.0,201.60000000059856,[105.855  95.745   0.      0.   ],16841.303595559082,234433.0,7621500000.0,2705280.798977427,6612.0,152.0,83.52992558058061,1.6930860033728488,16.203154448963396,37.3132544594538,4.510347696298851,1.1997817676817777,0.008134113679198493,1.2148596369407796,[0.525 0.475 0.    0.   ],0.0,0.0,0.0003549538540940008,37805059.52369728,[8.279 8.284 0.    0.   ],0.7539682539660154
23,[1743. 1744.    0.    0.],10081.0,201.60000000059856,[ 93.64 107.96   0.     0.  ],16339.51423641308,290559.0,6750000000.0,1500477.0619216652,6142.0,80.0,81.04113796453899,1.5004860628907097,16.231326257315743,32.98805152485023,3.3691066602010036,0.920940382898522,0.00763813113778395,0.9368118242237873,[0.464 0.536 0.    0.   ],0.0,0.0,0.00022229289806246892,33482142.85704345,[8.646 8.651 0.    0.   ],0.39682539682421863
24,[1719. 1719.    0.    0.],10081.0,201.60000000059856,[ 93.187 108.413   0.      0.   ],16317.052377850181,293364.0,6697500000.0,588782.7219218113,6107.0,80.0,80.92973106758986,1.4912012697154278,16.21585160202361,32.65987089361965,3.345697684488339,0.9196508282908442,0.009622061303442118,0.9374070032734848,[0.462 0.538 0.    0.   ],0.0,0.0,8.791082074233838e-05,33221726.190377556,[8.527 8.527 0.    0.   ],0.39682539682421863
