id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,cell_traffic,cell_dropped_traffic,num_requests,disconnects,num_rejects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
10,[1484. 1484.    0.    0.],10081.0,201.60000000059856,[ 22.994 178.606   0.      0.   ],13429.731945681258,19480.0,4590000000.0,1392844.214396441,8648.0,1024.0,7566.0,66.60912580933238,0.44781271699235903,18.653704989584366,7.615492526905629,0.5289413037679437,0.16139271897629204,0.0023807161987898025,0.5309989088384088,[0.114 0.886 0.    0.   ],0.8748843663274746,0.0003034518985613161,22767857.142789543,[7.361 7.361 0.    0.   ],96.62698412669724
11,[1247. 1248.    0.    0.],10081.0,201.60000000059856,[ 17.155 184.445   0.      0.   ],13164.955076598053,15640.0,4612500000.0,1392844.214396441,6942.0,830.0,6086.0,65.29587876497511,0.3287769070528703,18.33627616307906,5.953645167258516,0.3954421521227365,0.11189366134312072,0.0030750917567701616,0.5082829084416228,[0.085 0.915 0.    0.   ],0.8766925957937194,0.0003019716453976024,22879464.285646357,[6.186 6.19  0.    0.   ],77.57936507913475
12,[1417. 1418.    0.    0.],10081.0,201.60000000059856,[ 19.674 181.926   0.      0.   ],13287.147714763625,22144.0,4782000000.0,0.0,5339.0,957.0,4330.0,65.90193291717054,0.3975796051978959,19.11834143438151,7.172298045901996,0.4551955236962122,0.13659359190556492,0.0029758952484872534,0.5011407598452534,[0.098 0.902 0.    0.   ],0.8110132983704814,0.0,23720238.09516767,[7.029 7.034 0.    0.   ],109.84126984094372
13,[916. 917.   0.   0.],10081.0,201.60000000059856,[ 13.83 187.77   0.     0.  ],13016.271011833633,9084.0,3237000000.0,0.0,2698.0,490.0,1992.0,64.55843176187858,0.26560857057831516,18.50094236682869,4.88983081998797,0.28665973133792605,0.08203551234996528,0.00317428826505307,0.2972919353238766,[0.069 0.931 0.    0.   ],0.7383246849518161,0.0,16056547.618999947,[4.544 4.549 0.    0.   ],45.05952380939003
14,[1511. 1512.    0.    0.],10081.0,201.60000000059856,[ 22.409 179.191   0.      0.   ],13457.101250148384,18824.0,3736500000.0,518530.6355591007,3592.0,955.0,2487.0,66.74487278119527,0.5141553417319739,22.675528221406605,7.8106010245453374,0.49526632839537343,0.14750520781668486,0.00317428826505307,0.3654399365142347,[0.111 0.889 0.    0.   ],0.6923719376391982,0.0001387744240757663,18534226.19042116,[7.495 7.5   0.    0.   ],93.37301587273865
15,[1243. 1243.    0.    0.],10081.0,201.60000000059856,[ 17.922 183.678   0.      0.   ],13195.382813870488,13456.0,4446000000.0,518530.6355591007,7569.0,807.0,6689.0,65.44679502959438,0.33576034123598636,17.98631088185696,6.0058498173261645,0.38306169959985265,0.11804384485666104,0.0029758952484872534,0.4957841483979764,[0.089 0.911 0.    0.   ],0.8837362927731537,0.00011662857300024757,22053571.42850595,[6.166 6.166 0.    0.   ],66.74603174583358
16,[1610. 1611.    0.    0.],10081.0,201.60000000059856,[ 24.073 177.527   0.      0.   ],13481.380948979995,20964.0,4704000000.0,329046.7365783008,9944.0,1118.0,8831.0,66.86529584850813,0.4740005951790473,18.72790397777998,7.883753757732836,0.5794539125502814,0.17299871044539233,0.0026783057236385278,0.5666104553119731,[0.119 0.881 0.    0.   ],0.8880732099758648,6.995041168756396e-05,23333333.333264057,[7.986 7.991 0.    0.   ],103.9880952377865
17,[1516. 1517.    0.    0.],10081.0,201.60000000059856,[ 23.188 178.412   0.      0.   ],13437.97310864581,19000.0,4537500000.0,186339.75803426275,9655.0,1064.0,8565.0,66.65000053884556,0.4439242138676695,18.61085209800615,7.554514700621278,0.5318652934380081,0.16129352246800913,0.004067056839599246,0.5422081142743775,[0.115 0.885 0.    0.   ],0.8871051268772656,4.106661334088435e-05,22507440.47612365,[7.52  7.525 0.    0.   ],94.24603174575192
18,[1496. 1497.    0.    0.],10081.0,201.60000000059856,[ 21.587 180.013   0.      0.   ],13368.529210217019,19088.0,4446000000.0,486256.7382781826,8097.0,1080.0,7059.0,66.30557092656105,0.4221009820454292,18.611645670072413,7.380106414743165,0.5261343371192063,0.1552425354627517,0.0034718777899017954,0.5117547862315247,[0.107 0.893 0.    0.   ],0.8718043719896258,0.0001093694867922138,22053571.42850595,[7.421 7.426 0.    0.   ],94.68253968225856
19,[1347. 1348.    0.    0.],10081.0,201.60000000059856,[ 20.151 181.449   0.      0.   ],13302.379715472509,14932.0,4468500000.0,315948.9223407726,6457.0,883.0,5488.0,65.97748098139486,0.39551631782560953,18.297787917865293,6.936425721706505,0.4763633787660027,0.13986707667890091,0.0022815196905068944,0.4858644975696855,[0.1 0.9 0.  0. ],0.8499303081926591,7.070581231750533e-05,22165178.571362764,[6.682 6.687 0.    0.   ],74.0674603172404
