id,sleep_switches,steps,time,sleep_time,energy_consumption,cell_traffic,cell_dropped_traffic,num_requests,disconnects,num_rejects,ant_switches,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
10,[15050. 15051.     0.     0.],20161.0,403.19999999737746,[175.04 228.16   0.     0.  ],41547.01546193782,72891000000.0,1735909901.1056733,144161.0,410931.0,105397.0,64.0,103.03808209398787,6.237428698974199,63.85457070581816,61.93226312439533,17.944769177951784,2.120132929914191,0.00962253856455533,6.54779028818015,[0.434 0.566 0.    0.   ],0.7311061937694661,0.023815147289866695,180781250.00117585,[37.326 37.329  0.     0.   ],0.15873015873119117
11,[1.503e+04 1.528e+04 5.290e+02 1.000e+00],20161.0,403.19999999737746,[2.061e+02 1.806e+02 1.638e+01 1.190e-01],46024.71599309346,103546500000.0,3686501119.3422017,207877.0,420318.0,155101.0,2544.0,114.1429393211971,7.4134021129906165,62.39432567828977,74.91283211902231,33.013069947420284,3.382768711869451,0.015326620703338128,10.89742572293041,[5.110e-01 4.480e-01 4.063e-02 2.951e-04],0.746119099275052,0.03560237303377904,256811755.95405135,[3.728e+01 3.789e+01 1.312e+00 2.480e-03],6.3095238095648485
12,[14307. 14839.   833.     0.],20161.0,403.19999999737746,[202.464 170.188  30.548   0.   ],44843.46713729813,97432500000.0,3840153592.0318475,229537.0,450884.0,176556.0,6568.0,111.2133999734571,7.06167352809923,57.93899112147215,71.06788604337676,33.39898943429225,3.2269232676950548,0.023361936411884332,10.718664748772383,[0.502 0.422 0.076 0.   ],0.7691831817963989,0.03941347694077282,241648065.47776222,[35.484 36.803  2.066  0.   ],16.289682539788494
13,[13758. 14656.  1379.     0.],20161.0,403.19999999737746,[196.784 148.619  57.797   0.   ],44340.0989393103,102321000000.0,3656133414.3370466,209070.0,446692.0,154514.0,10008.0,109.96502886590139,7.0799662715148095,57.763206190169136,72.56763043286207,31.156185990646318,3.2566340955309756,0.02316353355488319,10.970933981449333,[0.488 0.369 0.143 0.   ],0.7390539053905391,0.03573199454986803,253772321.43022203,[34.122 36.349  3.42   0.   ],24.82142857159002
14,[15547. 15548.     0.     0.],20161.0,403.19999999737746,[181.246 221.954   0.      0.   ],41644.01533528115,72402000000.0,1331922147.6369236,140505.0,385248.0,105214.0,112.0,103.27864524398747,6.475472446804274,63.851594662963144,62.557582712420086,14.693361466276038,2.0744506720896783,0.009374534993303903,6.4174396111304,[0.45 0.55 0.   0.  ],0.7488274438632078,0.018396206563864582,179568452.38212034,[38.559 38.562  0.     0.   ],0.2777777777795845
15,[16069. 16069.     0.     0.],20161.0,403.19999999737746,[181.527 221.673   0.      0.   ],42061.85691770992,71674500000.0,2089627460.319051,165539.0,410245.0,124516.0,256.0,104.3149072905859,6.416626159417658,63.5129209860622,63.96157582346904,20.859508449057575,2.3435841476117254,0.010168146421308467,6.775903973017211,[0.45 0.55 0.   0.  ],0.7521852856426582,0.029154405825210516,177764136.90591815,[39.854 39.854  0.     0.   ],0.6349206349247647
16,[9.741e+03 1.114e+04 1.854e+03 1.100e+01],20161.0,403.19999999737746,[140.768 139.727 121.459   1.246],36190.714588890776,66597000000.0,1896104902.557838,104812.0,329539.0,72928.0,2528.0,89.75426464185418,3.827706958980422,32.96066663359952,50.504805689985034,23.028168202183057,2.4574673875303805,0.016814642130846685,7.223500818411785,[0.349 0.347 0.301 0.003],0.6957981910468267,0.02847132607411502,165171130.95345527,[2.416e+01 2.764e+01 4.598e+00 2.728e-02],6.2698412698820505
17,[10872. 12054.  1626.    17.],20161.0,403.19999999737746,[159.097 165.621  76.44    2.042],40624.83167438209,88519500000.0,4974845350.776923,261443.0,482554.0,204228.0,10096.0,100.75103336734085,5.168116660880418,43.56212489459848,60.42097887709523,40.101711651587195,3.2701254898070533,0.022915529983631763,11.112196815634146,[0.395 0.411 0.19  0.005],0.7811568869696263,0.05620055864275016,219542410.71571368,[26.964 29.896  4.033  0.042],25.039682539845405
18,[ 9537. 11063.  1644.     0.],20161.0,403.19999999737746,[139.042 161.57  102.588   0.   ],37146.13029233195,70579500000.0,2875574722.8976774,153612.0,405972.0,114151.0,2032.0,92.12372970669007,3.9632954714550306,33.93680869004513,50.46824794961208,26.837331646794592,2.5590496503149645,0.015525023560339269,8.22603045483855,[0.345 0.401 0.254 0.   ],0.7431125172512564,0.04074235044025074,175048363.09637666,[23.653 27.438  4.077  0.   ],5.0396825397153195
19,[16385. 16385.     0.     0.],20161.0,403.19999999737746,[192.879 210.321   0.      0.   ],43359.14922290715,72097500000.0,2013240264.5558875,153050.0,373868.0,113028.0,112.0,107.53223853704479,6.838351272259019,63.784931303010765,66.83679749438485,21.471061159135054,2.529785228907296,0.009672139278805615,6.90089777292793,[0.478 0.522 0.    0.   ],0.7385037569421757,0.027923856784990982,178813244.0487821,[40.637 40.637  0.     0.   ],0.2777777777795845
20,[16858. 16858.     0.     0.],20161.0,403.19999999737746,[196.394 206.806   0.      0.   ],43724.44701647336,64575000000.0,2616126934.6964383,239705.0,391718.0,192637.0,648.0,108.43819011079219,6.805971925996415,62.44412479539705,72.75402323503175,27.99189552320263,2.7583949208868606,0.011209761420564457,6.482912553940777,[0.487 0.513 0.    0.   ],0.8036419765962328,0.04051299937586432,160156250.0010417,[41.811 41.811  0.     0.   ],1.6071428571533104
21,[16491. 16492.     0.     0.],20161.0,403.19999999737746,[195.356 207.844   0.      0.   ],44955.953309876866,70242000000.0,3810269828.2197695,285003.0,430110.0,229930.0,1424.0,111.49236969861974,6.937433659045304,63.3385248747582,71.70384782545389,36.62103136135951,3.1087743663508753,0.012251376419820445,7.727295273051932,[0.485 0.515 0.    0.   ],0.8067634375778501,0.0542448937703905,174211309.52494264,[40.9   40.903  0.     0.   ],3.5317460317690035
22,[1.493e+04 1.493e+04 1.000e+00 0.000e+00],20161.0,403.19999999737746,[2.073e+02 1.958e+02 1.800e-02 0.000e+00],46230.47449946328,87100500000.0,5112246324.921006,282617.0,488171.0,220677.0,1184.0,114.65322776514984,7.018104260701816,59.26114776052775,70.99484805901538,43.180989351788554,3.409007489707852,0.023609939983135757,10.21050543127821,[5.142e-01 4.857e-01 4.464e-05 0.000e+00],0.7808341324124168,0.05869365072440464,216023065.47759557,[3.704e+01 3.704e+01 2.480e-03 0.000e+00],2.9365079365270366
23,[17440. 17441.     0.     0.],20161.0,403.19999999737746,[204.325 198.875   0.      0.   ],45737.44961930089,70368000000.0,3475684836.114925,240102.0,403696.0,187381.0,1152.0,113.43050845518844,7.2360299588317485,63.672238480234114,74.68758604311256,33.58018492947701,3.1903675412925945,0.0110609592778136,7.738505034472497,[0.507 0.493 0.    0.   ],0.780422487109645,0.049392974592356254,174523809.5249447,[43.254 43.256  0.     0.   ],2.857142857161441
24,[17377. 17377.     0.     0.],20161.0,403.19999999737746,[198.66 204.54   0.     0.  ],44248.24230847067,65494500000.0,2522577377.5139,218827.0,376384.0,173006.0,640.0,109.73722114099306,6.9913198750067655,63.29130499479192,73.6507494980565,26.672667067962198,2.8148405337036855,0.011160160706314171,6.625713010267348,[0.493 0.507 0.    0.   ],0.7906062780187089,0.03851586587444594,162436755.95343748,[43.098 43.098  0.     0.   ],1.5873015873119116
