id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,num_requests,num_rejects,disconnects,cell_traffic,cell_dropped_traffic,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[11592.  6538.  8247.     0.],20161.0,403.19999999737746,[127.69   50.933 224.577   0.   ],31637.133608374334,51856.0,384911.0,370468.0,63716.0,31057500000.0,43129151.706373245,78.46122119034263,6.184415455582797,57.44873766182233,48.634150362944006,3.8371527111347246,1.1425524527553197,0.0015872228560091265,3.486632607509548,[0.317 0.126 0.557 0.   ],0.962477040146943,0.0013886871675560894,77027529.76240577,[28.75  16.215 20.454  0.   ],128.61111111194765
1,[11339.  7492.  5693.     0.],20161.0,403.19999999737746,[149.811 108.362 145.027   0.   ],35975.037231646216,26324.0,946269.0,903622.0,395861.0,68850000000.0,230572402.99666107,89.21937709350449,6.69161251922083,59.47383562323297,69.88797770286455,9.717789352638146,2.36521005902485,0.0001488021427508556,8.605922325281485,[0.372 0.269 0.36  0.   ],0.9549314201352892,0.0033489092664729277,170758928.57253924,[28.123 18.581 14.12   0.   ],65.28769841312307
2,[11894.  9154.  5232.     0.],20161.0,403.19999999737746,[157.17 112.32 133.71   0.  ],37658.41615146815,12192.0,641387.0,614230.0,243999.0,51531000000.0,182432066.67259097,93.39421693235712,6.768632508308815,63.39249045186251,54.53989091572496,5.751822386393553,1.5552303953176925,0.0018352264272605526,5.95828579931551,[0.39  0.279 0.332 0.   ],0.957658948497553,0.003540239208876035,127805059.52464081,[29.499 22.703 12.976  0.   ],30.238095238291915
3,[10988.  7512.  5658.     0.],20161.0,403.19999999737746,[144.511 102.745 155.944   0.   ],35215.67609428943,29108.0,855816.0,815984.0,358618.0,65601000000.0,252968320.3997017,87.33613435416311,6.233341600119553,55.77163831159169,68.22216116663299,9.944590029911332,2.369723724021626,0.00039680571400228164,8.414810773275136,[0.358 0.255 0.387 0.   ],0.9534572852108397,0.0038561656133245183,162700892.85820112,[27.252 18.631 14.033  0.   ],72.19246031792989
4,[11993.  6707.  8145.     0.],20161.0,403.19999999737746,[134.749  49.695 218.756   0.   ],32386.19666974165,50412.0,386700.0,371896.0,64864.0,31495500000.0,51954364.16352345,80.3189243334585,6.5161053519173455,57.93105500719211,50.78332039761859,4.321193306420526,1.2645702098110212,0.0006944099995039928,3.644759684539457,[0.334 0.123 0.543 0.   ],0.9617170933540212,0.001649580548444173,78113839.28622237,[29.745 16.634 20.201  0.   ],125.02976190557514
5,[5886. 5036. 3588.    0.],20161.0,403.19999999737746,[ 73.47   80.457 249.273   0.   ],26288.225948483676,26840.0,333157.0,321395.0,268574.0,21589500000.0,57044500.47391773,65.19573917086814,1.464808293239454,23.325628689053122,22.980810286640367,2.216965175992388,0.6073607459947423,0.0008432121422548485,2.9246069143395665,[0.182 0.2   0.618 0.   ],0.9646953238263041,0.0026422335150845426,53545386.90511018,[14.598 12.49   8.899  0.   ],66.56746031789329
6,[7575. 6404. 3758.    0.],20161.0,403.19999999737746,[ 99.879  80.588 222.733   0.   ],29256.51362465829,19416.0,373242.0,357928.0,262283.0,24174000000.0,189554260.06682342,72.55719861280058,1.6372203759734782,20.35434750260404,30.654432815755435,5.067232026543789,1.1403700213283072,0.0013392192847577005,3.838549675115322,[0.248 0.2   0.552 0.   ],0.958970319524598,0.007841245142170241,59955357.14324711,[18.787 15.883  9.32   0.   ],48.15476190507512
7,[10146.  7856.  4748.     0.],20161.0,403.19999999737746,[137.301  98.915 166.984   0.   ],32133.464143170684,42116.0,672331.0,643245.0,314425.0,47355000000.0,346521440.7183833,79.69213864184812,4.107693070780208,39.2008332919994,51.11809676375314,10.12355427717924,2.0619016913843558,0.0008432121422548485,6.6679728188085905,[0.341 0.245 0.414 0.   ],0.9567385707337606,0.007317525936403406,117447916.66743058,[25.164 19.484 11.776  0.   ],104.45436508004448
8,[9468. 7134. 4847.    0.],20161.0,403.19999999737746,[122.44  68.93 211.83   0.  ],30281.504663600765,28960.0,368655.0,348060.0,243865.0,28486500000.0,208601092.11141393,75.09921299438635,2.4354744308317504,23.970834780020834,41.16090134402243,8.496049913545768,1.7415802787560142,0.0017360249987599821,4.3820247011556965,[0.304 0.171 0.525 0.   ],0.9441347601415958,0.007322805262542395,70651041.66712621,[23.482 17.693 12.021  0.   ],71.825396825864
9,[6026. 4764. 4092.    0.],20161.0,403.19999999737746,[ 70.997  59.443 272.76    0.   ],26155.740860103582,21784.0,268414.0,258954.0,165822.0,17134500000.0,63043483.356219925,64.86717142031029,1.2316055751203587,20.23629780268836,22.170676445622544,2.2633084918041844,0.6108823967065126,0.0005952085710034225,2.537026933187838,[0.176 0.147 0.676 0.   ],0.964755936724612,0.00367933020258659,42496279.76218117,[14.945 11.815 10.149  0.   ],54.02777777812919
10,[11271.  8152.  4618.     0.],20161.0,403.19999999737746,[155.866 126.872 120.462   0.   ],36636.31863064316,20528.0,763475.0,726862.0,398150.0,50571000000.0,263644646.30312455,90.85937857903899,6.563483954169638,60.29383463121869,61.83665056522637,6.9906056600788355,1.8583403601011854,0.0008432121422548485,6.583006795297853,[0.387 0.315 0.299 0.   ],0.9520442712597007,0.005213356396019943,125424107.14367294,[27.954 20.218 11.453  0.   ],50.91269841302957
11,[11863.  8147.  5559.     0.],20161.0,403.19999999737746,[159.186  74.411 169.603   0.   ],36582.478720932144,35840.0,685392.0,643703.0,311495.0,59733000000.0,540345545.5243464,90.72585368019354,5.6384504736871435,43.891870442934376,72.53819095456663,18.445198854963703,3.4803829175140124,0.0009424135707554189,8.761172560884877,[0.395 0.185 0.421 0.   ],0.9391749538949973,0.0090460138537215,148147321.42953503,[29.422 20.206 13.787  0.   ],88.88888888946705
12,[10321.  7877.  4635.     0.],20161.0,403.19999999737746,[138.301  75.381 189.518   0.   ],31894.407448664708,25504.0,342185.0,319762.0,265501.0,32091000000.0,320586690.44385934,79.09926950216,2.8326769505479574,25.013243390704826,46.72509513790789,10.51709986883463,2.1053519170676056,0.001488021427508556,4.985714994295918,[0.343 0.187 0.47  0.   ],0.9344711194237035,0.009989925226507722,79590773.81004149,[25.598 19.536 11.496  0.   ],63.25396825437968
13,[9524. 7711. 3753.    0.],20161.0,403.19999999737746,[135.832 100.695 166.673   0.   ],33616.76160726363,23960.0,646029.0,612282.0,326346.0,48000000000.0,367784867.16990525,83.37076932508093,3.858776846386685,35.88611676008134,53.58228960405809,9.98126281658223,2.1887307177223354,0.000744010713754278,6.979465304300382,[0.337 0.25  0.413 0.   ],0.9477624069507715,0.007662184732706359,119047619.04839337,[23.621 19.125  9.308  0.   ],59.42460317498969
14,[11769.  8054.  5352.     0.],20161.0,403.19999999737746,[157.576 113.097 132.527   0.   ],36268.97908229718,23136.0,733140.0,697685.0,357281.0,46741500000.0,189489120.5161949,89.94836338052404,6.602410594713227,57.67809136451565,62.47718895465273,7.798600960608526,1.9506968900352164,0.0006448092852537077,6.224592034125291,[0.391 0.28  0.329 0.   ],0.9516395231470115,0.004053980306926284,115926339.28646831,[29.189 19.975 13.274  0.   ],57.380952381325606
15,[5793. 4950. 3255.    0.],20161.0,403.19999999737746,[ 73.591  75.471 254.138   0.   ],25625.149182469213,23528.0,267182.0,256513.0,222131.0,18136500000.0,90658418.2593396,63.5512851110117,1.205971925995782,19.782153663012746,21.910028508255138,2.5048175929393848,0.6547294281037647,0.0006448092852537077,2.7323545459054612,[0.183 0.187 0.63  0.   ],0.9600684177826351,0.00499867219470899,44981398.80981638,[14.368 12.277  8.073  0.   ],58.35317460355415
16,[7378. 6788. 3308.    0.],20161.0,403.19999999737746,[ 98.647  68.467 236.086   0.   ],27936.657607129,16872.0,227067.0,215784.0,177730.0,19254000000.0,105273053.12225653,69.28390855395058,1.3441793561828055,18.089578889936014,26.54205092436665,4.169113878495165,1.0097713407073061,0.0016368235702594117,2.916819602202272,[0.245 0.17  0.586 0.   ],0.9503098204494709,0.00546759390891537,47752976.190786794,[18.299 16.835  8.204  0.   ],41.84523809551027
17,[13276.  9658.  5230.     0.],20161.0,403.19999999737746,[184.295  93.92  124.985   0.   ],37504.50892129045,35568.0,545932.0,511004.0,269940.0,51414000000.0,470342091.5352307,93.01252150510155,6.177788800158916,46.15763106988741,71.16746097483677,17.32686739554891,3.2918506026486782,0.0010416149992559893,7.577798720301573,[0.457 0.233 0.31  0.   ],0.9360213359905629,0.009148132639655165,127514880.95321035,[32.927 23.953 12.971  0.   ],88.21428571485949
18,[8247. 6750. 4184.    0.],20161.0,403.19999999737746,[107.655  67.619 227.926   0.   ],28358.154336856533,29976.0,323875.0,306660.0,255588.0,25755000000.0,127447307.21228004,70.32923549638407,1.9931947820048679,22.517335449630476,34.42122823751674,5.352810454959246,1.2736967412330737,0.0010416149992559893,3.6717920738058627,[0.267 0.168 0.565 0.   ],0.9468467773060595,0.004948449124918658,63876488.09565357,[20.454 16.741 10.377  0.   ],74.34523809572165
19,[6460. 5204. 3970.    0.],20161.0,403.19999999737746,[ 79.223  69.688 254.289   0.   ],26397.263708568906,24828.0,302706.0,290763.0,215281.0,18652500000.0,68481007.55141114,65.46615670989198,1.4006448092853072,20.64857893953673,24.504118197291035,2.852626436171049,0.7253608451961708,0.0006448092852537077,2.716333515202619,[0.196 0.173 0.631 0.   ],0.9605458761967057,0.003671411743809738,46261160.71458661,[16.022 12.907  9.846  0.   ],61.57738095278147
20,[11072.  9703.  3053.     0.],20161.0,403.19999999737746,[164.254 154.824  84.122   0.   ],39931.391821573496,512.0,704438.0,666518.0,381087.0,47911500000.0,108952531.378143,99.0312777679001,6.330162194336599,63.983929368582906,58.60420544535908,5.777692332818617,1.6215961509845742,0.000744010713754278,5.460245027528396,[0.407 0.384 0.209 0.   ],0.9461698545507199,0.0022740371597245548,118828125.0007729,[27.46  24.065  7.572  0.   ],1.2698412698495294
21,[12031.  8720.  5329.     0.],20161.0,403.19999999737746,[160.192 110.029 132.979   0.   ],38392.19203766166,5376.0,726167.0,694367.0,332688.0,52069500000.0,131917594.52957603,95.21400733510218,7.073776102376379,63.798224294429836,59.33057672216495,6.016001161792296,1.655324636674768,0.0015872228560091265,5.94603442289569,[0.397 0.273 0.33  0.   ],0.9562084203771308,0.0025334907101004626,129140625.00083998,[29.839 21.627 13.217  0.   ],13.333333333420057
22,[6710. 5829. 2936.    0.],20161.0,403.19999999737746,[ 95.444  96.584 211.172   0.   ],29498.129724919912,22960.0,608242.0,577951.0,378625.0,48514500000.0,240950558.97525534,73.15641517016338,2.875452606517645,33.31064927334953,42.808723287038354,6.26034622248245,1.5029016417836416,0.0006944099995039928,6.369227716879123,[0.237 0.24  0.524 0.   ],0.9501990983851822,0.004966567912175851,120323660.71506834,[16.642 14.457  7.282  0.   ],56.94444444481483
23,[11503. 10032.  3443.     0.],20161.0,403.19999999737746,[165.018 145.71   92.472   0.   ],39714.13735687128,2224.0,729211.0,695250.0,342718.0,52030500000.0,110541178.52452013,98.49247893673524,6.4439660731124535,63.91885323148653,54.826571683334116,5.516690668967623,1.527801200337285,0.001488021427508556,5.812906105847924,[0.409 0.361 0.229 0.   ],0.9534277458787649,0.0021245457668967265,129043898.81036316,[28.529 24.881  8.539  0.   ],5.515873015908893
24,[11092.  9726.  3480.     0.],20161.0,403.19999999737746,[160.158 146.969  96.073   0.   ],39454.90040245497,2272.0,723582.0,688533.0,354684.0,47463000000.0,72952864.68637215,97.84956203177896,6.277347353802858,63.912305937205495,55.77522081762118,5.296758205246298,1.5019592282128862,0.0015376221417588414,5.329497544764645,[0.397 0.365 0.238 0.   ],0.9515618133121057,0.0015370470616347923,117715773.81028947,[27.51  24.122  8.631  0.   ],5.634920634957286
