id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,cell_traffic,cell_dropped_traffic,num_requests,disconnects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[2330. 3103.  817. 1069.],15121.0,302.39999999976106,[ 28.578  20.122  31.602 222.098],11138.008987822574,11304.0,5848500000.0,26036120.078138374,7494.0,69465.0,36.829604483243486,0.3101911249255948,17.256795185503606,7.808909148106558,0.713793351164671,0.14648502083195555,0.3351630183188943,0.8159513259705046,[0.095 0.067 0.105 0.734],0.0,0.0,0.004451760293774194,19340277.77779306,[ 7.705 10.261  2.702  3.535],37.38095238098192
1,[4466. 5729. 1268.  822.],15121.0,302.39999999976106,[53.608 60.604 90.513 97.675],14728.346709489673,11120.0,12171000000.0,41583136.274511404,8629.0,56234.0,48.70162922255782,0.6330269162092441,16.79518550360426,16.48678533124632,1.5253160627889333,0.3440909992725349,0.30573374776800477,1.537795119370412,[0.177 0.2   0.299 0.323],0.0,0.0,0.003416575160176765,40248015.87304767,[14.769 18.945  4.193  2.718],36.772486772515826
2,[4063. 5075. 1603.  631.],15121.0,302.39999999976106,[ 46.623  41.312 140.97   73.495],14592.380401620358,9464.0,8634000000.0,19177062.95748869,5508.0,31779.0,48.25203492367197,0.5838767277296382,16.897030619668012,14.127454349589666,1.1886815820057972,0.2767012763706104,0.17584815819059585,0.9552939620395476,[0.154 0.137 0.466 0.243],0.0,0.0,0.0022211099093686227,28551587.301609863,[13.436 16.782  5.301  2.087],31.296296296321024
3,[4938. 6299. 1555.  678.],15121.0,302.39999999976106,[57.705 66.237 98.229 80.229],15628.952875462037,8704.0,11742000000.0,24831309.081818026,6529.0,34416.0,51.679627258309,0.6949804907082986,16.620858408835396,17.30444361931421,1.4222417685977058,0.34832352357648305,0.19013292771642087,1.250049599894187,[0.191 0.219 0.325 0.265],0.0,0.0,0.0021147427254145823,38829365.079395756,[16.329 20.83   5.142  2.242],28.783068783091526
4,[3996. 5019. 1650.  564.],15121.0,302.39999999976106,[ 45.391  40.475 150.962  65.572],14695.218280992462,8576.0,8407500000.0,13114082.861424398,5054.0,28352.0,48.59208478602099,0.5666291911910446,16.899146881819984,13.771588272550682,1.1145478669373061,0.2656570332649957,0.1547516698631043,0.8929964949408108,[0.15  0.134 0.499 0.217],0.0,0.0,0.001559807655239298,27802579.365101334,[13.214 16.597  5.456  1.865],28.359788359810768
5,[4889. 6188. 1399.  756.],15121.0,302.39999999976106,[57.904 63.776 90.856 89.864],15426.222381620006,10944.0,12081000000.0,27215736.57204909,7183.0,40439.0,51.00926652210702,0.6986310429204514,16.795714569142252,17.379554196240054,1.5568510969122986,0.35004298657496197,0.22637391706897692,1.4138615170954303,[0.191 0.211 0.3   0.297],0.0,0.0,0.002252771837765838,39950396.82542839,[16.167 20.463  4.626  2.5  ],36.19047619050479
6,[2414. 3171.  817. 1103.],15121.0,302.39999999976106,[ 30.06   19.74   33.675 218.925],11219.418207464914,11560.0,5965500000.0,23476312.910895925,7685.0,70033.0,37.09879706191678,0.32648634349579486,17.26473116857351,7.984197787268554,0.7049818264101381,0.1540242047483632,0.3407843396600754,0.8055022815951326,[0.099 0.065 0.111 0.724],0.0,0.0,0.003935347064101236,19727182.539698128,[ 7.983 10.486  2.702  3.647],38.22751322754343
7,[3305. 4564. 1484.  751.],15121.0,302.39999999976106,[ 37.903  52.388 123.797  88.312],13338.058495408013,8808.0,8361000000.0,26267400.54840516,6107.0,61877.0,44.10441933538005,0.44145228490177835,16.70365716553138,11.342722543615134,0.9431696801386218,0.20719529131671185,0.21142781562066001,1.0222207525957279,[0.125 0.173 0.409 0.292],0.0,0.0,0.003141657762038651,27648809.52383137,[10.929 15.093  4.907  2.483],29.12698412700714
8,[4359. 5716. 1363.  724.],15121.0,302.39999999976106,[50.168 81.454 84.115 86.663],15105.46077428384,7808.0,12150000000.0,32868592.323897056,6382.0,41840.0,49.94861706990144,0.5967330203028824,16.54520203690232,14.93824617826452,1.229673994474328,0.28728258713048077,0.20177236955227829,1.3568547053766284,[0.166 0.269 0.278 0.287],0.0,0.0,0.0027052339361232146,40178571.42860317,[14.415 18.902  4.507  2.394],25.820105820126223
9,[4418. 5829. 1457.  734.],15121.0,302.39999999976106,[51.984 76.299 85.851 88.266],15391.949062993503,7240.0,12105000000.0,26449915.769898113,6296.0,38947.0,50.89593632361926,0.607843396600748,16.440976125917597,14.980979354255348,1.3097973641092957,0.30447721711527015,0.2035579657430064,1.3512995172276965,[0.172 0.252 0.284 0.292],0.0,0.0,0.0021850405427425125,40029761.90479353,[14.61  19.276  4.818  2.427],23.941798941817858
10,[4481. 5909. 1542.  627.],15121.0,302.39999999976106,[51.855 82.933 91.975 75.637],15715.852858854425,6532.0,11914500000.0,28961623.961743765,5504.0,30132.0,51.966975923714266,0.606362013094366,16.420607102704846,14.847912658963617,1.1761966782565296,0.2905892467429403,0.15951325970504596,1.2299451094504332,[0.171 0.274 0.304 0.25 ],0.0,0.0,0.0024307880281794255,39399801.58733272,[14.818 19.54   5.099  2.073],21.60052910054617
11,[4509. 5912. 1482.  646.],15121.0,302.39999999976106,[52.08  83.308 88.686 78.326],15571.31966607638,6408.0,11740500000.0,26672082.785687394,5745.0,35067.0,51.48905385249575,0.6167316976390406,16.372726671516435,15.077256563657645,1.2221340332257178,0.29389590635539975,0.16731697639045037,1.230937107334171,[0.172 0.275 0.293 0.259],0.0,0.0,0.0022718012678921164,38824404.761935435,[14.911 19.55   4.901  2.136],21.190476190492934
12,[4420. 5862. 1496.  713.],15121.0,302.39999999976106,[50.829 74.037 91.413 86.121],15318.503988481803,7288.0,11913000000.0,37749547.498439446,6323.0,39086.0,50.65307846199749,0.6015475166986243,16.45975795251637,15.150670036637605,1.2613351741986072,0.2892665828979565,0.20441769724224587,1.284637259440513,[0.168 0.245 0.302 0.285],0.0,0.0,0.003168769201581419,39394841.2698724,[14.616 19.385  4.947  2.358],24.100529100548144
13,[3479. 4869. 1666.  702.],15121.0,302.39999999976106,[ 39.148  55.264 125.788  82.2  ],13727.566413308556,8320.0,8440500000.0,22327647.420271963,5717.0,51395.0,45.392389436234254,0.4596521394087541,16.63355598174724,11.997460062834744,0.8723921751862709,0.2126843462733946,0.1931750545598836,0.9693141987963759,[0.129 0.183 0.416 0.272],0.0,0.0,0.0026452991434478958,27911706.349228404,[11.505 16.101  5.509  2.321],27.51322751324925
14,[3490. 4714. 1656.  656.],15121.0,302.39999999976106,[ 39.016  43.69  142.708  76.986],13867.677659389094,7272.0,8227500000.0,24374824.59999266,5321.0,45748.0,45.85568963489953,0.46764102903245613,16.557106011507177,12.07868125690834,0.8479487523843965,0.2147344752331195,0.17115270154090337,0.8871767740228821,[0.129 0.144 0.472 0.255],0.0,0.0,0.0029626040230923923,27207341.269862767,[11.541 15.589  5.476  2.169],24.047619047638047
15,[4325. 5695. 1430.  691.],15121.0,302.39999999976106,[50.159 76.908 91.866 83.467],15126.33392987266,6608.0,11880000000.0,33432979.674651142,6369.0,39438.0,50.01763749047121,0.5925004959989324,16.40473513656504,15.0688428819465,1.2485472711228958,0.2946895046623901,0.203756365319754,1.2840420607102705,[0.166 0.254 0.304 0.276],0.0,0.0,0.002814223878337638,39285714.28574533,[14.302 18.833  4.729  2.285],21.851851851869117
16,[4543. 5960. 1526.  635.],15121.0,302.39999999976106,[53.496 80.017 92.62  76.267],15705.983147476185,6304.0,11968500000.0,29209926.00820652,5876.0,32484.0,51.93434014771397,0.6315455327028631,16.37775279412737,15.744220793982075,1.4040436858344294,0.3159843925666292,0.171020435156405,1.265458633688248,[0.177 0.265 0.306 0.252],0.0,0.0,0.002440566989030081,39578373.015904285,[15.023 19.709  5.046  2.1  ],20.84656084657732
