id,sleep_switches,steps,time,sleep_time,energy_consumption,cell_traffic,cell_dropped_traffic,num_requests,avg_pc,avg_tx_power,avg_num_ants,avg_operation_pc,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,ant_switches,avg_ant_switch_fps
0,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21566.31392247669,15165000000.0,0.0,4990.0,106.96515188213513,12.80000000000204,64.0,106.4875044564398,36.139254129132546,2.247102900503477,0.6274179148893959,0.0,1.310782660450352,[1. 0. 0. 0.],0.0,0.0,0.0,75223214.28549094,[0. 0. 0. 0.],0.0,0.0
1,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],22053.972450089506,26796000000.0,459849.57806414814,5360.0,109.3838530408149,12.80000000000204,64.0,108.81828338923052,38.90634361780107,2.6998518956739126,0.7448665806963595,0.0,2.401051482987799,[1. 0. 0. 0.],0.0,0.0,1.7161127708021652e-05,132916666.66627203,[0. 0. 0. 0.],0.0,0.0
2,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],22007.2548673525,20553000000.0,79103.18410277773,5592.0,109.1521419866688,12.80000000000204,64.0,108.77238202953203,41.1268780044314,2.8037296148586064,0.7754191052474952,0.0,1.9312568197599445,[1. 0. 0. 0.],0.0,0.0,3.848741502592212e-06,101949404.76160207,[0. 0. 0. 0.],0.0,0.0
3,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21952.21158029092,26530500000.0,200415.1074172249,5240.0,108.87913689262251,12.80000000000204,64.0,108.41053944374757,38.159414950317796,2.7031471183517572,0.7360380914591806,0.0,2.3701021724035316,[1. 0. 0. 0.],0.0,0.0,7.554139854779401e-06,131599702.38056166,[0. 0. 0. 0.],0.0,0.0
4,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21566.156135265257,15406500000.0,200415.1074172249,5028.0,106.9643692851135,12.80000000000204,64.0,106.4212311138655,36.622225221961536,2.2025425937021295,0.6197797837516119,0.0,1.313163376649142,[1. 0. 0. 0.],0.0,0.0,1.3008477422985423e-05,76421130.95215406,[0. 0. 0. 0.],0.0,0.0
5,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21423.25408394366,20623500000.0,461482.424295572,4663.0,106.25560005923494,12.80000000000204,64.0,105.54986616656447,33.48917600094894,2.0478415135054866,0.5659160797539926,0.0,1.6708659855173098,[1. 0. 0. 0.],0.0,0.0,2.237653280459534e-05,102299107.14255342,[0. 0. 0. 0.],0.0,0.0
6,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21598.44997207173,26896500000.0,517095.4613986014,4742.0,107.12454107762625,12.80000000000204,64.0,106.58850344948661,34.51897513918841,2.2683995924075226,0.6259299672651523,0.0,2.269616109512945,[1. 0. 0. 0.],0.0,0.0,1.9225381049526943e-05,133415178.57103246,[0. 0. 0. 0.],0.0,0.0
7,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21609.110907666156,27045000000.0,55613.037103029346,4749.0,107.17741745692689,12.80000000000204,64.0,106.67585071455585,34.642332330402326,2.225746393409208,0.6265251463148497,0.0,2.3025493502628707,[1. 0. 0. 0.],0.0,0.0,2.0563149233880327e-06,134151785.71388741,[0. 0. 0. 0.],0.0,0.0
8,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21588.339669178586,27006000000.0,11110.032087315049,4689.0,107.07439574039216,12.80000000000204,64.0,106.65569559015623,34.24068608102783,2.2299444249468148,0.6185894256522171,0.0,2.28717389147902,[1. 0. 0. 0.],0.0,0.0,4.1139124962286336e-07,133958333.3329356,[0. 0. 0. 0.],0.0,0.0
9,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21364.571495750894,20383500000.0,149166.68737354613,4684.0,105.9645446669491,12.80000000000204,64.0,105.4458249423028,34.17678091566137,2.030818118658298,0.5723638527923817,0.0,1.6645174089872037,[1. 0. 0. 0.],0.0,0.0,7.318011498199334e-06,101108630.95208076,[0. 0. 0. 0.],0.0,0.0
10,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21306.77539367135,20293500000.0,85100.64739355221,4569.0,105.67788609101552,12.80000000000204,64.0,105.18109105690286,33.39621424395289,2.0074318254234287,0.5625433984723738,0.0,1.6441821247892074,[1. 0. 0. 0.],0.0,0.0,4.1934928619288055e-06,100662202.38065352,[0. 0. 0. 0.],0.0,0.0
11,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21542.384104048837,26830500000.0,65566.60645855623,4643.0,106.84646416054035,12.80000000000204,64.0,106.33945654900586,33.95898731740046,2.160630883751923,0.6087689713322091,0.0,2.2695169130046624,[1. 0. 0. 0.],0.0,0.0,2.4437340511192944e-06,133087797.61865248,[0. 0. 0. 0.],0.0,0.0
12,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21459.51825048033,26883000000.0,11110.032087315049,4507.0,106.43546399404632,12.80000000000204,64.0,106.09184809323858,32.99894050539857,2.1509565085713986,0.599146910028767,0.0,2.3038389048705485,[1. 0. 0. 0.],0.0,0.0,4.1327352182848076e-07,133348214.28531837,[0. 0. 0. 0.],0.0,0.0
13,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21541.28452760421,26359500000.0,11110.032087315049,4656.0,106.8410104533457,12.80000000000204,64.0,106.42805506749771,34.01429668791985,2.1573034002449463,0.6061898621168534,0.0,2.229739113183216,[1. 0. 0. 0.],0.0,0.0,4.214811391458506e-07,130751488.09484988,[0. 0. 0. 0.],0.0,0.0
14,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21360.787104729014,20472000000.0,0.0,4565.0,105.94577474818094,12.80000000000204,64.0,105.58184710175026,33.464223248739394,1.9881861993041652,0.5636345600634858,0.0,1.6765201864894357,[1. 0. 0. 0.],0.0,0.0,0.0,101547619.04731755,[0. 0. 0. 0.],0.0,0.0
15,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21348.935130960836,20206500000.0,0.0,4677.0,105.88699102747765,12.80000000000204,64.0,105.5014286773629,34.32606390186854,2.0507642618074424,0.5767284991568297,0.0,1.6666005356611446,[1. 0. 0. 0.],0.0,0.0,0.0,100230654.76160717,[0. 0. 0. 0.],0.0,0.0
16,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21592.928559533288,27153000000.0,257505.5393772559,4777.0,107.09715583539686,12.80000000000204,64.0,106.66305861693995,34.89287122346413,2.33129334338341,0.6427933736732467,0.0,2.3224878484277354,[1. 0. 0. 0.],0.0,0.0,9.483502352493495e-06,134687499.9996001,[0. 0. 0. 0.],0.0,0.0
17,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21513.763274130968,26817000000.0,346008.7414326218,4652.0,106.70450984094069,12.80000000000204,64.0,106.15117705096478,33.84790217829185,2.2219086963047556,0.6084713818073604,0.0,2.2875706775121514,[1. 0. 0. 0.],0.0,0.0,1.2902589455666994e-05,133020833.33293839,[0. 0. 0. 0.],0.0,0.0
18,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21544.31815318606,26766000000.0,88503.2020553659,4636.0,106.85605670660316,12.80000000000204,64.0,106.39261683685648,33.81737863357408,2.209874023496605,0.6157127269120127,0.0,2.2794365638329532,[1. 0. 0. 0.],0.0,0.0,3.3065531665308935e-06,132767857.14246295,[0. 0. 0. 0.],0.0,0.0
19,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21483.04929769196,20182500000.0,0.0,4812.0,106.55217388002833,12.80000000000204,64.0,106.08406380948746,35.52776401812133,2.200447421612306,0.6093641503819066,0.0,1.667394107727408,[1. 0. 0. 0.],0.0,0.0,0.0,100111607.14255992,[0. 0. 0. 0.],0.0,0.0
