id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,cell_traffic,cell_dropped_traffic,disconnects,num_requests,num_rejects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[16852. 16853.     0.     0.],20161.0,403.19999999737746,[108.526 294.674   0.      0.   ],34790.19161701435,17704.0,9261000000.0,41538247.05469457,101312.0,11326.0,7400.0,86.28091765540876,0.7928574971480027,16.800555527999602,13.28483876362291,1.0613237350674212,0.28178165765587027,0.004464064282525668,0.7050245523535539,[0.269 0.731 0.    0.   ],0.6533639413738301,0.004485287447866815,22968750.000149395,[41.796 41.798  0.     0.   ],43.908730159015754
1,[11997. 11998.     0.     0.],20161.0,403.19999999737746,[218.706 184.494   0.      0.   ],44808.78403313774,27400.0,54723000000.0,133062248.96105117,10932.0,17668.0,3140.0,111.12738463651125,6.369644362879606,59.355389117603295,52.98857538839515,5.584290783193078,1.3038043747829968,0.008035315708546204,3.1212737463419473,[0.542 0.458 0.    0.   ],0.17772243604256283,0.0024315598370164494,135721726.19135895,[29.754 29.757  0.     0.   ],67.95634920679122
2,[14725. 14726.     0.     0.],20161.0,403.19999999737746,[169.364 233.836   0.      0.   ],38929.14766574907,11520.0,40116000000.0,77836483.76215476,26168.0,11920.0,1529.0,96.54567646879465,5.041773721542243,63.52184911462725,37.89022439696157,3.2870572807781726,0.7693566787361737,0.007936114280045632,2.046773473538019,[0.42 0.58 0.   0.  ],0.12827181208053692,0.0019402852667802064,99494047.61969475,[36.52  36.523  0.     0.   ],28.57142857161441
3,[1.373e+04 1.374e+04 1.100e+01 0.000e+00],20161.0,403.19999999737746,[204.369 198.515   0.316   0.   ],44303.566662305995,33152.0,54459000000.0,77980140.26631032,12124.0,16480.0,2282.0,109.87442751426599,6.078150885373505,56.7128614652051,52.259799811153194,4.842938825173136,1.2343137741183472,0.007489707851793066,2.9771836714448687,[0.507 0.492 0.001 0.   ],0.13847087378640777,0.0014319054750603264,135066964.2865928,[3.406e+01 3.406e+01 2.728e-02 0.000e+00],82.22222222275703
4,[16184. 16185.     0.     0.],20161.0,403.19999999737746,[120.806 282.394   0.      0.   ],34820.269536491745,21592.0,9325500000.0,25586612.7523401,104477.0,11846.0,8031.0,86.3555119698705,0.9061058479242653,16.92039085362829,13.05719701439947,1.0258908348679492,0.27131590694906005,0.003323247854769109,0.69044194236397,[0.3 0.7 0.  0. ],0.6779503629917272,0.0027437255645638412,23128720.238245673,[40.139 40.141  0.     0.   ],53.55158730193562
5,[15131. 15132.     0.     0.],20161.0,403.19999999737746,[139.165 264.035   0.      0.   ],37216.84434277586,5152.0,40669500000.0,156306415.310738,91139.0,33013.0,24186.0,92.29910307716594,3.890560984078616,63.83016715440702,31.253745553233614,2.755447018686059,0.6684688259510937,0.00486086999652795,2.3630772283120876,[0.345 0.655 0.    0.   ],0.7326204828400933,0.003843332603320375,100866815.47684655,[37.527 37.53   0.     0.   ],12.777777777860889
6,[12670. 12670.    20.     0.],20161.0,403.19999999737746,[196.945 205.655   0.6     0.   ],39036.47100127306,1352.0,59884500000.0,260213435.35997936,41925.0,22917.0,12101.0,96.81184217368147,5.944149595755089,63.94583602003869,39.104907493867344,4.186711344259747,0.8938544715043897,0.005654481424532514,3.2628341848122613,[0.488 0.51  0.001 0.   ],0.5280359558406423,0.004345255205603776,148523065.47715652,[31.424 31.424  0.05   0.   ],3.3531746031964134
7,[6875. 6749.  248.    0.],20161.0,403.19999999737746,[300.523  94.921   7.756   0.   ],41389.64633032262,1840.0,59581500000.0,218714597.0627212,41741.0,16246.0,5787.0,102.64780102752736,9.523257774910288,63.934328654332624,38.03525492631084,3.820143326377403,0.8196022022717128,0.005257675710530232,3.0768811070879423,[0.745 0.235 0.019 0.   ],0.3562107595715869,0.003670847445309722,147771577.38191354,[17.051 16.739  0.615  0.   ],4.563492063521746
8,[14203. 14202.    18.     0.],20161.0,403.19999999737746,[167.904 234.756   0.54    0.   ],37402.36397936287,3112.0,59911500000.0,196610225.44450524,56555.0,23053.0,13166.0,92.75919840127354,4.957531868459589,63.873815782947275,35.52057423816427,2.9161483461112385,0.7235256187689103,0.006348891424036506,3.105451118496106,[0.416 0.582 0.001 0.   ],0.5711187264130482,0.0032816775651503508,148590029.76287124,[35.226 35.223  0.045  0.   ],7.71825396830417
9,[16806. 16807.     0.     0.],20161.0,403.19999999737746,[147.221 255.979   0.      0.   ],38174.04605495556,4168.0,40509000000.0,71134843.32472044,58957.0,25137.0,15194.0,94.67299750745266,4.489539209365197,63.8789742572293,36.80959236066363,3.342566478046054,0.8013491394276078,0.0051584742820296615,2.158623084172412,[0.365 0.635 0.    0.   ],0.604447627004018,0.0017560256566373014,100468750.00065348,[41.682 41.684  0.     0.   ],10.337301587368824
10,[14764. 14765.     0.     0.],20161.0,403.19999999737746,[160.  243.2   0.    0. ],40117.170353907204,21448.0,40119000000.0,163001999.69494882,68995.0,24070.0,15299.0,99.49201516270304,4.581082287585491,62.90342740935469,31.2991105567814,3.300074234879394,0.6775457566588959,0.006348891424036506,2.195327612717623,[0.397 0.603 0.    0.   ],0.63560448691317,0.0040629626784054644,99501488.09588528,[36.617 36.62   0.     0.   ],53.194444444790435
