id,sleep_switches,steps,time,sleep_time,energy_consumption,cell_traffic,cell_dropped_traffic,num_requests,disconnects,avg_pc,avg_tx_power,avg_num_ants,avg_operation_pc,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,ant_switches,avg_ant_switch_fps
10,[5118. 5119.    0.    0.],10081.0,201.60000000059856,[ 59.456 142.144   0.      0.   ],17408.94583100733,20272500000.0,1044652.7921318326,4868.0,6063.0,86.34533196609492,4.2497371292531465,64.0,87.47589815439801,36.290908539392966,2.097088009408775,0.5960718182719968,0.012994742585061007,1.6971530602122806,[0.295 0.705 0.    0.   ],7.0,0.001437962202136401,5.153053605287126e-05,100558035.71398716,[25.387 25.392  0.     0.   ],0.0,0.0
11,[5639. 5825.  274.    0.],10081.0,201.60000000059856,[ 67.542 123.558  10.5     0.   ],17890.369078497253,26592000000.0,2466453.6987956897,5312.0,8472.0,88.7331072239583,4.853089971233233,62.56561849022914,90.550075862299,38.004386592092786,2.40559986445455,0.6686836623350858,0.012597956551929372,2.3882551334193036,[0.335 0.613 0.052 0.   ],160.0,0.030120481927710843,9.275171851668508e-05,131904761.90437028,[27.971 28.894  1.359  0.   ],2856.0,14.166666666624605
12,[6038. 6315.  361.    0.],10081.0,201.60000000059856,[ 73.288 113.967  14.345   0.   ],18293.375212627354,26004000000.0,3790800.430194891,5678.0,10255.0,90.73194729007395,5.309393909334697,61.28717389147902,93.1940921348881,41.10597975906761,2.8197794561553073,0.7611348080547564,0.013689118143041365,2.419303640511854,[0.364 0.565 0.071 0.   ],222.0,0.039098274040154986,0.00014577758922453818,128988095.23771226,[29.95  31.324  1.791  0.   ],4168.0,20.67460317454179
13,[4259. 5163. 1019.    0.],10081.0,201.60000000059856,[52.346 63.357 85.897  0.   ],15160.598644527607,23142000000.0,3970510.2871238026,4782.0,13557.0,75.19392245078393,3.4983037397083034,36.67850411665509,77.35800806316753,32.022674979849334,2.084317168154781,0.5877393115762325,0.01339152861819264,2.155738518004166,[0.26  0.314 0.426 0.   ],392.0,0.08197406942701799,0.00017157161382438002,114791666.66632585,[21.126 25.61   5.055  0.   ],8184.0,40.595238095117566
14,[5400. 5401.    0.    0.],10081.0,201.60000000059856,[ 63.776 137.824   0.      0.   ],17772.530855592795,20160000000.0,1080328.4880766808,4960.0,6443.0,88.14865021123646,4.615415137387344,64.0,89.54211375877591,37.630598583182326,2.3034824441162645,0.6303938101378831,0.011804384485666104,1.7218529907747246,[0.316 0.684 0.    0.   ],11.0,0.002217741935483871,5.358772262285123e-05,99999999.9997031,[26.786 26.791  0.     0.   ],0.0,0.0
15,[5128. 5143.   16.    0.],10081.0,201.60000000059856,[ 59.571 141.107   0.922   0.   ],17403.275079335825,20112000000.0,2277801.896986811,4853.0,6176.0,86.31720602783723,4.295446880269921,64.0,87.64135338222411,36.07505080653813,2.140391853177527,0.5948814601726019,0.010713222894554111,1.6973514532288463,[0.295 0.7   0.005 0.   ],26.0,0.00535751081805069,0.00011325586202201726,99761904.76160857,[25.437 25.511  0.079  0.   ],0.0,0.0
16,[3542. 4038.  817.  255.],10081.0,201.60000000059856,[44.71  44.248 63.457 49.185],13151.501622348904,21042000000.0,2815871.4846669873,4285.0,18187.0,65.22915198069806,2.98065668088474,32.20513837912905,67.2200341318815,28.052050125577765,1.9276546359988096,0.5242535462751711,0.011209205435968653,1.9747048903878583,[0.222 0.219 0.315 0.244],417.0,0.09731621936989499,0.0001338214753667421,104374999.9996901,[17.569 20.03   4.053  1.265],2840.0,14.087301587259761
17,[4039. 4701.  921.   40.],10081.0,201.60000000059856,[50.987 53.559 92.549  4.505],14741.851370054115,22357500000.0,5935553.336545138,4906.0,13797.0,73.11700907674806,3.4002182323181436,35.19135006447773,75.40350643078868,31.42418873880972,2.1411906674381336,0.5910127963495685,0.01269715306021228,2.1349072512647553,[0.253 0.266 0.459 0.022],662.0,0.1349368120668569,0.0002654837677086051,110900297.61871836,[20.035 23.318  4.568  0.198],5632.0,27.93650793642499
18,[3464. 4372.  945.    0.],10081.0,201.60000000059856,[ 43.279  57.467 100.854   0.   ],14160.924093581336,20929500000.0,3407370.1883535255,5028.0,28023.0,70.23571120712684,2.900664616605411,31.993254637436763,72.30804599342716,27.72702310413041,1.9487875090488052,0.5249479218331514,0.0077373276460668584,2.016962602916377,[0.215 0.285 0.5   0.   ],1246.0,0.24781225139220367,0.00016280227374536064,103816964.28540605,[17.183 21.687  4.687  0.   ],3512.0,17.420634920583197
19,[5594. 5595.    0.    0.],10081.0,201.60000000059856,[ 66.171 135.429   0.      0.   ],17978.17700008358,20476500000.0,1792317.0549400782,5225.0,6965.0,89.16861918500365,4.802063287372507,64.0,90.7824684084895,39.41094203409183,2.401238993165252,0.6739410772740799,0.011903580993949014,1.7851403630592204,[0.328 0.672 0.    0.   ],18.0,0.003444976076555024,8.753044001367802e-05,101569940.47588891,[27.748 27.753  0.     0.   ],0.0,0.0
20,[5644. 5644.    0.    0.],10081.0,201.60000000059856,[ 71.315 130.285   0.      0.   ],18456.17716723214,19807500000.0,1883833.3634407816,6127.0,9289.0,91.5394165619917,5.203293324075306,64.0,93.59651761392728,45.87299284444576,3.3067955492795016,0.9157821644678107,0.008729292728895943,1.9245114571967066,[0.354 0.646 0.    0.   ],101.0,0.016484413252815407,9.510707375694972e-05,98251488.09494638,[27.996 27.996  0.     0.   ],0.0,0.0
21,[5654. 5655.    0.    0.],10081.0,201.60000000059856,[ 70.402 131.198   0.      0.   ],18366.77846093481,20341500000.0,2441475.228658298,5900.0,8707.0,91.09601458650663,5.1436167046922945,64.0,93.1356494904602,45.179771484075836,3.1438504904277886,0.8589425652217042,0.009225275270310486,2.0274774327943654,[0.349 0.651 0.    0.   ],6.0,0.001016949152542373,0.00012002434572958228,100900297.61874804,[28.046 28.051  0.     0.   ],0.0,0.0
22,[6240. 6262.   25.    0.],10081.0,201.60000000059856,[ 79.172 121.733   0.695   0.   ],19073.502617108956,25884000000.0,3837326.8404669953,6078.0,10103.0,94.60124301709114,5.769506993354277,63.99960321396687,96.88849078995382,44.909152948236716,3.2980657249647076,0.8861224084912211,0.009225275270310486,2.576232516615415,[0.393 0.604 0.003 0.   ],174.0,0.028627838104639685,0.00014825092105033978,128392857.14247595,[30.952 31.062  0.124  0.   ],8.0,0.039682539682421865
23,[5635. 5636.    0.    0.],10081.0,201.60000000059856,[ 70.414 131.186   0.      0.   ],18367.71677972632,20008500000.0,1549072.452413325,5784.0,8575.0,91.10066848389599,5.135998412856166,64.0,93.0521098507645,43.88414896470407,3.034876154764125,0.8506100585259398,0.011010812419402837,2.006546969546672,[0.349 0.651 0.    0.   ],0.0,0.0,7.74207188151698e-05,99248511.90446724,[27.951 27.956  0.     0.   ],0.0,0.0
24,[5809. 5810.    0.    0.],10081.0,201.60000000059856,[ 74.105 127.495   0.      0.   ],18684.48239086426,19954500000.0,468804.0230831263,6051.0,9350.0,92.67177061234537,5.375974605694232,64.0,94.62839966557915,46.48236033357365,3.3341048939010447,0.927487352445194,0.00892768574546176,1.9484178156928875,[0.368 0.632 0.    0.   ],0.0,0.0,2.349364920610019e-05,98980654.76161088,[28.814 28.819  0.     0.   ],0.0,0.0
