drop_ratio,ue_drop_ratio,delay_ratio,qos_reward,pc_kw,reward,b0_drop_ratio,b0_pc,b0_rwd,b0_qos_rwd,b1_drop_ratio,b1_pc,b1_rwd,b1_qos_rwd,n_drop,ue_no_bs
0.0,0.0,0.0,0.0,2.2567021980441635,-0.22567021980441637,0.0,89.24637968657007,-0.17849275937314013,44.57856665344175,0.0,89.24637968657007,-0.17849275937314013,44.57856665344175,0.0,0
0.0,0.0,0.19333333333333347,0.0040333293000040325,2.3333554034760806,-0.21720222314759194,0.0,114.80067038043131,-0.22960134076086264,57.34293485502544,0.0,89.24637968657007,-0.17849275937314013,44.57856665344175,0.0,0
0.0,0.0,0.1033333333333334,0.004483331091667787,2.3461401343116552,-0.2166806890644944,0.0,117.35609944981749,-0.2175122160996178,58.623671670883844,0.0,89.24637968657007,-0.17849275937314013,44.57856665344175,0.0,0
0.0,0.0,0.12000000000000008,0.004399997800001099,2.3026916714447876,-0.21266917594447438,0.0,89.24637968657007,-0.17849275937314013,44.57856665344175,0.0,89.24637968657007,-0.17849275937314013,44.57856665344175,0.0,0
0.0,0.0,0.07333333333333338,0.004633328700004633,2.277151394511197,-0.2091818246511012,0.0,89.24637968657007,-0.17849275937314013,44.57856665344175,0.0,89.24637968657007,-0.17849275937314013,44.57856665344175,0.0,0
0.0,0.0,0.0,0.0,2.2745868669416547,-0.22745868669416547,0.0,89.24637968657007,-0.17849275937314013,44.57856665344175,0.0,89.24637968657007,-0.17849275937314013,44.57856665344175,0.0,0
0.0,0.0,0.18000000000000013,0.004099995900004099,2.2746039003033927,-0.21106040643032287,0.0,89.24637968657007,-0.17849275937314013,44.57856665344175,0.0,89.24637968657007,-0.17849275937314013,44.57856665344175,0.0,0
0.0,0.0,0.050000000000000024,0.00474999525000475,2.297588476643215,-0.2107588666643025,0.0,89.24637968657007,-0.17849275937314013,44.57856665344175,0.0,89.24637968657007,-0.17849275937314013,44.57856665344175,0.0,0
0.0,0.0,0.10666666666666674,0.004466662200004467,2.3282427243026973,-0.21495762363025187,0.0,89.24637968657007,-0.17849275937314013,44.57856665344175,0.0,89.24637968657007,-0.17849275937314013,44.57856665344175,0.0,0
0.0,0.0,0.11000000000000007,0.004449997775001113,2.2924897215588835,-0.2114489810558839,0.0,89.24637968657007,-0.17849275937314013,44.57856665344175,0.0,89.24637968657007,-0.17849275937314013,44.57856665344175,0.0,0
0.0,0.0,0.12666666666666673,0.004366662300004366,2.2976095101278293,-0.21229430181276546,0.0,89.24637968657007,-0.17849275937314013,44.57856665344175,0.0,89.24637968657007,-0.17849275937314013,44.57856665344175,0.0,0
0.0,0.0,0.0816666666666667,0.004591664370834481,2.3640851651155814,-0.2180418590282202,0.0,117.39303290869464,-0.21551941841737002,58.64263659974298,0.0,89.24637968657007,-0.17849275937314013,44.57856665344175,0.0,0
0.0,0.0,0.09666666666666673,0.004516665537500283,2.4176967674925254,-0.2237030145992514,0.0,89.24637968657007,-0.17849275937314013,44.57856665344175,0.0,89.24637968657007,-0.17849275937314013,44.57856665344175,0.0,0
0.0,0.0,0.0806666666666667,0.004596665747333518,2.5097341587957605,-0.232586752890242,0.0,89.24637968657007,-0.17849275937314013,44.57856665344175,0.0,119.94371012034047,-0.22148743864066253,59.91648320051007,0.0,0
0.0,0.0,0.08333333333333338,0.004583331805556064,2.3180437438233774,-0.2134710471601135,0.0,89.24637968657007,-0.17849275937314013,44.57856665344175,0.0,89.24637968657007,-0.17849275937314013,44.57856665344175,0.0,0
0.0,0.0,0.06666666666666671,0.0046666643333345,2.2950647736412244,-0.21083982003078444,0.0,89.24637968657007,-0.17849275937314013,44.57856665344175,0.0,89.24637968657007,-0.17849275937314013,44.57856665344175,0.0,0
0.0,0.0,0.0,0.0,2.2311594921642675,-0.22311594921642675,0.0,89.24637968657007,-0.17849275937314013,44.57856665344175,0.0,89.24637968657007,-0.17849275937314013,44.57856665344175,0.0,0
0.0,0.0,0.0,0.0,2.2822451566143855,-0.22822451566143856,0.0,89.24637968657007,-0.17849275937314013,44.57856665344175,0.0,89.24637968657007,-0.17849275937314013,44.57856665344175,0.0,0
0.0,0.0,0.09666666666666672,0.004516664408334463,2.399796051877996,-0.22191294755446175,0.0,89.24637968657007,-0.17849275937314013,44.57856665344175,0.0,89.24637968657007,-0.17849275937314013,44.57856665344175,0.0,0
0.0,0.0,0.17333333333333345,0.004133331266667699,2.346153441897227,-0.21808201912305192,0.0,89.24637968657007,-0.17849275937314013,44.57856665344175,0.0,89.24637968657007,-0.17849275937314013,44.57856665344175,0.0,0
0.0,0.0,0.13777777777777786,0.004311109674074552,2.2950463286644758,-0.21226019417014938,0.0,89.24637968657007,-0.17849275937314013,44.57856665344175,0.0,89.24637968657007,-0.17849275937314013,44.57856665344175,0.0,0
0.0,0.0,0.0,0.0,2.2873687093589083,-0.22873687093589085,0.0,89.24637968657007,-0.17849275937314013,44.57856665344175,0.0,89.24637968657007,-0.17849275937314013,44.57856665344175,0.0,0
0.0,0.0,0.14666666666666678,0.0042666645333344,2.364019458355856,-0.219335287702248,0.0,89.24637968657007,-0.17849275937314013,44.57856665344175,0.0,140.33825412477614,-0.2806765082495523,70.09895793532569,0.0,0
0.0,0.0,0.09266666666666672,0.004536665759333515,2.417752314683828,-0.22362856843104875,0.0,89.24637968657007,-0.17849275937314013,44.57856665344175,0.0,104.5739420180319,-0.19088123563604553,52.239250700106936,0.0,0
