id,sleep_switches,steps,time,sleep_time,energy_consumption,num_requests,cell_traffic,cell_dropped_traffic,avg_pc,avg_tx_power,avg_num_ants,avg_operation_pc,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,ant_switches,avg_ant_switch_fps
0,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21558.43113959783,5089.0,15373500000.0,403200.55475262797,106.92605465527804,12.80000000000204,64.0,106.53738865605281,37.1407534792259,2.2994074996991962,0.6395198888999107,0.0,1.3166352544390438,[1. 0. 0. 0.],0.0,0.0,2.6226985055623505e-05,76257440.47596407,[0. 0. 0. 0.],0.0,0.0
1,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],22005.779945312115,5283.0,26482500000.0,422268.1628983638,109.14482663084856,12.80000000000204,64.0,108.65762711879222,38.68634807735728,2.6733531350098105,0.7394107727407995,0.0,2.3731772641603017,[1. 0. 0. 0.],0.0,0.0,1.5945177490734025e-05,131361607.14246713,[0. 0. 0. 0.],0.0,0.0
2,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],22003.431289980683,5601.0,20512500000.0,566157.2876227878,109.1331777104469,12.80000000000204,64.0,108.59297554869246,40.54939789491608,2.778282544063479,0.7781966074794168,0.0,1.9411764705882353,[1. 0. 0. 0.],0.0,0.0,2.7600599030970762e-05,101748511.9044598,[0. 0. 0. 0.],0.0,0.0
3,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],22065.118773515078,5423.0,26805000000.0,637086.9307447275,109.43913685901495,12.80000000000204,64.0,109.01919476118088,39.38677480843919,2.7805746907847615,0.7634163277452634,0.0,2.406408094435076,[1. 0. 0. 0.],0.0,0.0,2.3767466172159205e-05,132961309.52341476,[0. 0. 0. 0.],0.0,0.0
4,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21529.33424641729,5002.0,15306000000.0,331002.6098299322,106.78173914500883,12.80000000000204,64.0,106.34563351201898,36.313490566731524,2.2042073124217345,0.6188870151770658,0.0,1.3099890883840888,[1. 0. 0. 0.],0.0,0.0,2.162567684763702e-05,75922619.04739363,[0. 0. 0. 0.],0.0,0.0
5,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21434.56085014214,4685.0,20652000000.0,0.0,106.31167964557781,12.80000000000204,64.0,105.71001365046637,33.58234008583929,2.004312004433456,0.5640313460966174,0.0,1.667493304235691,[1. 0. 0. 0.],0.0,0.0,0.0,102440476.19017205,[0. 0. 0. 0.],0.0,0.0
6,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21591.83029029714,4697.0,26886000000.0,256706.09372050213,107.09170861172682,12.80000000000204,64.0,106.65168543076486,34.07279020899128,2.243101781088156,0.6136296002380717,0.0,2.2641603015573852,[1. 0. 0. 0.],0.0,0.0,9.547946653295475e-06,133363095.23769929,[0. 0. 0. 0.],0.0,0.0
7,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21571.262328726258,4658.0,26965500000.0,33262.971256284145,106.98969511321152,12.80000000000204,64.0,106.5536145821453,34.05146914585528,2.247361884377368,0.6247396091657573,0.0,2.308401944251562,[1. 0. 0. 0.],0.0,0.0,1.2335380859351448e-06,133757440.47579335,[0. 0. 0. 0.],0.0,0.0
8,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21544.035636819463,4594.0,26811000000.0,306084.3209147953,106.85465547474918,12.80000000000204,64.0,106.28375891901332,33.1900865863513,2.169055907495178,0.6016268227358397,0.0,2.2725920047614325,[1. 0. 0. 0.],0.0,0.0,1.1416370926664252e-05,132991071.42817658,[0. 0. 0. 0.],0.0,0.0
9,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21424.993774120438,4694.0,20353500000.0,272821.3496585111,106.26422861878657,12.80000000000204,64.0,105.84338373847349,34.48303595023668,2.016533334023409,0.5765301061402639,0.0,1.6458684654300169,[1. 0. 0. 0.],0.0,0.0,1.3404149146756632e-05,100959821.42827168,[0. 0. 0. 0.],0.0,0.0
