drop_ratio,ue_drop_ratio,delay_ratio,qos_reward,pc_kw,reward,n_drop,bs_n_drop,ue_no_bs
0.0,0.0,0.0,0.0,4.373072604641975,-0.43730726046419754,0.0,0.0,0
0.0,0.0,0.0,0.0,4.47271795304704,-0.447271795304704,0.0,0.0,0
0.0,0.0,0.12777777777777785,0.0043611096574078904,4.4497231729496045,-0.4275278786653289,0.0,0.0,0
0.0,0.0,0.0,0.0,4.419062395012884,-0.44190623950128843,0.0,0.0,0
0.0,0.0,0.15333333333333343,0.004233329100004233,4.385847546411672,-0.4216514382411503,0.0,0.0,0
0.0,0.0,0.0,0.0,4.373072604641975,-0.43730726046419754,0.0,0.0,0
0.0,0.0,0.0,0.0,4.406282929511034,-0.44062829295110345,0.0,0.0,0
0.0,0.0,0.17333333333333345,0.004133329200004133,4.406282929511035,-0.42409497615108704,0.0,0.0,0
0.0,0.0,0.0,0.0,4.419053733218261,-0.4419053733218261,0.0,0.0,0
0.0,0.0,0.09000000000000007,0.0045499954500045495,4.3960631689301195,-0.4214063350929938,0.0,0.0,0
0.0,0.0,0.0,0.0,4.373072604641975,-0.43730726046419754,0.0,0.0,0
0.0,0.0,0.0,0.0,4.373072604641975,-0.43730726046419754,0.0,0.0,0
0.0,0.0,0.0,0.0,4.373072604641975,-0.43730726046419754,0.0,0.0,0
0.0,0.0,0.0,0.0,4.383293810494703,-0.4383293810494703,0.0,0.0,0
0.0,0.0,0.1400000000000001,0.004299995700004299,4.416512729516067,-0.4244512901515895,0.0,0.0,0
0.0,0.0,0.0,0.0,4.373072604641975,-0.43730726046419754,0.0,0.0,0
0.0,0.0,0.0,0.0,4.373072604641975,-0.43730726046419754,0.0,0.0,0
0.0,0.0,0.0,0.0,4.373072604641975,-0.43730726046419754,0.0,0.0,0
0.0,0.0,0.10666666666666672,0.004466662200004467,4.413975084658722,-0.4235308596658543,0.0,0.0,0
0.0,0.0,0.0,0.0,4.385848185359403,-0.4385848185359403,0.0,0.0,0
0.0,0.0,0.07333333333333338,0.004633328700004633,4.42162184438401,-0.4236288696383825,0.0,0.0,0
0.0,0.0,0.1133333333333334,0.004433328900004434,4.4114145944128555,-0.42340814384126785,0.0,0.0,0
0.0,0.0,0.0,0.0,4.373072604641975,-0.43730726046419754,0.0,0.0,0
0.0,0.0,0.0,0.0,4.378185405195156,-0.43781854051951563,0.0,0.0,0
0.0,0.0,0.1133333333333334,0.004433328900004434,4.424253975074552,-0.4246920819074375,0.0,0.0,0
0.0,0.0,0.07333333333333338,0.004633328700004633,4.429281496491235,-0.424394834849105,0.0,0.0,0
0.0,0.0,0.08666666666666673,0.004566662100004567,4.452300831342982,-0.42696343473427995,0.0,0.0,0
0.0,0.0,0.04333333333333335,0.004783328550004784,4.375630174093853,-0.41842970320936623,0.0,0.0,0
0.0,0.0,0.0,0.0,4.383295452679305,-0.43832954526793055,0.0,0.0,0
0.0,0.0,0.12666666666666673,0.004366662300004366,4.454848096806583,-0.4280181604806409,0.0,0.0,0
0.0,0.0,0.07000000000000005,0.00464999535000465,4.408871352678689,-0.4222871538678503,0.0,0.0,0
0.0,0.0,0.04333333333333335,0.004783328550004784,4.393543873701697,-0.4202210731701506,0.0,0.0,0
0.0,0.0,0.03333333333333334,0.004833328500004834,4.385870588963008,-0.4192537448962814,0.0,0.0,0
0.0,0.0,0.0,0.0,4.373072604641975,-0.43730726046419754,0.0,0.0,0
0.0,0.0,0.0,0.0,4.373072604641975,-0.43730726046419754,0.0,0.0,0
0.0,0.0,0.0,0.0,4.390963539647722,-0.43909635396477226,0.0,0.0,0
0.0,0.0,0.06000000000000003,0.004699995300004701,4.401186931079577,-0.4213187119079389,0.0,0.0,0
0.0,0.0,0.0,0.0,4.373072604641975,-0.43730726046419754,0.0,0.0,0
0.0,0.0,0.0,0.0,4.373072604641975,-0.43730726046419754,0.0,0.0,0
0.0,0.0,0.0,0.0,4.403751203700102,-0.4403751203700102,0.0,0.0,0
0.0,0.0,0.10666666666666672,0.004466662200004467,4.383298804328017,-0.4204632316327839,0.0,0.0,0
0.0,0.0,0.0,0.0,4.373072604641975,-0.43730726046419754,0.0,0.0,0
0.0,0.0,0.050000000000000024,0.00474999525000475,4.411422963519527,-0.42214231535193375,0.0,0.0,0
0.0,0.0,0.0,0.0,4.373072604641975,-0.43730726046419754,0.0,0.0,0
0.0,0.0,0.0,0.0,4.373072604641975,-0.43730726046419754,0.0,0.0,0
0.0,0.0,0.0,0.0,4.373072604641975,-0.43730726046419754,0.0,0.0,0
0.0,0.0,0.0,0.0,4.373072604641975,-0.43730726046419754,0.0,0.0,0
0.0,0.0,0.0,0.0,4.373072604641975,-0.43730726046419754,0.0,0.0,0
0.0,0.0,0.0,0.0,4.373072604641975,-0.43730726046419754,0.0,0.0,0
0.0,0.0,0.0,0.0,4.4497204894709155,-0.4449720489470916,0.0,0.0,0
0.0,0.0,0.11500000000000007,0.004424997787501105,4.416505011268173,-0.4239505099768129,0.0,0.0,0
0.0,0.0,0.0,0.0,4.413945142176068,-0.44139451421760684,0.0,0.0,0
0.0,0.0,0.09000000000000007,0.0045499954500045495,4.403729635135038,-0.42217298171348566,0.0,0.0,0
0.0,0.0,0.10333333333333339,0.004483331091667787,4.4497693565118075,-0.4270436112845096,0.0,0.0,0
0.0,0.0,0.0,0.0,4.373072604641975,-0.43730726046419754,0.0,0.0,0
