id,sleep_switches,steps,time,sleep_time,energy_consumption,num_requests,cell_traffic,cell_dropped_traffic,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,ant_switches,avg_ant_switch_fps
0,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21877.013085199353,5171.0,17547000000.0,0.0,108.50616548556252,12.80000000000204,64.0,37.12714963427899,1.9551790737992425,0.5751413550243032,0.0,1.3731772641603015,[1. 0. 0. 0.],0.0,0.0,0.0,87038690.47593206,[0. 0. 0. 0.],0.0,0.0
1,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],23422.416122188228,7215.0,36145500000.0,0.0,116.1710947435203,12.80000000000204,64.0,52.76898283916929,3.2384577589460637,0.9507985318916774,0.0,3.0188473365737525,[1. 0. 0. 0.],0.0,0.0,0.0,179293154.76137245,[0. 0. 0. 0.],0.0,0.0
2,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],22882.50506873451,6456.0,26239500000.0,43882.03981371582,113.49323017922309,12.80000000000204,64.0,46.9852071399538,2.768039171125383,0.8096419006050987,0.0,2.266243428231326,[1. 0. 0. 0.],0.0,0.0,1.672365701088657e-06,130156249.99961357,[0. 0. 0. 0.],0.0,0.0
3,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],23609.506789559746,7479.0,36526500000.0,43882.03981371582,117.09903179029843,12.80000000000204,64.0,54.422655099106485,3.316904771071999,0.9784743577026088,0.0,3.0549548655887313,[1. 0. 0. 0.],0.0,0.0,1.2013754346492498e-06,181183035.71374777,[0. 0. 0. 0.],0.0,0.0
4,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],21823.882079440977,5060.0,17652000000.0,0.0,108.24264497292329,12.80000000000204,64.0,36.641410083920164,1.882327848019727,0.5661144727705585,0.0,1.3778395000495982,[1. 0. 0. 0.],0.0,0.0,0.0,87559523.80926384,[0. 0. 0. 0.],0.0,0.0
5,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],22286.213804886855,5669.0,26401500000.0,0.0,110.53572961455687,12.80000000000204,64.0,40.9726281001585,2.2069298810062583,0.6583672254736633,0.0,2.033627616307906,[1. 0. 0. 0.],0.0,0.0,0.0,130959821.4281826,[0. 0. 0. 0.],0.0,0.0
6,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],23046.792533162425,6550.0,38388000000.0,0.0,114.30806732051741,12.80000000000204,64.0,47.67950031728651,2.8253411370246417,0.8344410276758258,0.0,3.1686340640809445,[1. 0. 0. 0.],0.0,0.0,0.0,190416666.6661013,[0. 0. 0. 0.],0.0,0.0
7,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],23179.68270092052,6656.0,38731500000.0,43882.03981371582,114.96717935185374,12.80000000000204,64.0,48.73585046725623,2.932231014705725,0.868961412558278,0.0,3.234798135105644,[1. 0. 0. 0.],0.0,0.0,1.1329806440162612e-06,192120535.7137153,[0. 0. 0. 0.],0.0,0.0
8,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],23092.11636809226,6558.0,38626500000.0,0.0,114.53286562886882,12.80000000000204,64.0,47.72151958987634,2.8765410923063497,0.8489237178851304,0.0,3.201765697847436,[1. 0. 0. 0.],0.0,0.0,0.0,191599702.38038352,[0. 0. 0. 0.],0.0,0.0
9,[0. 0. 0. 0.],10081.0,201.60000000059856,[201.6   0.    0.    0. ],22274.9175247858,5666.0,26269500000.0,0.0,110.47970203742587,12.80000000000204,64.0,41.10016978392924,2.197192844369606,0.6485467711536554,0.0,2.021724035313957,[1. 0. 0. 0.],0.0,0.0,0.0,130305059.52342264,[0. 0. 0. 0.],0.0,0.0
