id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,num_requests,num_rejects,cell_traffic,cell_dropped_traffic,disconnects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[630. 927. 391. 761.],10081.0,201.60000000059856,[ 19.657   9.795  16.816 155.332],6927.113729752101,16744.0,39111.0,36690.0,2781000000.0,9571064.701922076,29853.0,34.357274723505135,0.36083721852990513,17.620870945342723,6.123931078226785,0.5364225970519787,0.11923420295605594,0.1446285090764805,0.6334689018946533,[0.098 0.049 0.083 0.77 ],0.9380992559637954,0.0034415910470773376,13794642.8571019,[3.125 4.598 1.939 3.775],83.05555555530896
1,[ 941. 1686.  719.  549.],10081.0,201.60000000059856,[31.023 51.959 53.68  64.938],7850.878333940463,8016.0,75738.0,73470.0,5616000000.0,2661306.946118396,12786.0,38.93898588404884,0.5149489137982248,16.70667592500744,10.344096254870927,1.069927727428306,0.26832655490526736,0.06616407102469993,1.2515623450054558,[0.154 0.258 0.266 0.322],0.970054662124693,0.0004738794419726488,27857142.85706015,[4.668 8.363 3.566 2.723],39.76190476178671
2,[ 866. 1426.  660.  702.],10081.0,201.60000000059856,[27.957 35.914 54.469 83.26 ],7660.666327543345,9052.0,64454.0,62229.0,4086000000.0,5084721.679283386,19419.0,37.99556754064417,0.4803491717091485,17.22884634460867,8.544917697670721,0.7494936681611762,0.1877789901795457,0.08084515425057039,0.917666898125186,[0.139 0.178 0.27  0.413],0.9654792565240327,0.0012444252763787044,20267857.142796967,[4.296 7.073 3.274 3.482],44.90079365066034
3,[ 933. 1688.  707.  501.],10081.0,201.60000000059856,[31.176 58.13  52.889 59.405],7897.110356583799,7080.0,80869.0,78686.0,5518500000.0,4201938.9100572,11726.0,39.16828864490307,0.5212974903283311,16.599146910028768,10.591600151192992,1.1244090940441,0.2835036206725523,0.06259299672651522,1.2700128955460768,[0.155 0.288 0.262 0.295],0.9730057253088328,0.0007614277267477032,27373511.904680632,[4.628 8.373 3.507 2.485],35.11904761894335
4,[ 878. 1379.  635.  712.],10081.0,201.60000000059856,[29.578 33.138 54.396 84.488],7783.370030616801,9496.0,62490.0,60304.0,4099500000.0,3418504.302736139,19142.0,38.604156485558065,0.5147108421783476,17.246701716099594,8.745659281183524,0.8374158021758649,0.20474159309592302,0.07568693581985914,0.9188572562245809,[0.147 0.164 0.27  0.419],0.9650184029444712,0.0008338832303295862,20334821.428511053,[4.355 6.84  3.15  3.532],47.10317460303475
5,[ 887. 1686.  700.  513.],10081.0,201.60000000059856,[28.366 58.911 53.981 60.342],7648.398168462411,7040.0,76345.0,74148.0,5536500000.0,6975062.684992697,12172.0,37.93471961345071,0.45400257910920805,16.60430512845948,9.641928098060083,0.9780083315974492,0.24858644975696856,0.06864398373177265,1.2627715504414245,[0.141 0.292 0.268 0.299],0.9712227388827035,0.0012598325088038827,27462797.61896608,[4.4   8.363 3.472 2.545],34.92063492053124
6,[668. 953. 355. 786.],10081.0,201.60000000059856,[ 20.386   9.426  15.156 156.632],7002.672630988561,16944.0,43021.0,40429.0,2811000000.0,8151738.093124479,33284.0,34.73203368212318,0.38789802598948114,17.637139172701122,6.497522724429122,0.6303364219277655,0.12964983632576133,0.15841682372780477,0.6703700029758952,[0.101 0.047 0.075 0.777],0.9397503544780456,0.0028999424023922016,13943452.380910983,[3.313 4.727 1.761 3.899],84.04761904736951
7,[ 676. 1454.  764.  514.],10081.0,201.60000000059856,[20.871 52.269 68.159 60.301],7021.505383222697,5672.0,58963.0,57397.0,3928500000.0,4347767.584954764,21162.0,34.82544084527221,0.32401547465528857,16.493998611248884,6.411603930497896,0.5605147831493662,0.14304136494395397,0.04503521476044043,0.8608272988790795,[0.104 0.259 0.338 0.299],0.9734409714566762,0.0011067245984357297,19486607.142799288,[3.353 7.212 3.79  2.55 ],28.1349206348371
8,[ 815. 1666.  754.  490.],10081.0,201.60000000059856,[25.541 67.754 49.834 58.471],7499.095337994904,5856.0,90029.0,88058.0,5689500000.0,2924910.507313979,19849.0,37.19420364049399,0.4023410375954699,16.474952881658567,8.560729134804795,0.9131994237593656,0.22745759349270905,0.062097014185100684,1.320702311278643,[0.127 0.336 0.247 0.29 ],0.9781070543935843,0.0005140892006879302,28221726.1903924,[4.043 8.264 3.74  2.431],29.047619047532805
9,[ 784. 1665.  821.  463.],10081.0,201.60000000059856,[23.424 70.298 52.439 55.439],7305.111984024891,5120.0,86337.0,84619.0,5568000000.0,5573680.8031489765,18074.0,36.23208007155145,0.3651225076877242,16.404721753794266,7.393082974359824,0.7883933458212381,0.2010713222894554,0.054558079555599645,1.3161392718976292,[0.116 0.349 0.26  0.275],0.98010123122184,0.0010010202591862387,27619047.61896562,[3.889 8.259 4.072 2.297],25.396825396749993
