id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,num_requests,num_rejects,cell_traffic,cell_dropped_traffic,disconnects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[1085.  919.  824.    0.],10081.0,201.60000000059856,[ 27.936   7.179 166.485   0.   ],10877.176858838438,36988.0,6117.0,4821.0,2733000000.0,0.0,1947.0,53.948898218619604,0.8318222398571623,26.98462454121615,8.493373224601044,0.5823764011256153,0.16694772344013492,0.030750917567701617,0.35214760440432497,[0.139 0.036 0.826 0.   ],0.7881314369789112,0.0,13556547.61900737,[5.382 4.559 4.087 0.   ],183.4722222216775
1,[ 938. 1654. 1233.    0.],10081.0,201.60000000059856,[ 21.779  33.643 146.178   0.   ],10384.388256563743,6704.0,12880.0,11744.0,4150500000.0,1714907.4705047393,1993.0,51.504752785255484,0.4371788513044284,16.60271798432695,7.215036207532595,0.6441969473437055,0.1631782561253844,0.023707965479615116,0.606685844658268,[0.108 0.167 0.725 0.   ],0.9118012422360249,0.0004131809349487385,20587797.618986495,[4.653 8.204 6.116 0.   ],33.25396825386952
2,[850. 830. 923.   0.],10081.0,201.60000000059856,[ 29.096  10.586 161.918   0.   ],10743.593585491217,10076.0,11455.0,10213.0,3145500000.0,117170.10560935207,1297.0,53.28634850456648,0.6298581489931493,18.58585457791886,8.074665289553911,0.615640302587386,0.1667493304235691,0.02023608768971332,0.4532288463446087,[0.144 0.053 0.803 0.   ],0.8915757311217809,3.725007331405248e-05,15602678.571382247,[4.216 4.117 4.578 0.   ],49.98015873001034
3,[1191. 1787. 1283.    0.],10081.0,201.60000000059856,[ 31.26   31.511 138.829   0.   ],10975.498985277187,9352.0,16162.0,14678.0,4131000000.0,1220267.6353745088,1605.0,54.43655880010427,0.6195417121317217,16.800317428826506,9.97131919905427,0.8699796614787106,0.24055153258605297,0.024402341037595476,0.627318718381113,[0.155 0.156 0.689 0.   ],0.9081796807325826,0.00029539279481348554,20491071.42851059,[5.908 8.864 6.364 0.   ],46.38888888875116
4,[837. 914. 910.   0.],10081.0,201.60000000059856,[ 26.208  12.395 162.997   0.   ],10610.315613389874,9640.0,12481.0,11325.0,3040500000.0,755515.656172413,1183.0,52.62531303139269,0.55335780180537,18.43864695962702,7.271120488841095,0.5384300439873402,0.14621565320900703,0.022517607380220215,0.4408292828092451,[0.13  0.061 0.809 0.   ],0.9073792164089416,0.0002484840178169423,15081845.238050459,[4.152 4.534 4.514 0.   ],47.81746031731834
5,[ 930. 1464. 1203.    0.],10081.0,201.60000000059856,[ 25.594  31.613 144.393   0.   ],10526.220342853416,6400.0,14587.0,13449.0,4198500000.0,1715605.082689162,1039.0,52.20821517137644,0.5056641206229444,16.577323678206525,7.643067159125576,0.61309484856303,0.17309790695367522,0.019343319115167148,0.6195813907350461,[0.127 0.157 0.716 0.   ],0.921985329402893,0.00040862333754654334,20825892.857081026,[4.613 7.262 5.967 0.   ],31.74603174593749
6,[1097.  911.  853.    0.],10081.0,201.60000000059856,[ 29.206   7.825 164.569   0.   ],10954.548051554126,36452.0,6410.0,5087.0,2863500000.0,1351521.2120478821,2147.0,54.33264582657437,0.8725324868564679,26.79535760341236,8.985305394716413,0.6627251342307885,0.1773633568098403,0.030254935026287073,0.3690110108124194,[0.145 0.039 0.816 0.   ],0.793603744149766,0.0004719822636800706,14203869.047576876,[5.441 4.519 4.231 0.   ],180.81349206295522
7,[ 693. 1163.  982.    0.],10081.0,201.60000000059856,[ 15.639  22.46  163.501   0.   ],10016.819644332387,5808.0,8801.0,7959.0,2875500000.0,1443310.0665145004,2772.0,49.68167664086748,0.3319511953179225,17.222894554111694,4.905539923093901,0.35734680516934486,0.09671659557583573,0.023311179446483483,0.40611050491022715,[0.078 0.111 0.811 0.   ],0.9043290535166458,0.0005019335999007131,14263392.85710051,[3.437 5.769 4.871 0.   ],28.809523809438275
8,[ 793. 1618. 1217.    0.],10081.0,201.60000000059856,[ 18.112  42.49  140.998   0.   ],10213.809743284815,5616.0,26661.0,25640.0,4188000000.0,1962498.8108200096,1726.0,50.65871313998665,0.33560162682273226,16.404324967761134,6.03709293011496,0.4775785504967966,0.13500644777303838,0.01785537149092352,0.6893165360579308,[0.09  0.211 0.699 0.   ],0.9617043621769626,0.0004686004801384932,20773809.523747846,[3.934 8.026 6.037 0.   ],27.857142857060147
9,[ 763. 1562. 1157.    0.],10081.0,201.60000000059856,[ 17.253  43.028 141.319   0.   ],10143.78002058955,4808.0,26566.0,25676.0,4189500000.0,941257.4898651649,1259.0,50.31137794161745,0.316476540025788,16.374962801309394,5.253477094157748,0.46477596685476513,0.1266739410772741,0.01398670766789009,0.6961610951294515,[0.086 0.213 0.701 0.   ],0.966498531958142,0.00022467060266503517,20781249.9999383,[3.785 7.748 5.739 0.   ],23.84920634913554
10,[ 961. 1730. 1200.    0.],10081.0,201.60000000059856,[ 22.066  42.829 136.705   0.   ],10466.965896429578,6448.0,30572.0,29454.0,4078500000.0,1427785.65350231,1387.0,51.91432346210181,0.41392718976291415,16.501537545878385,6.7509563479216075,0.6615803751734546,0.1727011209205436,0.014482690209304632,0.7231425453824025,[0.109 0.212 0.678 0.   ],0.9634305900824284,0.0003500761685674414,20230654.7618447,[4.767 8.581 5.952 0.   ],31.984126984032024
11,[ 726. 1587. 1208.    0.],10081.0,201.60000000059856,[ 16.005  44.006 141.589   0.   ],10078.30077475259,4296.0,25456.0,24633.0,4093500000.0,456869.1194918391,1165.0,49.986612314015936,0.3021128856264235,16.345600634857654,4.990235605413496,0.4478280426051328,0.12121813312171412,0.014085904176172998,0.6832655490526733,[0.079 0.218 0.702 0.   ],0.9676697045883093,0.00011160843275725884,20305059.523749236,[3.601 7.872 5.992 0.   ],21.30952380946054
12,[ 914. 1634. 1165.    0.],10081.0,201.60000000059856,[ 21.082  36.704 143.814   0.   ],10385.104502534743,6376.0,23199.0,22089.0,4143000000.0,2768916.035306488,1826.0,51.50830524022539,0.39511953179247583,16.472572165459777,6.734293959841718,0.6175805346462107,0.1620870945342724,0.017656978474357703,0.6784049201468109,[0.105 0.182 0.713 0.   ],0.9521531100478469,0.0006683359969361546,20550595.238034222,[4.534 8.105 5.779 0.   ],31.626984126890225
13,[ 714. 1118. 1060.    0.],10081.0,201.60000000059856,[ 17.567  21.698 162.335   0.   ],10095.13239221679,5120.0,10214.0,9308.0,2988000000.0,1971778.2598447679,2371.0,50.07009419807566,0.369804582878677,17.073703005654203,5.445374613098932,0.42618150687643497,0.10683463942069239,0.020732070231127865,0.4217835532189267,[0.087 0.108 0.805 0.   ],0.9112982181319758,0.0006598990160123051,14821428.571384566,[3.542 5.546 5.258 0.   ],25.396825396749993
14,[1017. 1368. 1047.    0.],10081.0,201.60000000059856,[ 25.665  20.207 155.728   0.   ],10654.63011200038,9704.0,13821.0,12466.0,3030000000.0,1360924.360452436,3193.0,52.8451052078165,0.5073306219620995,17.727606388255133,7.729635668212027,0.5855316367274128,0.16585656184902292,0.029064576926892172,0.44479714314056146,[0.127 0.1   0.772 0.   ],0.9019607843137255,0.00044914995394469833,15029761.904717281,[5.045 6.786 5.193 0.   ],48.13492063477772
15,[ 732. 1577. 1173.    0.],10081.0,201.60000000059856,[ 15.776  48.487 137.337   0.   ],10066.476631432572,4696.0,30706.0,29841.0,4104000000.0,767069.5148202146,1476.0,49.92796662747681,0.2852098006150165,16.38091459180637,4.794057437758088,0.4151566306207422,0.11318321595079853,0.015573851800416625,0.7111397678801706,[0.078 0.241 0.681 0.   ],0.9718296098482381,0.00018690777651564683,20357142.857082415,[3.631 7.822 5.818 0.   ],23.293650793581634
16,[1110. 1756. 1194.    0.],10081.0,201.60000000059856,[ 28.051  40.045 133.504   0.   ],10782.73990253398,7488.0,32674.0,31294.0,4240500000.0,1209072.3762688125,1598.0,53.48050740270632,0.5279634956849412,16.605892272592005,8.803230234945747,0.8411482838756141,0.23003670270806467,0.015077869259002083,0.7498264061105049,[0.139 0.199 0.662 0.   ],0.9577645834608557,0.00028512495608272904,21034226.19041374,[5.506 8.71  5.923 0.   ],37.14285714274686
17,[1014. 1754. 1227.    0.],10081.0,201.60000000059856,[ 24.511  43.544 133.545   0.   ],10603.783085360057,6620.0,31029.0,29820.0,4134000000.0,1085771.7039682376,1425.0,52.592912832852065,0.4666203749627936,16.549548655887314,7.507416385132247,0.7192837384184381,0.1951195317924809,0.01339152861819264,0.7330621962106934,[0.122 0.216 0.662 0.   ],0.9610364497727932,0.0002626443405825442,20505952.3808915,[5.03  8.7   6.086 0.   ],32.837301587204095
18,[1006. 1673. 1175.    0.],10081.0,201.60000000059856,[ 24.352  42.608 134.64    0.   ],10568.445330888593,6752.0,32433.0,31168.0,4176000000.0,1721278.0354803202,1508.0,52.417643740145635,0.4582878682670297,16.522963991667492,7.8111299909432415,0.7821518718055224,0.20722150580299573,0.017557781966074795,0.7446681876797937,[0.121 0.211 0.668 0.   ],0.9609965158943052,0.0004121834376150192,20714285.714224212,[4.99  8.299 5.828 0.   ],33.49206349196405
19,[ 830. 1619. 1244.    0.],10081.0,201.60000000059856,[ 19.17   42.251 140.179   0.   ],10246.859810509435,5920.0,27578.0,26562.0,4074000000.0,841804.455044569,1636.0,50.82263570334649,0.36163079059616665,16.443209999008033,5.918712259052259,0.5018104484271575,0.13788314651324274,0.018152961015772243,0.684654300168634,[0.095 0.21  0.695 0.   ],0.9631590398143448,0.0002066284867561534,20208333.333273333,[4.117 8.031 6.171 0.   ],29.36507936499218
20,[ 917. 1294. 1026.    0.],10081.0,201.60000000059856,[ 22.778  22.171 156.651   0.   ],10460.243353201211,8488.0,13579.0,12430.0,2904000000.0,452035.3092075959,2457.0,51.880980821350654,0.46019244122606295,17.485566908044838,6.898523774329401,0.5179887462826308,0.14393413351850015,0.022418410871937307,0.4231723043348874,[0.113 0.11  0.777 0.   ],0.9153840488990352,0.00015565954173815284,14404761.904719137,[4.549 6.419 5.089 0.   ],42.103174603049595
