id,sleep_switches,steps,time,sleep_time,energy_consumption,disconnects,num_requests,num_rejects,cell_traffic,cell_dropped_traffic,ant_switches,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[1079. 1080.    0.    0.],10081.0,201.60000000059856,[ 17.44 184.16   0.     0.  ],13389.174693410116,98769.0,13552.0,12618.0,2647500000.0,264214.83158342435,56.0,66.40796891878948,0.17744271401646827,17.647058823529413,3.521873286254448,0.17464591827549664,0.0645769268921734,0.0004959825414145422,0.29322487848427736,[0.087 0.913 0.    0.   ],0.9310802833530106,9.979785895502337e-05,13132440.476151485,[5.352 5.357 0.    0.   ],0.27777777777695306
1,[1725. 1726.    0.    0.],10081.0,201.60000000059856,[ 38.656 162.944   0.      0.   ],14123.227975169262,78377.0,21556.0,19766.0,5433000000.0,579699.2678428537,88.0,70.04874504099635,0.5050292629699283,16.98601329233211,10.22772634412763,0.7685457058596883,0.23707965479615117,0.0020831266739410772,0.682571173494693,[0.192 0.808 0.    0.   ],0.9169604750417517,0.00010669966277247445,26949404.76182475,[8.557 8.562 0.    0.   ],0.4365079365066405
2,[1265. 1266.    0.    0.],10081.0,201.60000000059856,[ 24.424 177.176   0.      0.   ],13567.501718582687,91655.0,15816.0,14665.0,3886500000.0,55279.25105026982,48.0,67.29243983026953,0.290685447872232,17.04196012300367,5.460268833395915,0.3473042632996531,0.11467116357504216,0.0012895546076778098,0.47634163277452635,[0.121 0.879 0.    0.   ],0.9272255943348507,1.4223401788310773e-05,19278273.80946657,[6.275 6.28  0.    0.   ],0.23809523809453118
3,[1714. 1715.    0.    0.],10081.0,201.60000000059856,[ 40.297 161.303   0.      0.   ],14227.918744684872,76588.0,21084.0,19247.0,5455500000.0,423807.33713545953,80.0,70.56799298026591,0.5311377839499885,16.59994048209503,10.32347181173429,0.8320034701611543,0.24620573355817876,0.002182323182223986,0.6958635056046028,[0.2 0.8 0.  0. ],0.9128723202428382,7.768441703518642e-05,27061011.90468156,[8.502 8.507 0.    0.   ],0.39682539682421863
4,[1334. 1335.    0.    0.],10081.0,201.60000000059856,[ 24.511 177.089   0.      0.   ],13755.284491568636,91866.0,16752.0,15526.0,3955500000.0,104563.09564685386,72.0,68.2238096000641,0.28116258307707326,17.01537545878385,5.4861144980502345,0.32621135182940014,0.10971133816089673,0.0020831266739410772,0.4792183315147307,[0.122 0.878 0.    0.   ],0.9268147086914995,2.643486174866739e-05,19620535.71422746,[6.617 6.622 0.    0.   ],0.3571428571417968
5,[1757. 1758.    0.    0.],10081.0,201.60000000059856,[ 39.475 162.125   0.      0.   ],14213.121128244275,76763.0,21853.0,20020.0,5499000000.0,165333.50577875788,56.0,70.49459938617514,0.5144727705584607,16.60430512845948,10.114957703106876,0.7861879997936078,0.23916278147009226,0.0016863406408094434,0.6840591211189366,[0.196 0.804 0.    0.   ],0.9161213563355146,3.0066103978679375e-05,27276785.71420473,[8.715 8.72  0.    0.   ],0.27777777777695306
6,[1037. 1038.    0.    0.],10081.0,201.60000000059856,[ 18.361 183.239   0.      0.   ],13436.547541962476,98445.0,13496.0,12593.0,2677500000.0,116333.22394278279,48.0,66.64292997698024,0.19625037198690798,17.362166451740897,3.616971925367139,0.19693268862152655,0.07082630691399663,0.0007935720662632675,0.3065172105941871,[0.091 0.909 0.    0.   ],0.933091286307054,4.3448449651832974e-05,13281249.999960568,[5.144 5.149 0.    0.   ],0.23809523809453118
7,[1338. 1339.    0.    0.],10081.0,201.60000000059856,[ 24.098 177.502   0.      0.   ],13545.60588779092,90923.0,17205.0,16042.0,3771000000.0,183857.27118053613,56.0,67.18384033224486,0.281083225870447,16.60232119829382,5.502205274734532,0.35555652173956115,0.11179446483483782,0.0013887511159607182,0.43844856661045534,[0.12 0.88 0.   0.  ],0.9324033711130485,4.8755574431327534e-05,18705357.142801605,[6.637 6.642 0.    0.   ],0.27777777777695306
8,[1626. 1627.    0.    0.],10081.0,201.60000000059856,[ 31.487 170.113   0.      0.   ],13950.409824866712,83591.0,20149.0,18715.0,5439000000.0,190373.04724082496,64.0,69.1915971870996,0.4008332506695672,16.517408987203652,7.574198037075472,0.5359735879190013,0.16942763614720763,0.002182323182223986,0.680289653804186,[0.156 0.844 0.    0.   ],0.9288302148990024,3.500147954418551e-05,26979166.666586563,[8.065 8.07  0.    0.   ],0.3174603174593749
9,[1579. 1580.    0.    0.],10081.0,201.60000000059856,[ 35.827 165.773   0.      0.   ],14043.88583105014,81397.0,19435.0,17864.0,5403000000.0,0.0,48.0,69.65522185818175,0.47090566412060975,16.561452236881262,8.745802751122584,0.7190682737769967,0.2126773137585557,0.0014879476242436267,0.6906060906656085,[0.178 0.822 0.    0.   ],0.9191664522768201,0.0,26800595.238015667,[7.832 7.837 0.    0.   ],0.23809523809453118
10,[1548. 1549.    0.    0.],10081.0,201.60000000059856,[ 29.441 172.159   0.      0.   ],13801.153823104813,85256.0,20094.0,18807.0,5286000000.0,418814.96825933544,72.0,68.4513134763464,0.37797837516118654,16.48566610455312,6.7608576710856845,0.5116148681675743,0.15940878881063386,0.0011903580993949012,0.6851502827100486,[0.146 0.854 0.    0.   ],0.9359510301582562,7.92309815095224e-05,26220238.095160246,[7.679 7.684 0.    0.   ],0.3571428571417968
11,[1650. 1651.    0.    0.],10081.0,201.60000000059856,[ 35.29 166.31   0.     0.  ],14024.04646273153,81274.0,20900.0,19341.0,5553000000.0,307322.4410310905,56.0,69.55682205499356,0.46320801507785647,16.288066660053566,8.702728214453824,0.669760705997787,0.20374962801309393,0.0019839301656581687,0.7026088681678405,[0.175 0.825 0.    0.   ],0.9254066985645933,5.534349739439771e-05,27544642.857061077,[8.185 8.189 0.    0.   ],0.27777777777695306
12,[1703. 1704.    0.    0.],10081.0,201.60000000059856,[ 35.905 165.695   0.      0.   ],14067.818618496833,80477.0,20576.0,18977.0,5445000000.0,425792.3286118986,80.0,69.77392430559055,0.46987402043446774,16.50748933637536,8.882151789159694,0.6640409709888302,0.20345203848824522,0.0019839301656581687,0.6775121515722646,[0.178 0.822 0.    0.   ],0.922288102643857,7.819877476802545e-05,27008928.57134838,[8.447 8.452 0.    0.   ],0.39682539682421863
13,[1399. 1399.    0.    0.],10081.0,201.60000000059856,[ 24.778 176.822   0.      0.   ],13658.718343841847,90254.0,17963.0,16813.0,3955500000.0,542125.5525546814,56.0,67.74485836642219,0.29346295010415324,17.23638527923817,5.4301996633010265,0.36423614743630006,0.11417518103362762,0.0014879476242436267,0.4649340343219919,[0.123 0.877 0.    0.   ],0.9359795134443022,0.00013705613767025192,19620535.71422746,[6.939 6.939 0.    0.   ],0.27777777777695306
14,[1362. 1363.    0.    0.],10081.0,201.60000000059856,[ 24.062 177.538   0.      0.   ],13625.70774370412,91266.0,16736.0,15597.0,3708000000.0,190373.04724082496,112.0,67.58113155292295,0.2872730879873005,16.890784644380517,5.368425770667224,0.3551903031192349,0.1093145521277651,0.0011903580993949012,0.43081043547267134,[0.119 0.881 0.    0.   ],0.9319431166347992,5.134116700130123e-05,18392857.142802533,[6.756 6.761 0.    0.   ],0.5555555555539061
15,[1676. 1677.    0.    0.],10081.0,201.60000000059856,[ 32.191 169.409   0.      0.   ],13900.585418069351,82794.0,20151.0,18687.0,5424000000.0,307163.991094678,56.0,68.94447682802189,0.4126574744568892,17.191548457494296,7.9722537128940605,0.581211589899105,0.1785537149092352,0.0012895546076778098,0.6737426842575142,[0.16 0.84 0.   0.  ],0.9273485186839363,5.663052933161468e-05,26904761.904682025,[8.313 8.318 0.    0.   ],0.27777777777695306
16,[1623. 1624.    0.    0.],10081.0,201.60000000059856,[ 34.058 167.542   0.      0.   ],14066.349178834997,82130.0,20197.0,18711.0,5430000000.0,197816.7483536963,64.0,69.76663614141009,0.44693978771946047,16.86459676619383,8.296254241391908,0.6354523869087444,0.1975002479912707,0.001587144132526535,0.6908044836821744,[0.169 0.831 0.    0.   ],0.9264247165420607,3.643034039662915e-05,26934523.80944384,[8.051 8.056 0.    0.   ],0.3174603174593749
