id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,num_requests,disconnects,cell_traffic,cell_dropped_traffic,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
10,[ 739. 1453.  753.  632.],10081.0,201.60000000059856,[13.102 22.554 91.188 74.756],6650.261351921494,4880.0,2395.0,19652.0,2743500000.0,7355158.846169056,32.98413526397293,0.19482194226763386,16.44201964090864,4.055613887933947,0.28605429459684195,0.06626326753298284,0.14284297192738815,0.5487550838210495,[0.065 0.112 0.452 0.371],0.0,0.0,0.002680939984023713,13608630.952340549,[3.666 7.207 3.735 3.135],24.206349206277338
11,[ 763. 1420.  720.  579.],10081.0,201.60000000059856,[13.747 23.546 95.775 68.532],6695.110159542113,4864.0,2270.0,18115.0,2809500000.0,20561277.305157814,33.20657751980351,0.22156532090070538,16.437654994544193,4.3373212236733085,0.30622886915563374,0.06993353833945046,0.12776510266838606,0.5469695466719572,[0.068 0.117 0.475 0.34 ],0.0,0.0,0.007318482756774449,13936011.904720528,[3.785 7.044 3.571 2.872],24.126984126912493
12,[ 707. 1410.  771.  626.],10081.0,201.60000000059856,[12.997 22.626 92.045 73.932],6591.468238351634,4912.0,2332.0,19315.0,2680500000.0,17043914.695942536,32.69253168511225,0.20045630393810318,16.421783553218926,4.140765535679284,0.3208016614970491,0.06715603610752902,0.13480805475647256,0.5258406904076977,[0.064 0.112 0.457 0.367],0.0,0.0,0.006358483378452727,13296130.952341476,[3.507 6.994 3.824 3.105],24.365079365007023
13,[ 605. 1176.  674.  515.],10081.0,201.60000000059856,[ 10.743  22.081 109.048  59.728],6364.89784994665,4688.0,1627.0,15658.0,1903500000.0,4916254.763994699,31.56878211460804,0.17839500049598406,16.555500446384286,3.4783337636049896,0.212398800057832,0.050491022716000394,0.08243229838309692,0.37159012002777503,[0.053 0.11  0.541 0.296],0.0,0.0,0.0025827448195401624,9441964.285686253,[3.001 5.833 3.343 2.555],23.253968253899213
14,[ 600. 1141.  647.  564.],10081.0,201.60000000059856,[ 11.236  17.729 106.953  65.682],6339.546519683495,4544.0,1909.0,17743.0,1921500000.0,8426539.061324654,31.443043942486245,0.17918857256224727,16.491617895050094,3.3929257413384035,0.24493634059736347,0.05039182620771749,0.1056442813212975,0.36137287967463544,[0.056 0.088 0.531 0.326],0.0,0.0,0.004385396336885066,9531249.9999717,[2.976 5.66  3.209 2.798],22.53968253961562
15,[ 745. 1399.  736.  600.],10081.0,201.60000000059856,[13.382 23.227 94.329 70.662],6665.577347042978,4912.0,2309.0,19796.0,2674500000.0,10453911.63339696,33.06009992581937,0.21220117051879903,16.432893562146614,4.19756360613311,0.2901036087870719,0.06695764309096319,0.1351056442813213,0.5354627517111398,[0.066 0.115 0.468 0.351],0.0,0.0,0.0039087349535976675,13266369.04757966,[3.695 6.939 3.651 2.976],24.365079365007023
16,[ 725. 1410.  780.  620.],10081.0,201.60000000059856,[13.318 23.302 91.588 73.392],6611.86855176173,4608.0,2178.0,20264.0,2685000000.0,3766775.5908152503,32.79371367802048,0.21458188671758868,16.378137089574448,4.251561828438979,0.28807327527340115,0.06943755579803591,0.12409483186191846,0.5512349965281222,[0.066 0.116 0.454 0.364],0.0,0.0,0.00140289593698892,13318452.380912839,[3.596 6.994 3.869 3.075],22.857142857074994
17,[ 749. 1363.  733.  653.],10081.0,201.60000000059856,[13.905 21.502 88.373 77.82 ],6694.032258106635,4952.0,2406.0,19314.0,2712000000.0,6102984.359229453,33.20123131687065,0.22672353933141606,16.41027675825811,4.563089510232692,0.3245653057780816,0.07290943358793771,0.13986707667890091,0.5464735641305426,[0.069 0.107 0.438 0.386],0.0,0.0,0.002250362964317645,13452380.952341013,[3.715 6.761 3.636 3.239],24.563492063419133
18,[ 769. 1423.  719.  658.],10081.0,201.60000000059856,[14.157 21.325 88.297 77.821],6701.240596595202,5264.0,2370.0,18972.0,2601000000.0,16153517.901534235,33.236983417299996,0.2226763217934738,16.4753496676917,4.381548473143682,0.31131604784224515,0.07013193135601627,0.13708957444697947,0.5248487253248686,[0.07  0.106 0.438 0.386],0.0,0.0,0.006210502845649456,12901785.71424741,[3.814 7.059 3.566 3.264],26.111111111033587
19,[ 739. 1369.  758.  618.],10081.0,201.60000000059856,[12.463 23.154 93.018 72.965],6570.759657116389,4944.0,1931.0,15753.0,2655000000.0,15297034.41690845,32.58982073761058,0.2030750917567718,16.49360182521575,3.9787935249211572,0.26049116231567016,0.062493800218232316,0.10643785338756076,0.523261581192342,[0.062 0.115 0.461 0.362],0.0,0.0,0.005761594883957985,13169642.857103756,[3.666 6.791 3.76  3.065],24.523809523736713
