drop_ratio,ue_drop_ratio,delay_ratio,qos_reward,pc_kw,reward,n_drop,ue_no_bs
0.0,0.0,0.06000000000000001,0.004699995300004701,3.3282347861822554,-0.2576235538181504,0.0,0
0.0,0.0,0.1293333333333334,0.00435333246266684,3.5752199011886567,-0.28786867071619626,0.0,0
0.0,0.0,0.1777777777777779,0.004111110654321038,3.4390992232155337,-0.2781321518524168,0.0,0
0.0,0.0,0.14791666666666678,0.00426041640039064,3.552397918759216,-0.28707312946967134,0.0,0
0.0,0.0,0.18259259259259272,0.004087036582921861,3.207424149199926,-0.2553498295932428,0.0,0
0.0,0.0,0.3006666666666669,0.0034966663170000346,3.176294543533781,-0.26168279328137756,0.0,0
0.0,0.0,0.23962962962962978,0.0038018514294239146,3.1738299376497268,-0.25655337089419006,0.0,0
0.0,0.0,0.2183333333333335,0.003908332942500039,3.1871223728373894,-0.25617891020373834,0.0,0
0.0,0.0,0.15972222222222235,0.004201388538773177,3.120392196455192,-0.24481700302514842,0.0,0
0.0,0.0,0.1747619047619049,0.004126190181462606,3.133606297031404,-0.24734158679973867,0.0,0
0.0,0.0,0.1673333333333335,0.0041633329170000415,3.2231246488679726,-0.2556991382147966,0.0,0
0.0,0.0,0.2971428571428573,0.003514285212244969,3.1084512891825518,-0.2546165655223357,0.0,0
0.0,0.0,0.26095238095238116,0.0036952378312925353,3.1205008109265946,-0.2529262757919789,0.0,0
0.0,0.0,0.24466666666666687,0.003776665911333484,2.985417772956295,-0.23811512271429378,0.0,0
0.0,0.0,0.2566666666666668,0.003716666202083391,3.1217523256326145,-0.2527085733299272,0.0,0
0.0,0.0,0.18755555555555573,0.004062221951407425,3.4483887885047193,-0.27984332762795316,0.0,0
0.0,0.0,0.2350000000000002,0.0038249997609375135,3.174654108640416,-0.2562654146890414,0.0,0
0.0,0.0,0.38041666666666707,0.00309791627942713,3.204479626932144,-0.2708813022223803,0.0,0
0.0,0.0,0.20121212121212137,0.003993939030854027,3.269028115742605,-0.26299978708059607,0.0,0
0.0,0.0,0.22800000000000015,0.0038599996140000386,3.3355284358391946,-0.27179284975991885,0.0,0
0.0,0.0,0.23484848484848497,0.003825757227961464,3.150784026589466,-0.25386628701156316,0.0,0
0.0,0.0,0.28476190476190494,0.0035761899653061944,2.9922158852902574,-0.24200254908412663,0.0,0
0.0,0.0,0.17809523809523822,0.004109523222449063,3.088325005583552,-0.2430801289991702,0.0,0
0.0,0.0,0.17500000000000013,0.004124998968750257,3.056691132210376,-0.23966912972103352,0.0,0
0.0,0.0,0.21666666666666684,0.003916666107142937,3.2393394538614344,-0.2612672876718565,0.0,0
0.0,0.0,0.15523809523809537,0.0042238089204082495,3.2846158335741418,-0.26088064063088223,0.0,0
0.0,0.0,0.13666666666666677,0.004316666396875017,3.219243568683456,-0.2528576945183454,0.0,0
0.0,0.0,0.11555555555555563,0.004422220748148639,3.031221220414773,-0.2323665900710991,0.0,0
0.0,0.0,0.1586666666666668,0.004206665825333502,3.1927998671774693,-0.2519733335124109,0.0,0
0.0,0.0,0.2016666666666668,0.003991666334027805,3.4349070095395704,-0.2796240396095122,0.0,0
0.0,0.0,0.23200000000000018,0.0038399997440000163,3.2316197571507237,-0.26172197981107215,0.0,0
0.0,0.0,0.26333333333333353,0.003683332596666813,3.0681499218838466,-0.2478816706417157,0.0,0
0.0,0.0,0.13916666666666677,0.004304165590625269,3.087046774985981,-0.23983802804859383,0.0,0
0.0,0.0,0.21851851851851867,0.0039074069732510765,3.368887453010913,-0.27437023372907415,0.0,0
0.0,0.0,0.2622222222222224,0.003688888479012391,3.312688476691905,-0.2722466320049923,0.0,0
0.0,0.0,0.1983333333333335,0.0040083328322917285,3.2536159653276813,-0.2612282712161005,0.0,0
0.0,0.0,0.18208333333333346,0.00408958282213548,3.3674884049967932,-0.2713155153455117,0.0,0
0.0,0.0,0.28733333333333355,0.003563332620666808,3.1470291778567567,-0.2576895958550068,0.0,0
0.0,0.0,0.15190476190476201,0.004240475584693964,3.3252986327942833,-0.26468225392432493,0.0,0
0.0,0.0,0.23055555555555574,0.0038472219016203965,3.2490212744286806,-0.2633465770169417,0.0,0
0.0,0.0,0.15066666666666678,0.004246666383555574,3.345444875925759,-0.2665978254556868,0.0,0
0.0,0.0,0.148888888888889,0.004255554846296414,3.0537048028672342,-0.2372816027459808,0.0,0
0.0,0.0,0.20722222222222234,0.00396388822824085,3.1877865837000123,-0.2553564467181476,0.0,0
0.0,0.0,0.19888888888888903,0.0040055548879630734,3.193869225394692,-0.25529804433206005,0.0,0
0.0,0.0,0.19851851851851865,0.0040074069621399665,3.1323237885043635,-0.2491138674561969,0.0,0
0.0,0.0,0.3855555555555558,0.0030722217101852686,3.1605619872969255,-0.2669006513667283,0.0,0
0.0,0.0,0.23133333333333353,0.0038433325646668195,3.165759431406292,-0.2550826221059601,0.0,0
0.0,0.0,0.182857142857143,0.004085713702040899,3.3356788790368572,-0.26819646867103136,0.0,0
0.0,0.0,0.27030303030303054,0.0036484845168044374,3.313353631197713,-0.2729596108509003,0.0,0
0.0,0.0,0.25222222222222235,0.003738888473456836,3.3619407165917505,-0.2763718560838657,0.0,0
0.0,0.0,0.2007407407407409,0.003996295852263423,3.265225173578974,-0.2625817837216826,0.0,0
0.0,0.0,0.19444444444444461,0.004027777106481592,3.2931338142102367,-0.26486894771731817,0.0,0
0.0,0.0,0.1853333333333335,0.00407333292600004,3.2224499207565103,-0.2570716652596504,0.0,0
0.0,0.0,0.20375000000000015,0.0039812495023438125,3.1697143328527386,-0.2532714412477729,0.0,0
