id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,cell_traffic,cell_dropped_traffic,num_requests,disconnects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[2524. 3399.  790. 1106.],15121.0,302.39999999976106,[ 30.629  21.102  29.836 220.833],11381.194289162539,12472.0,6031500000.0,23491909.017082952,8380.0,76340.0,37.63373549752772,0.3263805303881962,17.324515574366774,8.393949268481608,0.7056129297822716,0.15091594471265127,0.3774221281661266,0.857879769856491,[0.101 0.07  0.099 0.73 ],0.0,0.0,0.0038948701014810496,19945436.50795227,[ 8.347 11.24   2.612  3.657],41.24338624341883
1,[4294. 5544. 1295.  823.],15121.0,302.39999999976106,[51.454 64.244 89.178 97.524],14566.407141709458,11440.0,11791500000.0,32440716.805493277,8244.0,55427.0,48.166150194119744,0.6168904173004407,16.89623702136102,15.789340941953528,1.447341447830342,0.3217379802923087,0.29138284504993056,1.4825077706500893,[0.17  0.212 0.295 0.323],0.0,0.0,0.0027511950816684286,38993055.55558637,[14.2   18.333  4.282  2.722],37.83068783071772
2,[3910. 4911. 1605.  635.],15121.0,302.39999999976106,[ 44.546  40.907 143.105  73.842],14342.890861986407,9624.0,8502000000.0,16806826.551720165,5376.0,32176.0,47.427057939233265,0.5534025527412056,17.006811718801668,13.37465631219879,1.0873012723906803,0.2579194497718405,0.17650949011308775,0.9325441439058263,[0.147 0.135 0.473 0.244],0.0,0.0,0.001976808580536364,28115079.36510158,[12.93  16.24   5.308  2.1  ],31.825396825421972
3,[4885. 6233. 1578.  671.],15121.0,302.39999999976106,[ 57.136  65.35  100.834  79.08 ],15585.988782700779,8936.0,12028500000.0,31720936.676963825,6411.0,34086.0,51.53755962798935,0.6848753389326193,16.632233317902255,17.060048593201493,1.4091595337033418,0.34012300773758347,0.18232921103101646,1.2769658091396072,[0.189 0.216 0.333 0.262],0.0,0.0,0.0026371481628601925,39776785.71431714,[16.154 20.612  5.218  2.219],29.5502645502879
4,[4016. 5012. 1641.  583.],15121.0,302.39999999976106,[ 45.69   40.277 148.918  67.515],14689.011892990105,8736.0,8485500000.0,31246595.885044526,5046.0,28271.0,48.57156237347497,0.5626082931022937,16.833542755108788,13.996265846442595,1.1076454714371697,0.26532636730374975,0.1547516698631043,0.8922028966338205,[0.151 0.133 0.492 0.223],0.0,0.0,0.0036823517630127306,28060515.873038046,[13.28  16.574  5.427  1.928],28.888888888911715
5,[4708. 5982. 1429.  704.],15121.0,302.39999999976106,[55.081 69.297 94.882 83.14 ],15299.796074950218,11040.0,11992500000.0,48275929.810238674,7039.0,41888.0,50.59121775989038,0.6736591495271539,16.838304344950732,16.608927970867164,1.4201672409427906,0.33086436082269693,0.21982673103630712,1.4145889822101714,[0.182 0.229 0.314 0.275],0.0,0.0,0.004025510094662387,39657738.09526943,[15.569 19.782  4.726  2.328],36.507936507965354
6,[2532. 3339.  797. 1097.],15121.0,302.39999999976106,[ 31.98   18.951  33.799 217.67 ],11361.306531881039,11512.0,5985000000.0,32044997.10094064,7690.0,69861.0,37.567973453743356,0.3544739104556519,17.208650221546193,8.760011677131681,0.7814484048956721,0.16764764235169632,0.34091660604457374,0.8066265458633688,[0.106 0.063 0.112 0.72 ],0.0,0.0,0.005354218396147141,19791666.666682303,[ 8.373 11.042  2.636  3.628],38.06878306881315
7,[3338. 4626. 1543.  757.],15121.0,302.39999999976106,[ 38.337  52.605 122.034  89.424],13390.566440622968,8976.0,8476500000.0,27711282.71006479,6304.0,61395.0,44.278045237154814,0.4436743601613513,16.734872032273,11.809091075672322,0.948452337946317,0.21136168242841083,0.2187024667680709,1.0497982937636399,[0.127 0.174 0.404 0.296],0.0,0.0,0.0032691892538270267,28030753.968276117,[11.038 15.298  5.103  2.503],29.682539682563135
8,[4395. 5782. 1341.  726.],15121.0,302.39999999976106,[50.375 80.126 84.359 87.54 ],15064.41245950919,7952.0,11919000000.0,33652713.605072424,6364.0,40754.0,49.81288426527562,0.592976654983127,16.529330070762516,15.272070860626268,1.2807730043693168,0.2950863038158852,0.1952251835196085,1.3295416969777132,[0.167 0.265 0.279 0.289],0.0,0.0,0.0028234510953160856,39414682.53971368,[14.534 19.12   4.435  2.401],26.296296296317074
9,[4427. 5820. 1414.  705.],15121.0,302.39999999976106,[51.855 78.916 86.596 85.033],15271.25886755856,7008.0,11761500000.0,24718420.637046162,6040.0,39311.0,50.496854928754274,0.610065471860321,16.433569208385688,15.142518276747786,1.2911927271686385,0.2967396336221149,0.18563587064347595,1.267905561801468,[0.171 0.261 0.286 0.281],0.0,0.0,0.0021016384506267194,38893849.206379935,[14.64  19.246  4.676  2.331],23.174603174621485
